alpha,beta,gamma,selected_ranker,selected_k,selected_macro_f1,selected_n_selected,selected_normalized_inference_time,j,guarded,performance_floor
0.2,0.75,0.05,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.1405310439503718,False,
0.2,0.8,0.0,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.0941542323561689,False,
0.25,0.0,0.75,rf_importance,20,0.8246597361705674,20.0,0.9952290674525848,0.7902568665467966,False,
0.25,0.05,0.7,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.7454744737876604,False,
0.25,0.1,0.65,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.6994665887152227,False,
0.25,0.15,0.6,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.6534587036427849,False,
0.25,0.2,0.55,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.6074508185703473,False,
0.25,0.25,0.5,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.5614429334979096,False,
0.25,0.3,0.45,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.5154350484254718,False,
0.25,0.35,0.4,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.46942716335303414,False,
0.25,0.4,0.35,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.4234192782805964,False,
0.25,0.45,0.3,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.3774113932081587,False,
0.25,0.5,0.25,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.331403508135721,False,
0.25,0.55,0.2,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.2850840947930372,False,
0.25,0.6,0.15,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.23870728319883427,False,
0.25,0.65,0.1,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.1923304716046314,False,
0.25,0.7,0.05,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.1459536600104285,False,
0.25,0.75,0.0,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.09957684841622562,False,
0.3,0.0,0.7,gb_importance,60,0.8369947368501383,60.0,0.9999999999999998,0.7489015789449583,False,
0.3,0.05,0.65,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.7052466516467408,False,
0.3,0.1,0.6,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.659238766574303,False,
0.3,0.15,0.55,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.6132308815018654,False,
0.3,0.2,0.5,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.5672229964294276,False,
0.3,0.25,0.45,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.52121511135699,False,
0.3,0.3,0.4,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.47520722628455225,False,
0.3,0.35,0.35,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.42919934121211445,False,
0.3,0.4,0.3,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.38319145613967676,False,
0.3,0.45,0.25,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.3368835224472968,False,
0.3,0.5,0.2,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.2905067108530939,False,
0.3,0.55,0.15,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.244129899258891,False,
0.3,0.6,0.1,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.1977530876646881,False,
0.3,0.65,0.05,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.1513762760704852,False,
0.3,0.7,0.0,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.10499946447628233,False,
0.35,0.0,0.65,gb_importance,60,0.8369947368501383,60.0,0.9999999999999998,0.7070518421024515,False,
0.35,0.05,0.6,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.6650188295058211,False,
0.35,0.1,0.55,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.6190109444333836,False,
0.35,0.15,0.5,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.5730030593609458,False,
