ranker,k,macro_f1,macro_f1_std,balanced_accuracy,sensitivity,specificity,n_selected,n_evaluations,macro_f1_se,families,normalized_inference_time,normalized_features,on_front
gb_importance,50,0.834769289741533,0.03175607722973782,0.8387299000522244,0.7507282677143196,0.9267315323901291,50.0,15,0.00819938388344341,chroma;dwt;envelope;frequency;mfcc;time,0.9999999999999998,0.36231884057971014,False
gb_importance,60,0.8369947368501383,0.027785730495986,0.8383114498588885,0.7458084224097397,0.9308144773080372,60.0,15,0.007174244764877422,chroma;dwt;envelope;frequency;mfcc;time,0.9999999999999998,0.43478260869565216,True
gb_importance,70,0.8354024126533849,0.03096307266212625,0.8375266763389514,0.7457931049391724,0.9292602477387305,70.0,15,0.007994630984521675,chroma;dwt;envelope;frequency;mfcc;time,0.9999999999999998,0.5072463768115942,False
gb_importance,80,0.8359835033499304,0.031760734562158756,0.8368706575690735,0.7428305019345314,0.9309108132036156,80.0,15,0.008200586401503679,chroma;dwt;envelope;frequency;mfcc;time,0.9999999999999998,0.5797101449275363,False
gb_importance,100,0.8336324227805795,0.03074251238703197,0.8338000370261988,0.7367779685193478,0.9308221055330497,100.0,15,0.007937682566370003,chroma;dwt;envelope;frequency;mfcc;time,0.9999999999999998,0.7246376811594203,False
gb_importance,120,0.8319103023781155,0.031422916219835506,0.8317128664239308,0.732989965427974,0.9304357674198876,120.0,15,0.008113362080579589,chroma;dwt;envelope;frequency;mfcc;time,0.9999999999999998,0.8695652173913043,False
gb_importance,138,0.8312962021524544,0.033086556290640064,0.8306382767628931,0.7303653398060604,0.9309112137197257,138.0,15,0.008542912099800215,chroma;dwt;envelope;frequency;mfcc;time,0.9999999999999998,1.0,False
mutual_info,10,0.8119349732536963,0.03489924437499967,0.8244987341355237,0.7447776616742133,0.9042198065968338,10.0,15,0.009010946150639774,dwt;frequency;mfcc;time,0.9926214695646963,0.07246376811594203,True
mutual_info,20,0.8200217372520113,0.036970008471540076,0.8253943238694809,0.7334582492141578,0.9173303985248038,20.0,15,0.009545615141294789,chroma;dwt;envelope;frequency;mfcc;time,0.9999999999999998,0.14492753623188406,False
mutual_info,30,0.820247357812224,0.03568787941792695,0.8255478767377551,0.7333663018070224,0.9177294516684877,30.0,15,0.009214570843139301,chroma;dwt;envelope;frequency;mfcc;time,0.9999999999999998,0.21739130434782608,False
mutual_info,40,0.8257449180550608,0.036644525514589896,0.8304189115455007,0.7394251778686107,0.9214126452223907,40.0,15,0.00946157580317863,chroma;dwt;envelope;frequency;mfcc;time,0.9999999999999998,0.2898550724637681,False
mutual_info,50,0.8285659211867565,0.03405934128255277,0.8317498368018448,0.7389869399330848,0.9245127336706047,50.0,15,0.008794084104674776,chroma;dwt;envelope;frequency;mfcc;time,0.9999999999999998,0.36231884057971014,False
mutual_info,60,0.8270391049920128,0.034178410338232636,0.8306538547641475,0.7378635633097083,0.9234441462185868,60.0,15,0.00882482760265456,chroma;dwt;envelope;frequency;mfcc;time,0.9999999999999998,0.43478260869565216,False
mutual_info,70,0.8295472092486607,0.033555699464882696,0.8316743965076846,0.7368014397028345,0.9265473533125347,70.0,15,0.008664044346522121,chroma;dwt;envelope;frequency;mfcc;time,0.9999999999999998,0.5072463768115942,False
mutual_info,80,0.8309110053324288,0.030737883162398155,0.8334544382261666,0.7401680134121048,0.9267408630402284,80.0,15,0.007936487305709162,chroma;dwt;envelope;frequency;mfcc;time,0.9999999999999998,0.5797101449275363,False
mutual_info,100,0.8313340769377284,0.03372972671533727,0.8329277523187565,0.7382344844731517,0.9276210201643614,100.0,15,0.008708977989375243,chroma;dwt;envelope;frequency;mfcc;time,0.9999999999999998,0.7246376811594203,False
mutual_info,120,0.831210438530839,0.03176113557457657,0.8320756093530929,0.7352712312512778,0.928879987454908,120.0,15,0.008200689942464732,chroma;dwt;envelope;frequency;mfcc;time,0.9999999999999998,0.8695652173913043,False
mutual_info,138,0.8312962021524544,0.033086556290640064,0.8306382767628931,0.7303653398060604,0.9309112137197257,138.0,15,0.008542912099800215,chroma;dwt;envelope;frequency;mfcc;time,0.9999999999999998,1.0,False
rf_importance,10,0.7949263731234478,0.034787893502365344,0.8111586762382071,0.7314820473698815,0.8908353051065326,10.0,15,0.008982195478953212,dwt;frequency;mfcc;time,0.9926214695646963,0.07246376811594203,False
rf_importance,20,0.8246597361705674,0.034841588407525534,0.8333469790476745,0.7507303376377379,0.9159636204576113,20.0,15,0.008996059443850651,chroma;dwt;frequency;mfcc;time,0.9952290674525848,0.14492753623188406,True
rf_importance,30,0.8297215560217431,0.03356617754564403,0.8363850170857975,0.7518543179810131,0.920915716190582,30.0,15,0.00866674977534138,chroma;dwt;envelope;frequency;mfcc;time,0.9999999999999998,0.21739130434782608,False
rf_importance,40,0.8308408502983643,0.0330205536185921,0.8372430495628064,0.7528891358186205,0.9215969633069921,40.0,15,0.008525870283157084,chroma;dwt;envelope;frequency;mfcc;time,0.9999999999999998,0.2898550724637681,False
rf_importance,50,0.8317989294108737,0.03366625875665919,0.8379030873064185,0.7533402230455698,0.9224659515672671,50.0,15,0.008692590632910044,chroma;dwt;envelope;frequency;mfcc;time,0.9999999999999998,0.36231884057971014,False
rf_importance,60,0.830213113044877,0.03242771575175053,0.8345283910554578,0.745031794113158,0.9240249879977578,60.0,15,0.008372800204138515,chroma;dwt;envelope;frequency;mfcc;time,0.9999999999999998,0.43478260869565216,False
rf_importance,70,0.8311752564228928,0.03250916261004815,0.8359603730029188,0.7480895655136259,0.9238311804922115,70.0,15,0.008393829692524356,chroma;dwt;envelope;frequency;mfcc;time,0.9999999999999998,0.5072463768115942,False
rf_importance,80,0.8318055784226254,0.03102457898308962,0.8346786710268439,0.7428095751522718,0.9265477669014162,80.0,15,0.00801051184830685,chroma;dwt;envelope;frequency;mfcc;time,0.9999999999999998,0.5797101449275363,False
rf_importance,100,0.8333975149111218,0.03356204131606516,0.8345270415593203,0.7397808329042347,0.9292732502144059,100.0,15,0.008665681805456375,chroma;dwt;envelope;frequency;mfcc;time,0.9999999999999998,0.7246376811594203,False
rf_importance,120,0.8339530036884945,0.03102550870008518,0.8343042708095789,0.7378891293891294,0.9307194122300285,120.0,15,0.008010751900202881,chroma;dwt;envelope;frequency;mfcc;time,0.9999999999999998,0.8695652173913043,False
rf_importance,138,0.8312962021524544,0.033086556290640064,0.8306382767628931,0.7303653398060604,0.9309112137197257,138.0,15,0.008542912099800215,chroma;dwt;envelope;frequency;mfcc;time,0.9999999999999998,1.0,False
