run,exp_id,model_id,task,repeat,fold,fold_label,n_train,n_test,n_features,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,mcc,roc_auc,pr_auc,tp,fp,tn,fn,support,n_positive,n_negative,brier,ece,fit_seconds,predict_seconds,params,note,planner_inner_best_score,planner_n_trials,planner_search_seconds,planner_tuning,planner_inner_scores,macro_f1,weighted_f1,macro_precision,macro_recall,n_classes,ovr_auc_macro,precision_normal,recall_normal,f1_normal,support_normal,precision_murmur,recall_murmur,f1_murmur,support_murmur,precision_extrahls,recall_extrahls,f1_extrahls,support_extrahls,precision_artifact,recall_artifact,f1_artifact,support_artifact,precision_extrastole,recall_extrastole,f1_extrastole,support_extrastole,precision_Absent,recall_Absent,f1_Absent,support_Absent,precision_Present,recall_Present,f1_Present,support_Present,precision_Unknown,recall_Unknown,f1_Unknown,support_Unknown
EXP-A1,EXP-A1,M1,binary,4,0,r4f0,2585,655,138,0.7984732824427481,0.8375623370735578,0.9044117647058824,0.7707129094412332,0.5082644628099173,0.6507936507936508,0.5673543708315464,0.9029808455173975,0.6825420670767285,123.0,119.0,400.0,13.0,655.0,136.0,519.0,0.2898060062787389,0.0834570802855146,0.199376,0.007607,{},config defaults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP-A1,EXP-A1,M1,binary,4,1,r4f1,2596,644,138,0.8711180124223602,0.8707870184366769,0.8702290076335878,0.8713450292397661,0.6333333333333333,0.7331189710610932,0.6652020882908656,0.9472493787479724,0.8173011225488209,114.0,66.0,447.0,17.0,644.0,131.0,513.0,0.1794749496025414,0.040900971658684,0.182883,0.007252,{},config defaults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP-A1,EXP-A1,M1,binary,4,2,r4f2,2593,647,138,0.8361669242658424,0.8266622536040011,0.8106060606060606,0.8427184466019417,0.5691489361702128,0.66875,0.5798748354301024,0.9355545748749632,0.7854372170894872,107.0,81.0,434.0,25.0,647.0,132.0,515.0,0.2029892352150723,0.0587480373225421,0.182523,0.007586,{},config defaults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP-A1,EXP-A1,M1,binary,4,3,r4f3,2589,651,138,0.8571428571428571,0.8633936261843238,0.8740740740740741,0.8527131782945736,0.6082474226804123,0.7173252279635258,0.6442287042966446,0.9329457364341086,0.7298393905041698,118.0,76.0,440.0,17.0,651.0,135.0,516.0,0.2042187817458562,0.0435822334797881,0.190365,0.008162,{},config defaults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP-A1,EXP-A1,M1,binary,4,4,r4f4,2597,643,138,0.8398133748055988,0.8170473520992366,0.7786259541984732,0.85546875,0.5795454545454546,0.6644951140065146,0.5728091941493245,0.8941734255725191,0.6771563670262074,102.0,74.0,438.0,29.0,643.0,131.0,512.0,0.2386623061643296,0.0703192996620377,0.192888,0.006002,{},config defaults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP-A1,EXP-A1,M3,binary,0,0,r0f0,2593,647,138,0.8346213292117465,0.7609002647837599,0.6363636363636364,0.8854368932038835,0.5874125874125874,0.610909090909091,0.5067710633572868,0.8818917328626065,0.5712963053881107,84.0,59.0,456.0,48.0,647.0,132.0,515.0,0.2297301826823939,0.0430598963526606,1.011648,0.764468,{},config defaults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP-A1,EXP-A1,M3,binary,0,1,r0f1,2589,651,138,0.8940092165898618,0.803350269926961,0.6492537313432836,0.9574468085106383,0.7981651376146789,0.7160493827160493,0.6569906060700856,0.9408037183521464,0.8110458321947229,87.0,22.0,495.0,47.0,651.0,134.0,517.0,0.1608038730409598,0.0569570246455081,0.932849,0.733604,{},config defaults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP-A1,EXP-A1,M3,binary,0,2,r0f2,2596,644,138,0.8757763975155279,0.7401306489293633,0.5114503816793893,0.9688109161793372,0.8072289156626506,0.6261682242990654,0.5769676239054314,0.9271163489725162,0.7683702993917547,67.0,16.0,497.0,64.0,644.0,131.0,513.0,0.173119677509959,0.0392243055944016,0.93797,0.622942,{},config defaults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP-A1,EXP-A1,M3,binary,0,3,r0f3,2585,655,138,0.8961832061068702,0.8243031874418736,0.7007299270072993,0.947876447876448,0.7804878048780488,0.7384615384615385,0.6754574629389545,0.9247949722402278,0.7953492049586379,96.0,27.0,491.0,41.0,655.0,137.0,518.0,0.1827060478351708,0.0935754602081835,0.920998,0.841119,{},config defaults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP-A1,EXP-A1,M3,binary,0,4,r0f4,2597,643,138,0.8786936236391913,0.8528223401717557,0.8091603053435115,0.896484375,0.6666666666666666,0.7310344827586207,0.6587724933806479,0.9373359971374046,0.690990227846014,106.0,53.0,459.0,25.0,643.0,131.0,512.0,0.1783722130997036,0.0600359244482448,0.952684,0.629801,{},config defaults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP-A1,EXP-A1,M3,binary,1,0,r1f0,2593,647,138,0.8284389489953632,0.7485657546337159,0.6136363636363636,0.883495145631068,0.574468085106383,0.5934065934065934,0.4852628626968842,0.8779493968814358,0.5819613763417755,81.0,60.0,455.0,51.0,647.0,132.0,515.0,0.2374061842223473,0.0399414103027961,0.900234,0.629414,{},config defaults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
