run,model_id,metric,n_folds,mean,sd,min,max,ci_low,ci_high,ci_kind,formatted
EXP-A1,M5,sensitivity,25,0.7979991249318708,0.05504045101131409,0.6946564885496184,0.9083969465648856,0.775279543397149,0.8207187064665925,95% t-interval of the fold mean,0.7980 +/- 0.0550
EXP-A1,M5,balanced_accuracy,25,0.8498104909051996,0.03014766456720083,0.7885213457732542,0.8967601979961832,0.8373661465978616,0.8622548352125375,95% t-interval of the fold mean,0.8498 +/- 0.0301
EXP-A1,M5,specificity,25,0.9016218568785286,0.03625527933305099,0.8233009708737864,0.95906432748538,0.8866564131051473,0.9165873006519099,95% t-interval of the fold mean,0.9016 +/- 0.0363
EXP-A1,M5,f1,25,0.7344011991722188,0.050514416345078285,0.6291390728476821,0.813953488372093,0.7135498729250016,0.755252525419436,95% t-interval of the fold mean,0.7344 +/- 0.0505
EXP-A1,M5,roc_auc,25,0.9357444658070613,0.02186977716088595,0.8834575837388212,0.9642622853053436,0.9267170654819656,0.9447718661321569,95% t-interval of the fold mean,0.9357 +/- 0.0219
EXP-A1,M5,accuracy,25,0.8803812904490006,0.02901954442513568,0.8176197836166924,0.9254658385093169,0.868402611249373,0.8923599696486282,95% t-interval of the fold mean,0.8804 +/- 0.0290
EXP-A1,M6,sensitivity,25,0.8790705821614024,0.061241829532217164,0.7480916030534351,1.0,0.8537911973848001,0.9043499669380047,95% t-interval of the fold mean,0.8791 +/- 0.0612
EXP-A1,M6,balanced_accuracy,25,0.8587565599146746,0.02545854494291062,0.7960730919750607,0.893667255075022,0.8482477890569114,0.8692653307724377,95% t-interval of the fold mean,0.8588 +/- 0.0255
EXP-A1,M6,specificity,25,0.8384425376679471,0.04791851275770815,0.7602339181286549,0.9395711500974658,0.8186627477567495,0.8582223275791446,95% t-interval of the fold mean,0.8384 +/- 0.0479
EXP-A1,M6,f1,25,0.7044382221713745,0.04395562766884186,0.6233062330623306,0.7955390334572491,0.6862942308271386,0.7225822135156105,95% t-interval of the fold mean,0.7044 +/- 0.0440
EXP-A1,M6,roc_auc,25,0.9395334531543368,0.021954085056345145,0.8962992723539128,0.9687811556031724,0.9304712522404067,0.9485956540682668,95% t-interval of the fold mean,0.9395 +/- 0.0220
EXP-A1,M6,accuracy,25,0.8467898757895366,0.03233741698433885,0.7841614906832298,0.9145962732919256,0.8334416461093881,0.860138105469685,95% t-interval of the fold mean,0.8468 +/- 0.0323
EXP-A1,M8,sensitivity,25,0.7556270092682991,0.0626458769631817,0.6183206106870229,0.8854961832061069,0.7297680621970517,0.7814859563395464,95% t-interval of the fold mean,0.7556 +/- 0.0626
EXP-A1,M8,balanced_accuracy,25,0.8442252922074089,0.031085627431688682,0.7804041486243174,0.8968496541030535,0.8313937758586956,0.8570568085561223,95% t-interval of the fold mean,0.8442 +/- 0.0311
EXP-A1,M8,specificity,25,0.9328235751465186,0.028233887853066582,0.8757281553398059,0.9785575048732944,0.9211691990406964,0.9444779512523408,95% t-interval of the fold mean,0.9328 +/- 0.0282
EXP-A1,M8,f1,25,0.7504310157926309,0.047847925853444606,0.6402877697841727,0.8131868131868132,0.7306803627234693,0.7701816688617926,95% t-interval of the fold mean,0.7504 +/- 0.0478
EXP-A1,M8,roc_auc,25,0.9410446008725418,0.01796680807842469,0.8942904334627918,0.9697632546166092,0.9336282670025203,0.9484609347425633,95% t-interval of the fold mean,0.9410 +/- 0.0180
EXP-A1,M8,accuracy,25,0.8964713031776675,0.0229334080287399,0.84472049689441,0.9262672811059908,0.8870048576089186,0.9059377487464165,95% t-interval of the fold mean,0.8965 +/- 0.0229
EXP-A2,M1,sensitivity,25,0.8648233891627352,0.04460494653301462,0.7803030303030303,0.9485294117647058,0.8464113721645384,0.8832354061609319,95% t-interval of the fold mean,0.8648 +/- 0.0446
EXP-A2,M1,balanced_accuracy,25,0.8468043977525701,0.02608848930923994,0.7746175345689909,0.8885004174618321,0.8360355986404924,0.8575731968646478,95% t-interval of the fold mean,0.8468 +/- 0.0261
EXP-A2,M1,specificity,25,0.8287854063424053,0.045804135121286144,0.7001934235976789,0.9005847953216374,0.8098783886237176,0.8476924240610929,95% t-interval of the fold mean,0.8288 +/- 0.0458
EXP-A2,M1,f1,25,0.6867062637528286,0.044061779338271205,0.5819209039548022,0.7448275862068966,0.6685184551530228,0.7048940723526345,95% t-interval of the fold mean,0.6867 +/- 0.0441
EXP-A2,M1,roc_auc,25,0.9212095305753734,0.02090814117346548,0.8803765813474551,0.9469993199591976,0.9125790740765272,0.9298399870742196,95% t-interval of the fold mean,0.9212 +/- 0.0209
EXP-A2,M1,accuracy,25,0.8362042167620645,0.03445161852465311,0.7496159754224271,0.8850931677018633,0.8219832875783066,0.8504251459458223,95% t-interval of the fold mean,0.8362 +/- 0.0345
EXP-A2,M3,sensitivity,25,0.6671634033396946,0.07400971858128105,0.5190839694656488,0.8244274809160306,0.6366136929944144,0.6977131136849748,95% t-interval of the fold mean,0.6672 +/- 0.0740
EXP-A2,M3,balanced_accuracy,25,0.7997979696844384,0.03912697460701983,0.709834382393643,0.8653387404580153,0.7836471483619815,0.8159487910068953,95% t-interval of the fold mean,0.7998 +/- 0.0391
EXP-A2,M3,specificity,25,0.9324325360291823,0.025543002030395365,0.8757281553398059,0.9649122807017544,0.9218889029991434,0.9429761690592212,95% t-interval of the fold mean,0.9324 +/- 0.0255
EXP-A2,M3,f1,25,0.6916401381161631,0.06067805005402666,0.544,0.7744360902255639,0.6665934700703833,0.7166868061619429,95% t-interval of the fold mean,0.6916 +/- 0.0607
EXP-A2,M3,roc_auc,25,0.9220133878251725,0.022066634997185586,0.8759929390997353,0.950336951335878,0.9129047285790401,0.9311220470713049,95% t-interval of the fold mean,0.9220 +/- 0.0221
EXP-A2,M3,accuracy,25,0.8780096585505962,0.025163507228212336,0.8229813664596274,0.906687402799378,0.8676226732758314,0.888396643825361,95% t-interval of the fold mean,0.8780 +/- 0.0252
EXP-A2,M4,sensitivity,25,0.8193179675801403,0.061168526288968815,0.6870229007633588,0.931297709923664,0.7940688408951986,0.844567094265082,95% t-interval of the fold mean,0.8193 +/- 0.0612
EXP-A2,M4,balanced_accuracy,25,0.8523598911722676,0.03064476067092507,0.7932309569513265,0.906078542461832,0.8397103556782362,0.8650094266662991,95% t-interval of the fold mean,0.8524 +/- 0.0306
EXP-A2,M4,specificity,25,0.885401814764395,0.041068772796173145,0.7747572815533981,0.9610136452241717,0.868449458544025,0.9023541709847649,95% t-interval of the fold mean,0.8854 +/- 0.0411
EXP-A2,M4,f1,25,0.7262687566360942,0.0490114342927491,0.6067415730337079,0.8041237113402062,0.7060378308880679,0.7464996823841206,95% t-interval of the fold mean,0.7263 +/- 0.0490
EXP-A2,M4,roc_auc,25,0.9383918924875703,0.021592944961128707,0.8860988526037069,0.9664449503742392,0.9294787628782529,0.9473050220968876,95% t-interval of the fold mean,0.9384 +/- 0.0216
EXP-A2,M4,accuracy,25,0.871885023670048,0.03085342943769596,0.7836166924265843,0.9144634525660964,0.8591493539424976,0.8846206933975985,95% t-interval of the fold mean,0.8719 +/- 0.0309
EXP-A2,M5,sensitivity,25,0.8130747740507671,0.06686504963863941,0.6793893129770993,0.9338235294117648,0.7854742380962922,0.840675310005242,95% t-interval of the fold mean,0.8131 +/- 0.0669
EXP-A2,M5,balanced_accuracy,25,0.8471607213499192,0.03255377186779101,0.7889894086496028,0.9003086235687023,0.833723184763219,0.8605982579366193,95% t-interval of the fold mean,0.8472 +/- 0.0326
EXP-A2,M5,specificity,25,0.8812466686490713,0.05381132420531263,0.7726396917148363,0.9688109161793372,0.8590344457237425,0.9034588915744001,95% t-interval of the fold mean,0.8812 +/- 0.0538
EXP-A2,M5,f1,25,0.7194132578085203,0.056945182642223584,0.6017191977077364,0.8091603053435115,0.6959074416991342,0.7429190739179063,95% t-interval of the fold mean,0.7194 +/- 0.0569
EXP-A2,M5,roc_auc,25,0.9363207791154013,0.02229036724285548,0.887422771403354,0.9695698108715384,0.9271197677372633,0.9455217904935393,95% t-interval of the fold mean,0.9363 +/- 0.0223
EXP-A2,M5,accuracy,25,0.8672979641393492,0.03881604783981751,0.7851622874806801,0.922360248447205,0.8512754870784125,0.883320441200286,95% t-interval of the fold mean,0.8673 +/- 0.0388
EXP-A2,M6,sensitivity,25,0.8615469513693752,0.06697610760032198,0.7404580152671756,0.9847328244274808,0.8339005729414255,0.8891933297973249,95% t-interval of the fold mean,0.8615 +/- 0.0670
EXP-A2,M6,balanced_accuracy,25,0.8558631699470313,0.025101376345751197,0.796876627531509,0.9030593988549618,0.8455018310400554,0.8662245088540071,95% t-interval of the fold mean,0.8559 +/- 0.0251
EXP-A2,M6,specificity,25,0.8501793885246874,0.053052109708163035,0.7387914230019493,0.9473684210526316,0.8282805539410855,0.8720782231082894,95% t-interval of the fold mean,0.8502 +/- 0.0531
EXP-A2,M6,f1,25,0.7087492616292356,0.04371567021026626,0.5941644562334217,0.7822878228782287,0.6907043198557209,0.7267942034027502,95% t-interval of the fold mean,0.7087 +/- 0.0437
EXP-A2,M6,roc_auc,25,0.938400689122729,0.022165881599136576,0.8905854663136217,0.96876627531509,0.929251062892794,0.947550315352664,95% t-interval of the fold mean,0.9384 +/- 0.0222
EXP-A2,M6,accuracy,25,0.8525353146262159,0.03448544619375559,0.7624223602484472,0.908385093167702,0.8383004220669373,0.8667702071854945,95% t-interval of the fold mean,0.8525 +/- 0.0345
EXP-A2,M7,sensitivity,25,0.8615380387134037,0.06695949198682881,0.7404580152671756,0.9847328244274808,0.8338985188736119,0.8891775585531956,95% t-interval of the fold mean,0.8615 +/- 0.0670
EXP-A2,M7,balanced_accuracy,25,0.8555880661827883,0.025321049299100187,0.796876627531509,0.9030593988549618,0.8451360507373232,0.8660400816282533,95% t-interval of the fold mean,0.8556 +/- 0.0253
EXP-A2,M7,specificity,25,0.849638093652173,0.0533866731917882,0.7387914230019493,0.9473684210526316,0.8276011580500456,0.8716750292543004,95% t-interval of the fold mean,0.8496 +/- 0.0534
EXP-A2,M7,f1,25,0.7081994698811109,0.044243817487458134,0.5941644562334217,0.7822878228782287,0.6899365196264514,0.7264624201357704,95% t-interval of the fold mean,0.7082 +/- 0.0442
EXP-A2,M7,roc_auc,25,0.9383495147018667,0.022232583950469363,0.8905854663136217,0.96876627531509,0.9291723550945371,0.9475266743091962,95% t-interval of the fold mean,0.9383 +/- 0.0222
EXP-A2,M7,accuracy,25,0.8521048133106904,0.03483387971200699,0.7624223602484472,0.908385093167702,0.8377260944639835,0.8664835321573974,95% t-interval of the fold mean,0.8521 +/- 0.0348
