config_id,families,n_features,model_id,n_folds,sensitivity,sensitivity_sd,sensitivity_delta_vs_A7,specificity,specificity_sd,specificity_delta_vs_A7,f1,f1_sd,f1_delta_vs_A7,balanced_accuracy,balanced_accuracy_sd,balanced_accuracy_delta_vs_A7,roc_auc,roc_auc_sd,roc_auc_delta_vs_A7,accuracy,accuracy_sd,accuracy_delta_vs_A7
A3,mfcc,39,M1,25,0.823766772670193,0.04526500278673815,-0.024226546118376713,0.7897272805646008,0.036297050305354475,-0.048125772623062946,0.6258654660074187,0.04018871763346693,-0.06089079497443184,0.8067470266173972,0.02892177741273999,-0.03617615937071961,0.884926955497496,0.019281145731372205,-0.0372484590171992,0.796731158185644,0.0302233360308432,-0.04322165173499881
A3,mfcc,39,M5,25,0.7714984847118306,0.057583099411286184,-0.026500640220040173,0.8755988862541454,0.03283190442847946,-0.02602297062438319,0.6859016046568752,0.04502887166364184,-0.04849959451534358,0.8235486854829881,0.02995691947275813,-0.02626180542221146,0.918629739924271,0.020475686210938728,-0.017114725882790283,0.8542672291329506,0.026233945362089426,-0.026114061316049986
A3,mfcc,39,M8,25,0.6907527498057207,0.0588518433796481,-0.06487425946257841,0.9200942487463294,0.025300907905642555,-0.0127293264001892,0.6911020958551203,0.046883966860497096,-0.05932891993751066,0.8054234992760249,0.03036681623426726,-0.03880179293138408,0.9234837274346677,0.02222905639487756,-0.017560873437874158,0.8730355974270634,0.02193648400200178,-0.023435705750604163
A3,mfcc,39,M4,25,0.6814262087738636,0.058670199203553104,-0.0661208213868143,0.9173110365136731,0.029208969167716294,-0.019308649038733416,0.681665131756957,0.04621029972585626,-0.06939140686910694,0.7993686226437684,0.029279181593337988,-0.04271473521277391,0.9227783619203371,0.021718958134501944,-0.019024315558408,0.8689170246820282,0.023304034020886853,-0.02891039926388228
A3,mfcc,39,M3,25,0.6548421528426848,0.06773814025187763,-0.015002750032653833,0.9311754201966745,0.03079384156677846,0.0008525463229827057,0.6824530283910555,0.0610501449380829,-0.008420819801659096,0.7930087865196797,0.0369017618943604,-0.007075101854835508,0.9164228320771123,0.02495505172965123,-0.0076554418581866734,0.8744806792528103,0.027741193426859618,-0.0024049817748476032
A4,dwt,24,M1,25,0.8408375203540279,0.0448952346854057,-0.007155798434541838,0.7876649593539967,0.038457025596489475,-0.05018809383366707,0.6330230798598536,0.04246409056181263,-0.053733181121996876,0.8142512398540123,0.030526508028617613,-0.02867194613410451,0.88924920372042,0.02598085660241017,-0.03292621079427516,0.7985857829066613,0.0325331956289938,-0.04136702701398154
A4,dwt,24,M5,25,0.7656179198854557,0.049822378520476815,-0.03238120504641506,0.8747340066301271,0.03280193111020454,-0.026887850248401457,0.6817217626025938,0.04464120984003053,-0.05267943656962504,0.8201759632577914,0.02842751338568546,-0.02963452764740815,0.9140960552327124,0.022933432466947304,-0.021648410574348853,0.8523543878549676,0.027045555399959977,-0.028026902594032954
A4,dwt,24,M4,25,0.7346525971258149,0.056078543091093426,-0.01289443303486304,0.9048593306465194,0.030958061626806303,-0.031760354905887134,0.6997072174746264,0.047080850832175614,-0.05134932115143753,0.8197559638861669,0.02977357368571223,-0.02232739397037542,0.9195192211340125,0.02377915943070104,-0.02228345634473261,0.8699353602624863,0.025432165336533027,-0.02789206368342423
A4,dwt,24,M8,25,0.709440369160212,0.05449363151704344,-0.04618664010808704,0.9112876297388022,0.029142880918549843,-0.021535945407716417,0.6918952960089139,0.042923816875333996,-0.05853571978371708,0.8103639994495072,0.026951833154390693,-0.03386129275790173,0.9188162505421192,0.018706195033644252,-0.022228350330422586,0.869854163159028,0.022580737634729432,-0.026617140018639573
A4,dwt,24,M3,25,0.5788588778715684,0.06442625386799253,-0.09098602500377018,0.938473923691794,0.029706843040772618,0.008151049818102218,0.6378918022897541,0.06603992137501721,-0.05298204590296052,0.7586664007816813,0.03738048219290495,-0.04141748759283381,0.9075803354755945,0.02973215428071652,-0.016497938459704486,0.8647015768956352,0.028416387134858532,-0.012184084132022655
A5,time + frequency,46,M1,25,0.8601681838235054,0.052171462199427046,0.01217486503493559,0.8115427847612938,0.033815959807367055,-0.026310268426369965,0.6653279679822889,0.0424137336924346,-0.021428292999561616,0.8358554842923996,0.031049346135614234,-0.007067701695717132,0.9051422673890035,0.022814956918376757,-0.017033147125691706,0.8215671429803015,0.02890757763290718,-0.018385666940341272
A5,time + frequency,46,M5,25,0.7728399663486596,0.053198593414953296,-0.02515915858321116,0.8917488710953251,0.030964532442371153,-0.009872985783203503,0.7061843312483309,0.04056231147021689,-0.02821686792388789,0.8322944187219923,0.02628794038721894,-0.017516072183207276,0.9267028239817812,0.0186450758961506,-0.009041641825280111,0.8673608109097902,0.023622687225164016,-0.013020479539210372
A5,time + frequency,46,M4,25,0.7300095502530388,0.06898332464399755,-0.017537479907639097,0.9181458318700634,0.03035281733680846,-0.01847385368234311,0.7137353501983545,0.04985387935764444,-0.03732118842770937,0.8240776910615512,0.03334746149253697,-0.01800566679499116,0.932658753292625,0.018069330009484852,-0.00914392418612009,0.8795602364388324,0.02404239688086519,-0.01826718750707812
A5,time + frequency,46,M8,25,0.7253131208161345,0.0594744858234584,-0.03031388845216454,0.9215620876836428,0.025125503796339047,-0.011261487462875808,0.7152432748964465,0.043291682792608734,-0.03518774089618448,0.8234376042498888,0.029030139195873664,-0.020787687957520173,0.9274775354664141,0.01724271857901446,-0.013567065406127732,0.8812995412877879,0.02041261325825932,-0.015171761889879676
A5,time + frequency,46,M3,25,0.5554342247668389,0.06841490901067922,-0.1144106781084997,0.942987585113092,0.017610085942562262,0.012664711239400162,0.624622667475712,0.06486877611274204,-0.06625118071700253,0.7492109049399656,0.0376423760434501,-0.0508729834345496,0.9122356426313144,0.02339802504875367,-0.011842631303984552,0.8634855131923501,0.022147813958212605,-0.01340014783530774
A6,mfcc + dwt,63,M1,25,0.8443986541144245,0.043328049615990794,-0.003594664674145265,0.8162583898911415,0.0400343036724022,-0.021594663296522265,0.6625283713463253,0.03927924710026902,-0.024227889635525246,0.8303285220027833,0.02518019978536582,-0.012594663985333487,0.9079163767128808,0.01928139154100092,-0.014259037801814367,0.822050819304404,0.030642835268043657,-0.01790199061623876
A6,mfcc + dwt,63,M5,25,0.7911499738013792,0.05522398272827107,-0.00684915113049156,0.893629539714799,0.03200566312623325,-0.007992317163729612,0.7195898320262394,0.048985374690619886,-0.014811367145979415,0.842389756758089,0.03138869241785355,-0.00742073414711053,0.9319966268858502,0.022080905992181744,-0.0037478389212111107,0.8726212933178342,0.02747918077049217,-0.007759997131166374
A6,mfcc + dwt,63,M8,25,0.746848272541786,0.05358182307426964,-0.008778736726513081,0.9288680510330138,0.02654376878074696,-0.003955524113504749,0.7393635709767934,0.0411212122451529,-0.011067444815837546,0.8378581617873999,0.026173988256604924,-0.006367130420009026,0.9373675474989395,0.020052073548705893,-0.003677053373602357,0.8915380459398284,0.020695447965159305,-0.004933257237839106
A6,mfcc + dwt,63,M4,25,0.7313741931491938,0.05996384339290112,-0.016172837011484087,0.9325854257141577,0.026921607202026764,-0.004034259838248788,0.7349328714189278,0.0538971176217361,-0.016123667207136094,0.8319798094316758,0.03340710568670042,-0.010103548424866493,0.9359362881381148,0.022749734154457104,-0.005866389340630329,0.8912961443577996,0.025092644034724738,-0.00653127958811095
A6,mfcc + dwt,63,M3,25,0.6903812896733359,0.07210422330986074,0.020536386797997297,0.9285441057838755,0.032050745664180307,-0.0017787680898163627,0.702800990611604,0.06461291190921421,0.01192714241888937,0.8094626977286058,0.04005125434341938,0.009378809354090634,0.9242762881702095,0.025375201455833465,0.00019801423491050407,0.8796778876969868,0.029854752287699904,0.00279222666932899
A7,time + frequency + mfcc + chroma + dwt + envelope,138,M1,25,0.8479933187885698,0.039651751739522886,0.0,0.8378530531876638,0.036437864841969474,0.0,0.6867562609818505,0.042513708411701046,0.0,0.8429231859881168,0.026269482333133316,0.0,0.9221754145146952,0.019219626715802365,0.0,0.8399528099206428,0.029711112128121765,0.0
A7,time + frequency + mfcc + chroma + dwt + envelope,138,M5,25,0.7979991249318708,0.05504045101131409,0.0,0.9016218568785286,0.03625527933305099,0.0,0.7344011991722188,0.050514416345078285,0.0,0.8498104909051996,0.03014766456720083,0.0,0.9357444658070613,0.02186977716088595,0.0,0.8803812904490006,0.02901954442513568,0.0
A7,time + frequency + mfcc + chroma + dwt + envelope,138,M8,25,0.7556270092682991,0.0626458769631817,0.0,0.9328235751465186,0.028233887853066582,0.0,0.7504310157926309,0.047847925853444606,0.0,0.8442252922074089,0.031085627431688682,0.0,0.9410446008725418,0.01796680807842469,0.0,0.8964713031776675,0.0229334080287399,0.0
A7,time + frequency + mfcc + chroma + dwt + envelope,138,M4,25,0.7475470301606779,0.06326348603349237,0.0,0.9366196855524065,0.029321936595700607,0.0,0.7510565386260639,0.052708521418613076,0.0,0.8420833578565423,0.032945933529836234,0.0,0.9418026774787451,0.02023584548443079,0.0,0.8978274239459105,0.024960761293280592,0.0
A7,time + frequency + mfcc + chroma + dwt + envelope,138,M3,25,0.6698449028753386,0.06880737110743863,0.0,0.9303228738736918,0.027051946775737128,0.0,0.6908738481927146,0.05766357453401893,0.0,0.8000838883745152,0.036461651068808644,0.0,0.924078273935299,0.023586273628884238,0.0,0.8768856610276579,0.025075639105622563,0.0
A8,the SO-04 selected subset,20,M1,25,0.8731990524477264,0.03817286436941228,0.02520573365915668,0.8017211621099852,0.04180162535576408,-0.03613189107767856,0.6633502622833768,0.04512398811097726,-0.023405998698473707,0.8374601072788559,0.02897153835340145,-0.005463078709260882,0.9110454060438714,0.021740146313947873,-0.011130008470823793,0.8164099830197229,0.03455214980940597,-0.02354282690091991
A8,the SO-04 selected subset,20,M5,25,0.803577456166555,0.05753837840807262,0.0055783312346842084,0.8963380516100075,0.030943219228847976,-0.0052838052685211245,0.7299873776024193,0.046700478889070064,-0.004413821569799525,0.8499577538882812,0.0307608044213262,0.00014726298308165298,0.9359931840155266,0.021234875206675132,0.0002487182084652817,0.8773100555116236,0.02579338440167609,-0.003071234937377043
A8,the SO-04 selected subset,20,M4,25,0.78719399139783,0.05239999042137253,0.039646961237152056,0.9240468557460608,0.031188580665440085,-0.012572829806345664,0.7579893373956109,0.049619350467969926,0.0069327987695469995,0.8556204235719455,0.0291133234409987,0.01353706571540314,0.9448187347214305,0.019037120903638904,0.0030160572426853882,0.8959793184111926,0.025982532726980104,-0.0018481055347179254
A8,the SO-04 selected subset,20,M8,25,0.7722393877825361,0.05842370206727671,0.016612378514237025,0.9260797065981612,0.027281994195934352,-0.006743868548357401,0.7510717957516638,0.04542858911139528,0.0006407799590328889,0.8491595471903487,0.029586660878028553,0.004934254982939756,0.9444626179530954,0.016447721095138073,0.0034180170805535592,0.8945202691497287,0.02250216555237918,-0.001951034027938836
A8,the SO-04 selected subset,20,M3,25,0.6415451466803249,0.08388091830485216,-0.02829975619501368,0.9340496089252431,0.02716935244047672,0.0037267350515513,0.675961175596479,0.07390075879011257,-0.014912672596235632,0.7877973778027841,0.04603981927526534,-0.012286510571731024,0.9283503276032431,0.02512510523589155,0.004272053667944142,0.8740756361402725,0.029370016387836304,-0.002810024887385354
