run,rank,model_id,model_name,x,mean,sd,n_folds,pr_auc_mean,pr_auc_sd,prevalence,legend
EXP-A1,1,M6,Soft Voting (equal weights),0.43,0.824449,0.105944,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.44,0.822981,0.107003,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.45,0.821154,0.105501,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.46,0.821305,0.107309,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.47,0.819205,0.107744,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.48,0.817427,0.10739,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.49,0.815747,0.108006,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.5,0.815738,0.107514,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.51,0.814328,0.108311,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.52,0.814101,0.107213,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.53,0.814661,0.106965,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.54,0.812246,0.104355,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.55,0.812505,0.104577,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.56,0.812722,0.103744,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.57,0.811212,0.103306,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.58,0.811648,0.103744,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.59,0.810797,0.103699,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.6,0.810363,0.103531,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.61,0.809601,0.104561,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.62,0.808487,0.104065,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.63,0.804492,0.104063,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.64,0.801061,0.103641,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.65,0.798907,0.105025,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.66,0.797225,0.105819,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.67,0.793667,0.105508,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.68,0.790848,0.105016,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
EXP-A1,1,M6,Soft Voting (equal weights),0.69,0.788132,0.105306,25,0.7747624740985141,0.0826395697511171,0.2052469135802469,M6 Soft Voting (equal weights)  AP 0.775
