task,run,model_id,class_index,class_name,x,mean,sd,n_folds,n_folds_total,auc_mean,auc_sd,ovr_auc_macro_mean,legend
pascal_a,EXP-B1,M4,0,normal,0.16,0.30945833333333334,0.1251616316119991,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.17,0.31089583333333337,0.12462784298737255,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.18,0.34525,0.10884285449816465,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.19,0.3466875,0.10812464095779964,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.2,0.3729166666666667,0.12696374154327159,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.21,0.3729166666666667,0.12696374154327159,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.22,0.425,0.11088518697895595,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.23,0.425,0.11088518697895595,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.24,0.44416666666666665,0.11062741941275647,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.25,0.44416666666666665,0.11062741941275647,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.26,0.4508333333333333,0.10507566350838997,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.27,0.4758333333333333,0.131978065891811,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.28,0.5225,0.11642170049298803,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.29,0.5235624999999999,0.11432177428139259,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.3,0.525,0.11157887649108295,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.31,0.5639375,0.13287037863756587,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.32,0.5853750000000001,0.12888267016846403,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.33,0.6112500000000001,0.13923637087811733,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.34,0.6112500000000001,0.13923637087811733,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.35,0.6577083333333333,0.151624593523317,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.36,0.6605833333333333,0.14732860412218868,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.37,0.70875,0.1368242373031191,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.38,0.70875,0.1368242373031191,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.39,0.72875,0.13738701867801983,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.4,0.7725000000000001,0.1387388078012906,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.41,0.7925000000000001,0.12482704083433524,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.42,0.8175000000000001,0.1456255132985178,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.43,0.8375,0.12063361528115815,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.44,0.85,0.11320935484619353,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.45,0.8833333333333334,0.07997877804937761,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.46,0.8895833333333334,0.07618027068720162,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.47,0.89625,0.07686593467577331,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.48,0.9025000000000001,0.0828970058581546,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.49,0.9025000000000001,0.0828970058581546,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.5,0.9025000000000001,0.0828970058581546,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.51,0.905375,0.08472414615301843,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.52,0.9149166666666666,0.08647633123692017,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.53,0.9154166666666667,0.08700366282909595,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.54,0.9287500000000002,0.0628677452678377,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.55,0.9287500000000002,0.0628677452678377,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.56,0.9287500000000002,0.0628677452678377,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.57,0.9287500000000002,0.0628677452678377,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.58,0.9287500000000002,0.0628677452678377,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.59,0.9350000000000002,0.052234041215747366,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.6,0.9483333333333335,0.049814470603244204,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.61,0.9545833333333335,0.043053315353906975,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.62,0.96125,0.0445333312541583,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.63,0.96125,0.0445333312541583,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.64,0.9675,0.03429177636002436,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.65,0.9675,0.03429177636002436,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.66,0.9675,0.03429177636002436,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.67,0.9675,0.03429177636002436,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.68,0.9675,0.03429177636002436,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.69,0.9741666666666667,0.033379597523999556,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.7,0.9804166666666667,0.03155254778310205,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.71,0.9804166666666667,0.03155254778310205,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.72,0.9804166666666667,0.03155254778310205,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.73,0.9804166666666667,0.03155254778310205,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.74,0.9804166666666667,0.03155254778310205,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.75,0.9870833333333333,0.027248428429027822,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.76,0.9870833333333333,0.027248428429027822,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.77,0.9870833333333333,0.027248428429027822,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.78,0.9870833333333333,0.027248428429027822,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
pascal_a,EXP-B1,M4,0,normal,0.79,0.9933333333333334,0.02108185106778919,10,10,0.7252740518038853,0.04218723927242009,0.8803005993147863,normal  AUC 0.725
