run,task,arm,model_id,n_folds,n_train_mean,fit_seconds_mean,fit_seconds_sd,fit_seconds_median,fit_seconds_min,fit_seconds_max,fit_seconds_total,fit_seconds_spread,predict_seconds_mean,predict_seconds_sd,predict_seconds_median,predict_seconds_min,predict_seconds_max,predict_seconds_total,predict_seconds_spread,predict_seconds_per_record_mean
EXP-A2-so04_subset,binary,nested search (on the SO-04 20-feature subset rather than all 138),M7,25,2592.0,88.61364892000002,50.35387149311175,69.001503,33.137508,180.64956,2215.3412230000004,5.4515131312831375,0.81382104,0.24745801640538947,0.921127,0.40564,1.224154,20.345526,3.0178335469874766,0.0012554436453041185
EXP-B1,pascal_a,nested search,M1,10,62.0,0.6722266,0.6716839691434259,0.5649679999999999,0.019146,1.461724,6.722266,76.3461819701243,0.0045871,0.003966701160914444,0.0031035000000000004,0.002605,0.01558,0.045871,5.980806142034549,7.398548387096774e-05
EXP-B1,pascal_a,nested search,M3,10,62.0,0.08327169999999998,0.014031671762678726,0.079442,0.068206,0.109646,0.8327169999999998,1.6075711814209892,0.0254342,0.00457845960995617,0.024857499999999998,0.01984,0.033832,0.254342,1.705241935483871,0.0004102290322580646
EXP-B1,pascal_a,nested search,M4,10,62.0,1.1608495,1.1005013667508552,0.679828,0.329553,3.148593,11.608495000000001,9.554132415726757,0.2027621,0.16726664839740168,0.129084,0.072822,0.537404,2.027621,7.379692949932712,0.003270356451612903
EXP-B1,pascal_a,nested search,M5,10,62.0,3.5897791999999997,3.3011355462044945,1.6267515000000001,1.24358,8.567786,35.897791999999995,6.889613856768363,0.013919200000000001,0.007886444048703657,0.012469999999999998,0.005943,0.028082,0.139192,4.725222951371361,0.0002245032258064516
EXP-B1,pascal_a,nested search,M6,10,62.0,8.819013700000001,5.7038494266091915,6.7581765,3.792279,18.015552,88.19013700000001,4.750587179898947,0.24389889999999997,0.14353074539736155,0.18182399999999999,0.115882,0.508922,2.438989,4.39172606617076,0.003933853225806452
EXP-B1,pascal_a,nested search,M7,10,62.0,31.926286700000002,18.661288689492505,24.1794535,12.734699,60.676022,319.262867,4.764621605897399,0.2765375,0.19897533429841666,0.185048,0.119975,0.686114,2.765375,5.718808085017712,0.004460282258064516
EXP-B1-defaults,pascal_a,config defaults (the defaults arm shipped beside EXP-B1),M1,10,62.0,0.0447728,0.006967384856123087,0.0449075,0.033214,0.054092,0.447728,1.6285903534654063,0.0031758000000000003,0.0006464767418691703,0.0028685,0.002534,0.00411,0.031758,1.621941594317285,5.122258064516129e-05
EXP-B1-defaults,pascal_a,config defaults (the defaults arm shipped beside EXP-B1),M3,10,62.0,0.08407039999999999,0.024462776399165234,0.07828650000000001,0.062371,0.140598,0.8407039999999999,2.254220711548636,0.0243853,0.0065555746599533305,0.022626,0.018411,0.03968,0.243853,2.1552332844495137,0.00039331129032258073
EXP-B1-defaults,pascal_a,config defaults (the defaults arm shipped beside EXP-B1),M4,10,62.0,1.5934952,0.13319004945799146,1.533535,1.470641,1.89132,15.934952000000001,1.2860514564737415,0.3005558,0.06042348748587386,0.30342,0.229921,0.407093,3.0055579999999997,1.770577720173451,0.004847674193548387
EXP-B1-defaults,pascal_a,config defaults (the defaults arm shipped beside EXP-B1),M5,10,62.0,2.0696423,0.1269106145416704,2.093736,1.887853,2.257122,20.696423,1.1956026237212325,0.007546300000000001,0.001311996193253285,0.0068675,0.00628,0.009449,0.075463,1.5046178343949046,0.00012171451612903226
EXP-B1-defaults,pascal_a,config defaults (the defaults arm shipped beside EXP-B1),M6,10,62.0,6.3295138,0.7897965454506201,6.163918000000001,5.51232,8.357113,63.295138,1.5160790737838152,0.3168792,0.05778738544930603,0.298635,0.283052,0.479131,3.1687920000000003,1.692731370914178,0.005110954838709677
EXP-B1-defaults,pascal_a,config defaults (the defaults arm shipped beside EXP-B1),M7,10,62.0,23.389822000000002,2.0870174970346778,22.710865,21.898007,28.824676,233.89822,1.3163150418209293,0.31639350000000005,0.03136922302459318,0.3010865,0.296224,0.392982,3.1639350000000004,1.326637949659717,0.005103120967741936
EXP-B2,pascal_b,nested search,M1,5,368.8,2.9210964,1.685347231255417,3.135908,0.123515,4.618408,14.605482,37.391474719669674,0.003838,0.0005248318778428002,0.003842,0.003056,0.004445,0.01919,1.4545157068062826,4.164595605423095e-05
EXP-B2,pascal_b,nested search,M3,5,368.8,0.1328566,0.007879197757386219,0.132075,0.123988,0.143017,0.664283,1.1534745297932059,0.052806,0.0072141672769627406,0.051916,0.044918,0.060993,0.26403,1.3578743488133933,0.0005728829359513792
EXP-B2,pascal_b,nested search,M4,5,368.8,2.3932058,2.3074093653256895,0.79513,0.735535,5.684578,11.966029,7.728494225291794,0.3851046,0.2615588717589216,0.283011,0.130338,0.676304,1.925523,5.188847458147278,0.004170110682561945
