run,rank,model_id,model_name,x,mean,sd,n_folds,roc_auc_mean,roc_auc_sd,legend
EXP-A1,1,M6,Soft Voting (equal weights),0.48,1.0,0.0,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.49,1.0,0.0,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.5,1.0,0.0,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.51,1.0,0.0,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.52,1.0,0.0,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.53,1.0,0.0,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.54,1.0,0.0,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.55,1.0,0.0,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.56,1.0,0.0,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.57,1.0,0.0,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.58,1.0,0.0,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.59,1.0,0.0,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.6,1.0,0.0,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.61,1.0,0.0,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.62,1.0,0.0,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.63,1.0,0.0,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
EXP-A1,1,M6,Soft Voting (equal weights),0.64,1.0,0.0,25,0.9395334531543368,0.0219540850563451,M6 Soft Voting (equal weights)  AUC 0.940
