method,model_id,task,outer_fold,repeat,fold,objective,trial,score,score_std,n_inner_folds,seconds,status,inner_accuracy,inner_balanced_accuracy,inner_f1,inner_sensitivity,inner_specificity,inner_fold_0_score,inner_fold_1_score,inner_fold_2_score,inner_fold_0_accuracy,inner_fold_0_balanced_accuracy,inner_fold_0_f1,inner_fold_0_sensitivity,inner_fold_0_specificity,inner_fold_1_accuracy,inner_fold_1_balanced_accuracy,inner_fold_1_f1,inner_fold_1_sensitivity,inner_fold_1_specificity,inner_fold_2_accuracy,inner_fold_2_balanced_accuracy,inner_fold_2_f1,inner_fold_2_sensitivity,inner_fold_2_specificity,param_C,param_l1_ratio,param_max_iter,param_solver,message,best_so_far,param_class_weight,param_gamma,param_max_depth,param_max_features,param_min_samples_leaf,param_n_estimators,param_learning_rate,param_subsample,param_colsample_bytree,param_reg_lambda
random,M3,binary,r0f0,0,0,balanced_accuracy,7,0.721073,0.017831,3,5.9342,ok,0.86425,0.721251,0.591647,0.478424,0.964078,0.709609,0.746256,0.707354,0.862471,0.709609,0.572464,0.451429,0.967789,0.867816,0.746256,0.627832,0.538889,0.953623,0.862428,0.707354,0.570397,0.44382,0.970888,137.45351808288655,,,,,0.801297,balanced,0.1439865731152542,,,,,,,,
random,M3,binary,r0f0,0,0,balanced_accuracy,8,0.773418,0.024941,3,2.1172,ok,0.88469,0.773751,0.676056,0.585366,0.962136,0.743966,0.804952,0.771335,0.879953,0.743966,0.636042,0.514286,0.973646,0.882759,0.804952,0.703488,0.672222,0.937681,0.891329,0.771335,0.682432,0.567416,0.975255,61.72181669491839,,,,,0.801297,balanced,0.0059242017575537684,,,,,,,,
random,M3,binary,r0f0,0,0,balanced_accuracy,9,0.5,0.0,3,5.8561,ok,0.794447,0.5,0.0,0.0,1.0,0.5,0.5,0.5,0.796037,0.5,0.0,0.0,1.0,0.793103,0.5,0.0,0.0,1.0,0.79422,0.5,0.0,0.0,1.0,292.14980892945033,,,,,0.801297,,0.7796819592477416,,,,,,,,
random,M3,binary,r0f0,0,0,balanced_accuracy,10,0.76414,0.019684,3,4.6954,ok,0.866564,0.764429,0.645492,0.590994,0.937864,0.736574,0.78128,0.774565,0.864802,0.736574,0.610738,0.52,0.953148,0.851724,0.78128,0.648501,0.661111,0.901449,0.883237,0.774565,0.675241,0.589888,0.959243,0.09401421827646232,,,,,0.801297,balanced,0.021557828797649357,,,,,,,,
random,M3,binary,r0f0,0,0,balanced_accuracy,11,0.620795,0.019868,3,5.4519,ok,0.836483,0.621026,0.390805,0.255159,0.986893,0.595536,0.644082,0.622765,0.82634,0.595536,0.325792,0.205714,0.985359,0.842529,0.644082,0.445344,0.305556,0.982609,0.840462,0.622765,0.394737,0.252809,0.992722,0.05908094868664633,,,,,0.801297,balanced,0.26016254132106664,,,,,,,,
random,M3,binary,r0f0,0,0,balanced_accuracy,12,0.5,0.0,3,7.2463,ok,0.794447,0.5,0.0,0.0,1.0,0.5,0.5,0.5,0.796037,0.5,0.0,0.0,1.0,0.793103,0.5,0.0,0.0,1.0,0.79422,0.5,0.0,0.0,1.0,52.94327218012265,,,,,0.801297,balanced,6.879369904976102,,,,,,,,
random,M3,binary,r0f0,0,0,balanced_accuracy,13,0.800151,0.011229,3,3.7755,ok,0.876205,0.800398,0.690453,0.67167,0.929126,0.785949,0.813406,0.801097,0.889277,0.785949,0.692557,0.611429,0.960469,0.850575,0.813406,0.675,0.75,0.876812,0.889017,0.801097,0.707317,0.651685,0.950509,0.7117025635786539,,,,,0.801297,balanced,0.022273017401870748,,,,,,,,
random,M3,binary,r0f0,0,0,balanced_accuracy,14,0.714371,0.034188,3,5.1433,ok,0.819514,0.714652,0.55,0.536585,0.892718,0.680753,0.701087,0.761273,0.83683,0.680753,0.51049,0.417143,0.944363,0.789655,0.701087,0.519685,0.55,0.852174,0.83237,0.761273,0.61126,0.640449,0.882096,0.08858430769548424,,,,,0.801297,,0.0004462801050932085,,,,,,,,
random,M3,binary,r0f0,0,0,balanced_accuracy,15,0.648393,0.021826,3,5.5181,ok,0.846124,0.648651,0.455662,0.313321,0.983981,0.618394,0.669686,0.657099,0.835664,0.618394,0.384279,0.251429,0.985359,0.850575,0.669686,0.5,0.361111,0.978261,0.852023,0.657099,0.47541,0.325843,0.988355,0.13631597219076083,,,,,0.801297,balanced,0.22339321243917015,,,,,,,,
random,M3,binary,r0f0,0,0,balanced_accuracy,16,0.5,0.0,3,5.7219,ok,0.794447,0.5,0.0,0.0,1.0,0.5,0.5,0.5,0.796037,0.5,0.0,0.0,1.0,0.793103,0.5,0.0,0.0,1.0,0.79422,0.5,0.0,0.0,1.0,1.533767723833325,,,,,0.801297,,1.4567699699979235,,,,,,,,
