exp_id,model_id,task,repeat,fold,fold_label,n_train,n_test,n_features,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,support,n_classes,ovr_auc_macro,precision_normal,recall_normal,f1_normal,support_normal,precision_murmur,recall_murmur,f1_murmur,support_murmur,precision_extrastole,recall_extrastole,f1_extrastole,support_extrastole,brier,ece,fit_seconds,predict_seconds,params,note
EXP-B2,M4,pascal_b,0,0,r0f0,369,92,138,0.7391304347826086,0.4651864035087719,0.4588134869825011,0.6907253799476701,0.4664224664224664,0.4651864035087719,92.0,3.0,0.6923513786947323,0.7564102564102564,0.921875,0.8309859154929577,64.0,0.6428571428571429,0.47368421052631576,0.5454545454545454,19.0,0.0,0.0,0.0,9.0,0.4440835652173913,0.1751086956521739,1.922504,0.371742,{},config defaults
EXP-B2,M4,pascal_b,0,1,r0f1,369,92,138,0.6630434782608695,0.37938596491228066,0.3704376798424958,0.6153033206250124,0.3782051282051282,0.37938596491228066,92.0,3.0,0.6838123272600535,0.717948717948718,0.875,0.7887323943661971,64.0,0.4166666666666667,0.2631578947368421,0.3225806451612903,19.0,0.0,0.0,0.0,9.0,0.4656181739130435,0.10293478260869567,1.813414,0.443366,{},config defaults
EXP-B2,M4,pascal_b,0,2,r0f2,368,93,138,0.7204301075268817,0.5093201754385964,0.4861912741264818,0.6969047232949552,0.4656264133876074,0.5093201754385964,93.0,3.0,0.6810264427381375,0.8059701492537313,0.84375,0.8244274809160306,64.0,0.5909090909090909,0.6842105263157895,0.6341463414634146,19.0,0.0,0.0,0.0,10.0,0.45685023655913976,0.14191397849462364,2.053666,0.379301,{},config defaults
EXP-B2,M4,pascal_b,0,3,r0f3,369,92,138,0.7065217391304348,0.43722587719298245,0.43111970771545244,0.6625739354694026,0.43722943722943725,0.43722587719298245,92.0,3.0,0.666266813934794,0.7402597402597403,0.890625,0.8085106382978723,64.0,0.5714285714285714,0.42105263157894735,0.48484848484848486,19.0,0.0,0.0,0.0,9.0,0.460567652173913,0.14295652173913043,1.893833,0.36577,{},config defaults
EXP-B2,M4,pascal_b,0,4,r0f4,369,92,138,0.6739130434782609,0.3599232456140351,0.33983983983983984,0.6005353179266223,0.35912698412698413,0.3599232456140351,92.0,3.0,0.5986691628095564,0.7023809523809523,0.921875,0.7972972972972973,64.0,0.375,0.15789473684210525,0.2222222222222222,19.0,0.0,0.0,0.0,9.0,0.47865713043478264,0.16821739130434793,2.01991,0.426903,{},config defaults
EXP-B2,M5,pascal_b,0,0,r0f0,369,92,138,0.717391304347826,0.4742629142300195,0.49304335333576454,0.6911018970838156,0.5422222222222223,0.4742629142300195,92.0,3.0,0.7014769033820593,0.76,0.890625,0.8201438848920863,64.0,0.6666666666666666,0.42105263157894735,0.5161290322580645,19.0,0.2,0.1111111111111111,0.14285714285714285,9.0,0.4406570882019216,0.16299647202708273,11.41137,0.008952,{},config defaults
EXP-B2,M5,pascal_b,0,1,r0f1,369,92,138,0.6847826086956522,0.43914473684210525,0.42686804451510335,0.6528997027718255,0.4166666666666667,0.43914473684210525,92.0,3.0,0.6693162960519019,0.75,0.84375,0.7941176470588235,64.0,0.5,0.47368421052631576,0.4864864864864865,19.0,0.0,0.0,0.0,9.0,0.49277492695121433,0.21090921598894904,11.452678,0.007057,{},config defaults
EXP-B2,M5,pascal_b,0,2,r0f2,368,93,138,0.7311827956989247,0.4651864035087719,0.46255827505827507,0.6827816001203099,0.47971437844855563,0.4651864035087719,93.0,3.0,0.6338671770271355,0.7468354430379747,0.921875,0.8251748251748252,64.0,0.6923076923076923,0.47368421052631576,0.5625,19.0,0.0,0.0,0.0,10.0,0.4610654780462618,0.19131588777571457,11.314008,0.007874,{},config defaults
EXP-B2,M5,pascal_b,0,3,r0f3,369,92,138,0.75,0.45805921052631576,0.470935960591133,0.703319768687085,0.5473251028806584,0.45805921052631576,92.0,3.0,0.6382742691204617,0.7530864197530864,0.953125,0.8413793103448276,64.0,0.8888888888888888,0.42105263157894735,0.5714285714285714,19.0,0.0,0.0,0.0,9.0,0.43151005992882124,0.18233191112448355,11.78076,0.011323,{},config defaults
EXP-B2,M5,pascal_b,0,4,r0f4,369,92,138,0.6847826086956522,0.4021381578947369,0.3990675990675991,0.6371845545758589,0.4223245109321058,0.4021381578947369,92.0,3.0,0.5786635210432373,0.7215189873417721,0.890625,0.7972027972027972,64.0,0.5454545454545454,0.3157894736842105,0.4,19.0,0.0,0.0,0.0,9.0,0.5440255874418436,0.22623969956372367,12.612298,0.007373,{},config defaults
EXP-B2,M6,pascal_b,0,0,r0f0,369,92,138,0.7717391304347826,0.456140350877193,0.4658406470487007,0.7088112500280578,0.5843137254901961,0.456140350877193,92.0,3.0,0.6946038280521062,0.7529411764705882,1.0,0.8590604026845637,64.0,1.0,0.3684210526315789,0.5384615384615384,19.0,0.0,0.0,0.0,9.0,0.41228820643592357,0.11663806026664124,24.853834,0.491672,{},config defaults
EXP-B2,M6,pascal_b,0,1,r0f1,369,92,138,0.7391304347826086,0.40350877192982454,0.39664378337147216,0.6576460053725998,0.5757575757575758,0.40350877192982454,92.0,3.0,0.6867759248605068,0.7272727272727273,1.0,0.8421052631578947,64.0,1.0,0.21052631578947367,0.34782608695652173,19.0,0.0,0.0,0.0,9.0,0.42639344954532965,0.09409312406921483,29.586743,0.487006,{},config defaults
EXP-B2,M6,pascal_b,0,2,r0f2,368,93,138,0.7634408602150538,0.456140350877193,0.46393162393162396,0.6972484146677695,0.5813953488372093,0.456140350877193,93.0,3.0,0.6978819617017145,0.7441860465116279,1.0,0.8533333333333334,64.0,1.0,0.3684210526315789,0.5384615384615384,19.0,0.0,0.0,0.0,10.0,0.4058947430085504,0.13285733065955854,25.515795,0.455782,{},config defaults
EXP-B2,M6,pascal_b,0,3,r0f3,369,92,138,0.7391304347826086,0.41584429824561403,0.41333333333333333,0.6669565217391304,0.5219638242894057,0.41584429824561403,92.0,3.0,0.6810569528172771,0.7325581395348837,0.984375,0.84,64.0,0.8333333333333334,0.2631578947368421,0.4,19.0,0.0,0.0,0.0,9.0,0.4163604806644134,0.12364472245214797,26.695789,0.700716,{},config defaults
EXP-B2,M6,pascal_b,0,4,r0f4,369,92,138,0.717391304347826,0.3807565789473684,0.36327231121281467,0.6305342751964979,0.4886363636363636,0.3807565789473684,92.0,3.0,0.6199386363029739,0.7159090909090909,0.984375,0.8289473684210527,64.0,0.75,0.15789473684210525,0.2608695652173913,19.0,0.0,0.0,0.0,9.0,0.43624270915635455,0.08568150546440262,29.052696,0.459303,{},config defaults
EXP-B2,M7,pascal_b,0,0,r0f0,369,92,138,0.7717391304347826,0.456140350877193,0.4658406470487007,0.7088112500280578,0.5843137254901961,0.456140350877193,92.0,3.0,0.6944263495183627,0.7529411764705882,1.0,0.8590604026845637,64.0,1.0,0.3684210526315789,0.5384615384615384,19.0,0.0,0.0,0.0,9.0,0.41346093846638565,0.13414165423655244,79.352278,0.51936,{},config defaults
EXP-B2,M7,pascal_b,0,1,r0f1,369,92,138,0.7391304347826086,0.41584429824561403,0.41333333333333333,0.6669565217391304,0.5219638242894057,0.41584429824561403,92.0,3.0,0.6900646556382085,0.7325581395348837,0.984375,0.84,64.0,0.8333333333333334,0.2631578947368421,0.4,19.0,0.0,0.0,0.0,9.0,0.4322512651134677,0.12468200504266064,82.665865,0.470252,{},config defaults
EXP-B2,M7,pascal_b,0,2,r0f2,368,93,138,0.7419354838709677,0.4827302631578947,0.4750382422472535,0.6960941320019199,0.47763347763347763,0.4827302631578947,93.0,3.0,0.6824582475435661,0.7662337662337663,0.921875,0.8368794326241135,64.0,0.6666666666666666,0.5263157894736842,0.5882352941176471,19.0,0.0,0.0,0.0,10.0,0.44415156192585065,0.1592987018849018,85.770231,0.464842,{},config defaults
EXP-B2,M7,pascal_b,0,3,r0f3,369,92,138,0.7608695652173914,0.45093201754385964,0.4566232899566233,0.6993297645471558,0.5416666666666666,0.45093201754385964,92.0,3.0,0.6697249246137685,0.75,0.984375,0.8513513513513513,64.0,0.875,0.3684210526315789,0.5185185185185185,19.0,0.0,0.0,0.0,9.0,0.4246565088249014,0.13908888239536898,82.821784,0.455552,{},config defaults
EXP-B2,M7,pascal_b,0,4,r0f4,369,92,138,0.717391304347826,0.3807565789473684,0.36327231121281467,0.6305342751964979,0.4886363636363636,0.3807565789473684,92.0,3.0,0.6120014974883915,0.7159090909090909,0.984375,0.8289473684210527,64.0,0.75,0.15789473684210525,0.2608695652173913,19.0,0.0,0.0,0.0,9.0,0.4451928779601118,0.08224354523246098,84.958404,0.461033,{},config defaults
