run,task,model_id,fold_label,quality_group,n_units,n_records_corpus,reported,mean_snr_proxy_db,n_classes_present,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,mcc,roc_auc,pr_auc,tp,fp,tn,fn,support,n_positive,n_negative
EXP-A2,binary,M4,r2f1,low_quality_other,1,15,False,31.810908,1,1.0,1.0,1.0,,1.0,1.0,,,,1.0,0.0,0.0,0.0,1.0,1.0,0.0
EXP-A2,binary,M4,r2f1,noisy,84,462,True,33.341621273809515,2,0.75,0.5087173100871731,0.18181818181818182,0.8356164383561644,0.14285714285714285,0.16,0.01578182506843426,0.6164383561643836,0.20182296846266518,2.0,12.0,61.0,9.0,84.0,11.0,73.0
EXP-A2,binary,M4,r2f2,clean,562,2763,True,30.526720889679723,2,0.8932384341637011,0.9141626159964649,0.9516129032258065,0.8767123287671232,0.686046511627907,0.7972972972972973,0.7453362803423316,0.9761746943585211,0.9108530941112573,118.0,54.0,384.0,6.0,562.0,124.0,438.0
EXP-A2,binary,M4,r2f2,low_quality_other,7,15,False,37.402868,1,0.42857142857142855,0.21428571428571427,0.0,0.42857142857142855,0.0,0.0,,,,0.0,4.0,3.0,0.0,7.0,0.0,7.0
EXP-A2,binary,M4,r2f2,noisy,86,462,True,30.668453976744182,2,0.6046511627906976,0.6090621707060063,0.6153846153846154,0.6027397260273972,0.21621621621621623,0.32,0.1578113871252352,0.7186512118018968,0.449395104006088,8.0,29.0,44.0,5.0,86.0,13.0,73.0
EXP-A2,binary,M4,r2f3,clean,560,2763,True,30.586988523214288,2,0.9160714285714285,0.8971355165273411,0.864406779661017,0.9298642533936652,0.7669172932330827,0.8127490039840638,0.7611690209921397,0.9596786563386763,0.8165011784602003,102.0,31.0,411.0,16.0,560.0,118.0,442.0
EXP-A2,binary,M4,r2f3,low_quality_other,2,15,False,31.3467875,1,1.0,0.5,0.0,1.0,0.0,0.0,,,,0.0,0.0,2.0,0.0,2.0,0.0,2.0
EXP-A2,binary,M4,r2f3,noisy,81,462,True,30.92603458024692,2,0.9012345679012346,0.7234162895927603,0.46153846153846156,0.9852941176470589,0.8571428571428571,0.6,0.5837220288012758,0.7556561085972852,0.4891659482767081,6.0,1.0,67.0,7.0,81.0,13.0,68.0
EXP-A2,binary,M4,r2f4,clean,551,2763,True,29.620318704174228,2,0.9092558983666061,0.8867773124045877,0.847457627118644,0.9260969976905312,0.7575757575757576,0.8,0.7435016928833591,0.9609934630289271,0.8343292033041033,100.0,32.0,401.0,18.0,551.0,118.0,433.0
EXP-A2,binary,M4,r2f4,low_quality_other,3,15,False,19.684973333333332,1,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,3.0,3.0,3.0,0.0
EXP-A2,binary,M4,r2f4,noisy,93,462,True,27.545095569892474,2,0.8172043010752689,0.4634146341463415,0.0,0.926829268292683,0.0,0.0,-0.09618457165815669,0.4113082039911308,0.11179872657811717,0.0,6.0,76.0,11.0,93.0,11.0,82.0
EXP-A2,binary,M4,r3f0,clean,547,2763,True,30.49767334917733,2,0.8610603290676416,0.8575887960853792,0.8518518518518519,0.8633257403189066,0.6052631578947368,0.7076923076923077,0.6355323980486399,0.9298067999662534,0.7314711979503105,92.0,60.0,379.0,16.0,547.0,108.0,439.0
EXP-A2,binary,M4,r3f0,noisy,97,462,True,32.73444115463918,2,0.7319587628865979,0.5396592244418331,0.17391304347826086,0.9054054054054054,0.36363636363636365,0.23529411764705882,0.10639186511812779,0.636310223266745,0.33690819537297706,4.0,7.0,67.0,19.0,97.0,23.0,74.0
EXP-A2,binary,M4,r3f1,clean,575,2763,True,30.718259490434782,2,0.9234782608695652,0.9240384615384616,0.925,0.9230769230769231,0.7602739726027398,0.8345864661654135,0.7918200476240458,0.9621794871794872,0.8500638071768706,111.0,35.0,420.0,9.0,575.0,120.0,455.0
EXP-A2,binary,M4,r3f1,low_quality_other,1,15,False,20.833255,1,1.0,0.5,0.0,1.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,1.0,0.0,1.0
EXP-A2,binary,M4,r3f1,noisy,71,462,True,28.745303084507043,2,0.8169014084507042,0.6906779661016949,0.5,0.8813559322033898,0.46153846153846156,0.48,0.36954000672661363,0.635593220338983,0.4405345714133719,6.0,7.0,52.0,6.0,71.0,12.0,59.0
