exp_id,model_id,task,repeat,fold,fold_label,n_train,n_test,n_features,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,mcc,roc_auc,pr_auc,tp,fp,tn,fn,support,n_positive,n_negative,brier,ece,fit_seconds,predict_seconds,planner_inner_best_score,planner_n_trials,planner_search_seconds,planner_tuning,params,note,planner_inner_scores
EXP-A2,M1,binary,4,1,r4f1,2596,644,138,0.8586956521739131,0.8686740175289793,0.8854961832061069,0.8518518518518519,0.6041666666666666,0.718266253869969,0.648854059150761,0.9451066172641103,0.8028562815910667,116.0,76.0,437.0,15.0,644.0,131.0,513.0,0.19385784655681224,0.03727841278099905,11.945186,0.006602,0.837767,12.0,135.38,nested-bayes,"{""C"": 0.1965846755305687, ""l1_ratio"": 1.0, ""max_iter"": 5000, ""solver"": ""saga""}",bayes search inside this training fold,
EXP-A2,M1,binary,4,2,r4f2,2593,647,138,0.8454404945904173,0.8409385113268608,0.8333333333333334,0.8485436893203884,0.5851063829787234,0.6875,0.6052173490087805,0.9370697263901148,0.7875128120823378,110.0,78.0,437.0,22.0,647.0,132.0,515.0,0.20092857047531854,0.04157213258423966,0.261785,0.006803,0.837149,12.0,182.72,nested-bayes,"{""C"": 0.4731474644815011, ""l1_ratio"": 0.0, ""max_iter"": 2000, ""solver"": ""liblinear""}",bayes search inside this training fold,
EXP-A2,M1,binary,4,3,r4f3,2589,651,138,0.8632872503840245,0.8754737295434969,0.8962962962962963,0.8546511627906976,0.6173469387755102,0.7311178247734139,0.6636934830058137,0.9347975882859604,0.7332916767715192,121.0,75.0,441.0,14.0,651.0,135.0,516.0,0.20198631353542668,0.028985428227504845,0.250425,0.006536,0.833976,12.0,42.63,nested-bayes,"{""C"": 0.4731474644815011, ""l1_ratio"": 0.0, ""max_iter"": 2000, ""solver"": ""liblinear""}",bayes search inside this training fold,
EXP-A2,M1,binary,4,4,r4f4,2597,643,138,0.8491446345256609,0.8257469584923665,0.7862595419847328,0.865234375,0.5988372093023255,0.6798679867986799,0.5927974357344877,0.8896409828244274,0.679232228216188,103.0,69.0,443.0,28.0,643.0,131.0,512.0,0.23317319226745548,0.07200347984159552,0.263243,0.006817,0.844295,12.0,86.39,nested-bayes,"{""C"": 4.849856684722168, ""l1_ratio"": 0.0, ""max_iter"": 5000, ""solver"": ""lbfgs""}",bayes search inside this training fold,
EXP-A2,M3,binary,0,0,r0f0,2593,647,138,0.8377125193199382,0.7825610473668727,0.6893939393939394,0.8757281553398059,0.5870967741935483,0.6341463414634146,0.5335614781346231,0.8899382171226832,0.6158259567396227,91.0,64.0,451.0,41.0,647.0,132.0,515.0,0.2285726722663777,0.036353493112865766,1.347074,0.821668,0.804118,12.0,49.92,nested-bayes,"{""C"": 9.643857615941439, ""class_weight"": ""balanced"", ""gamma"": 0.016949768237884747}",bayes search inside this training fold,
EXP-A2,M3,binary,0,1,r0f1,2589,651,138,0.890937019969278,0.7903591327694217,0.6194029850746269,0.9613152804642167,0.8058252427184466,0.70042194092827,0.6433603105637252,0.9415687519847571,0.8060619375524788,83.0,20.0,497.0,51.0,651.0,134.0,517.0,0.16428471656066546,0.0641777049432061,0.87676,0.570282,0.786883,12.0,57.7,nested-bayes,"{""C"": 1.9780827689353788, ""class_weight"": ""balanced"", ""gamma"": 0.004661686413912771}",bayes search inside this training fold,
EXP-A2,M3,binary,0,2,r0f2,2596,644,138,0.8711180124223602,0.7514173474398465,0.549618320610687,0.9532163742690059,0.75,0.6343612334801763,0.5683209560801034,0.9102123417109356,0.740813071550155,72.0,24.0,489.0,59.0,644.0,131.0,513.0,0.18469149296338586,0.02722401439227298,1.453596,0.878408,0.802988,12.0,47.32,nested-bayes,"{""C"": 9.643857615941439, ""class_weight"": ""balanced"", ""gamma"": 0.016949768237884747}",bayes search inside this training fold,
EXP-A2,M3,binary,0,3,r0f3,2585,655,138,0.899236641221374,0.8208649212298847,0.6861313868613139,0.9555984555984556,0.8034188034188035,0.7401574803149606,0.6813861951979424,0.9268945692303356,0.7972961373466871,94.0,23.0,495.0,43.0,655.0,137.0,518.0,0.18312563320150976,0.09923392605275722,0.817111,0.553286,0.793136,12.0,52.22,nested-bayes,"{""C"": 1.9780827689353788, ""class_weight"": ""balanced"", ""gamma"": 0.004661686413912771}",bayes search inside this training fold,
EXP-A2,M3,binary,0,4,r0f4,2597,643,138,0.8895800933125972,0.8653387404580153,0.8244274809160306,0.90625,0.6923076923076923,0.7526132404181185,0.6865458896378248,0.9401240458015268,0.7272608046242767,108.0,48.0,464.0,23.0,643.0,131.0,512.0,0.17627674477227526,0.059426533838053755,1.32034,0.921851,0.781056,12.0,45.56,nested-bayes,"{""C"": 9.643857615941439, ""class_weight"": ""balanced"", ""gamma"": 0.016949768237884747}",bayes search inside this training fold,
EXP-A2,M3,binary,1,0,r1f0,2593,647,138,0.8253477588871716,0.7325389820535452,0.5757575757575758,0.8893203883495145,0.5714285714285714,0.5735849056603773,0.46377673927164365,0.8759929390997353,0.5793586488564467,76.0,57.0,458.0,56.0,647.0,132.0,515.0,0.23438929003809691,0.036397600133151055,0.773893,0.509616,0.823024,12.0,46.01,nested-bayes,"{""C"": 1.9780827689353788, ""class_weight"": ""balanced"", ""gamma"": 0.004661686413912771}",bayes search inside this training fold,
EXP-A2,M3,binary,1,1,r1f1,2585,655,138,0.8610687022900764,0.7793905134308059,0.6397058823529411,0.9190751445086706,0.6744186046511628,0.6566037735849056,0.5699110234003436,0.9197976878612717,0.7681681755003893,87.0,42.0,477.0,49.0,655.0,136.0,519.0,0.18794159881534828,0.03718709677175254,1.958959,1.04424,0.796005,12.0,52.79,nested-bayes,"{""C"": 998.6414196384693, ""class_weight"": ""balanced"", ""gamma"": 0.024720078176140727}",bayes search inside this training fold,
EXP-A2,M3,binary,1,2,r1f2,2596,644,138,0.9037267080745341,0.8145172090531673,0.6641221374045801,0.9649122807017544,0.8285714285714286,0.7372881355932204,0.6854561970061394,0.9500022320432123,0.8557220219502875,87.0,18.0,495.0,44.0,644.0,131.0,513.0,0.1510634820787061,0.05841955239658599,0.84719,0.549721,0.789786,12.0,43.64,nested-bayes,"{""C"": 1.9780827689353788, ""class_weight"": ""balanced"", ""gamma"": 0.004661686413912771}",bayes search inside this training fold,
