run,task,model_id,fold_label,duration_band,n_units,n_records_corpus,reported,median_duration_sec,min_duration_sec,n_classes_present,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,mcc,roc_auc,pr_auc,tp,fp,tn,fn,support,n_positive,n_negative
EXP-A2,binary,M3,r0f0,medium,264,1496,True,12.54925,6.6075,2,0.8674242424242424,0.6710211408057439,0.3695652173913043,0.9724770642201835,0.7391304347826086,0.4927536231884058,0.4600600455612418,0.8914040686078978,0.661002211126596,17.0,6.0,212.0,29.0,264.0,46.0,218.0
EXP-A2,binary,M3,r0f1,long,327,1744,True,28.821,20.016,2,0.9143730886850153,0.8967917675544794,0.8571428571428571,0.9364406779661016,0.8387096774193549,0.8478260869565217,0.7883515818236342,0.9676382939094804,0.890001444128382,78.0,15.0,221.0,13.0,327.0,91.0,236.0
EXP-A2,binary,M3,r0f1,medium,324,1496,True,12.044,6.637,2,0.8672839506172839,0.549242737730696,0.11627906976744186,0.9822064056939501,0.5,0.18867924528301888,0.1931944960701558,0.8569063974178598,0.4455296539840182,5.0,5.0,276.0,38.0,324.0,43.0,281.0
EXP-A2,binary,M3,r0f2,long,303,1744,True,28.55,20.062,2,0.9174917491749175,0.8871308016877637,0.8333333333333334,0.9409282700421941,0.7971014492753623,0.8148148148148148,0.7620814478713592,0.9673954737245877,0.8702469462143522,55.0,14.0,223.0,11.0,303.0,66.0,237.0
EXP-A2,binary,M3,r0f2,medium,341,1496,True,11.708,5.3055,2,0.8299120234604106,0.6126532887402453,0.26153846153846155,0.9637681159420289,0.6296296296296297,0.3695652173913043,0.32774674235791545,0.8412486064659978,0.5386231728782441,17.0,10.0,266.0,48.0,341.0,65.0,276.0
EXP-A2,binary,M3,r0f3,long,352,1744,True,27.685000000000002,20.038,2,0.90625,0.8869275373752514,0.8415841584158416,0.9322709163346613,0.8333333333333334,0.8374384236453202,0.771590891713167,0.9616188710504516,0.9009622036069264,85.0,17.0,234.0,16.0,352.0,101.0,251.0
EXP-A2,binary,M3,r0f3,medium,303,1496,True,10.314,6.3335,2,0.8910891089108911,0.6137640449438202,0.25,0.9775280898876404,0.6,0.35294117647058826,0.3393907710967079,0.8077403245942572,0.39840103983496045,9.0,6.0,261.0,27.0,303.0,36.0,267.0
EXP-A2,binary,M3,r0f4,long,379,1744,True,29.62,20.046,2,0.8522427440633246,0.8529232848935451,0.8545454545454545,0.8513011152416357,0.7014925373134329,0.7704918032786885,0.6701119299618692,0.9124366339979724,0.7288255844784819,94.0,40.0,229.0,16.0,379.0,110.0,269.0
EXP-A2,binary,M3,r0f4,medium,264,1496,True,13.4435,8.0,2,0.9431818181818182,0.8168724279835391,0.6666666666666666,0.9670781893004116,0.6363636363636364,0.6511627906976745,0.6204520273913622,0.9600235155790712,0.7125571048503727,14.0,8.0,235.0,7.0,264.0,21.0,243.0
EXP-A2,binary,M3,r1f0,long,343,1744,True,30.6505,20.079,2,0.7988338192419825,0.8043539722929036,0.8148148148148148,0.7938931297709924,0.55,0.6567164179104478,0.5420746156616018,0.8892658561869757,0.6343268306173644,66.0,54.0,208.0,15.0,343.0,81.0,262.0
EXP-A2,binary,M3,r1f0,medium,304,1496,True,10.86375,5.3055,2,0.8552631578947368,0.5921103619313338,0.19607843137254902,0.9881422924901185,0.7692307692307693,0.3125,0.34022456106019433,0.8496473688289545,0.49131020552590543,10.0,3.0,250.0,41.0,304.0,51.0,253.0
EXP-A2,binary,M3,r1f1,long,355,1744,True,30.308,20.225,2,0.8647887323943662,0.8450980392156863,0.8,0.8901960784313725,0.7407407407407407,0.7692307692307693,0.6748111085729229,0.9457647058823531,0.8608485581518319,80.0,28.0,227.0,20.0,355.0,100.0,255.0
EXP-A2,binary,M3,r1f1,medium,300,1496,True,12.3235,6.3335,2,0.8566666666666667,0.5707070707070707,0.19444444444444445,0.946969696969697,0.3333333333333333,0.24561403508771928,0.18010854005995125,0.8265993265993266,0.347931297119835,7.0,14.0,250.0,29.0,300.0,36.0,264.0
EXP-A2,binary,M3,r1f2,long,338,1744,True,27.4405,20.016,2,0.9230769230769231,0.8995227995758218,0.8478260869565217,0.9512195121951219,0.8666666666666667,0.8571428571428571,0.8046109451629961,0.9725167903852951,0.9332310266394671,78.0,12.0,234.0,14.0,338.0,92.0,246.0
EXP-A2,binary,M3,r1f2,medium,306,1496,True,13.262,7.7315,2,0.8823529411764706,0.6041486603284356,0.23076923076923078,0.9775280898876404,0.6,0.3333333333333333,0.32172106211894197,0.8881206184576972,0.5639539194636118,9.0,6.0,261.0,30.0,306.0,39.0,267.0
EXP-A2,binary,M3,r1f3,long,332,1744,True,28.646,20.038,2,0.8554216867469879,0.8390335444522636,0.8045977011494253,0.8734693877551021,0.693069306930693,0.7446808510638298,0.6481099028596781,0.9224489795918367,0.689778994033267,70.0,31.0,214.0,17.0,332.0,87.0,245.0
EXP-A2,binary,M3,r1f3,medium,319,1496,True,11.558,7.4495,2,0.877742946708464,0.6366082410824109,0.2916666666666667,0.981549815498155,0.7368421052631579,0.417910447761194,0.41273826242011386,0.8746924969249693,0.5932528976757291,14.0,5.0,266.0,34.0,319.0,48.0,271.0
EXP-A2,binary,M3,r1f4,long,376,1744,True,29.656,20.001,2,0.9148936170212766,0.9184397163120568,0.925531914893617,0.9113475177304965,0.7767857142857143,0.8446601941747572,0.7923925812916239,0.9550701674966049,0.8269273150636836,87.0,25.0,257.0,7.0,376.0,94.0,282.0
EXP-A2,binary,M3,r1f4,medium,267,1496,True,12.5305,7.3645,2,0.8951310861423221,0.7009988249118684,0.43243243243243246,0.9695652173913043,0.6956521739130435,0.5333333333333333,0.49502765642067686,0.9207990599294946,0.6725602183865004,16.0,7.0,223.0,21.0,267.0,37.0,230.0
EXP-A2,binary,M3,r2f0,long,343,1744,True,30.161,20.038,2,0.8454810495626822,0.8383555133079847,0.825,0.8517110266159695,0.6285714285714286,0.7135135135135136,0.6209304999374955,0.9061311787072244,0.6556070146389505,66.0,39.0,224.0,14.0,343.0,80.0,263.0
