run,task,model_id,fold_label,duration_band,n_units,n_records_corpus,reported,median_duration_sec,min_duration_sec,n_classes_present,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,mcc,roc_auc,pr_auc,tp,fp,tn,fn,support,n_positive,n_negative
EXP-A2,binary,M3,r2f0,medium,301,1496,True,11.666,5.3055,2,0.840531561461794,0.591843137254902,0.21568627450980393,0.968,0.5789473684210527,0.3142857142857143,0.2833547150338381,0.8417254901960785,0.5130780594788198,11.0,8.0,242.0,40.0,301.0,51.0,250.0
EXP-A2,binary,M3,r2f1,long,354,1744,True,29.729,20.027,2,0.8870056497175142,0.8966836734693877,0.9183673469387755,0.875,0.7377049180327869,0.8181818181818182,0.7469360741866282,0.9469467474489796,0.8236072767316835,90.0,32.0,224.0,8.0,354.0,98.0,256.0
EXP-A2,binary,M3,r2f1,medium,297,1496,True,11.1225,6.9855,2,0.8855218855218855,0.6115900383141762,0.25,0.9731800766283525,0.5625,0.34615384615384615,0.3226367060698007,0.86068539804172,0.46811655563521537,9.0,7.0,254.0,27.0,297.0,36.0,261.0
EXP-A2,binary,M3,r2f2,long,340,1744,True,29.6715,20.062,2,0.9147058823529411,0.8917574814046013,0.8404255319148937,0.943089430894309,0.8494623655913979,0.8449197860962567,0.7861199612346824,0.967695900363259,0.9260050779674214,79.0,14.0,232.0,15.0,340.0,94.0,246.0
EXP-A2,binary,M3,r2f2,medium,315,1496,True,12.0475,6.6075,2,0.8825396825396825,0.6187158002735977,0.2558139534883721,0.9816176470588235,0.6875,0.3728813559322034,0.3712458558937772,0.8551641586867305,0.5350786701327599,11.0,5.0,267.0,32.0,315.0,43.0,272.0
EXP-A2,binary,M3,r2f3,long,334,1744,True,29.845,20.001,2,0.8802395209580839,0.870194035213798,0.8478260869565217,0.8925619834710744,0.75,0.7959183673469388,0.7142996240245587,0.9341088753144089,0.7629668547442497,78.0,26.0,216.0,14.0,334.0,92.0,242.0
EXP-A2,binary,M3,r2f3,medium,309,1496,True,12.461,7.7595,2,0.912621359223301,0.7086894586894588,0.4358974358974359,0.9814814814814815,0.7727272727272727,0.5573770491803278,0.5390045174153576,0.9340930674264007,0.7219433795546836,17.0,5.0,265.0,22.0,309.0,39.0,270.0
EXP-A2,binary,M3,r2f4,long,373,1744,True,28.726,20.046,2,0.8793565683646113,0.8598743619945033,0.8222222222222222,0.8975265017667845,0.7184466019417476,0.7668393782383419,0.6888027647777156,0.9317628582646251,0.7096584386479208,74.0,29.0,254.0,16.0,373.0,90.0,283.0
EXP-A2,binary,M3,r2f4,medium,274,1496,True,12.030999999999999,6.8515,2,0.8832116788321168,0.6482963875205254,0.30952380952380953,0.9870689655172413,0.8125,0.4482758620689655,0.4556793633013462,0.8723316912972086,0.5889812043891525,13.0,3.0,229.0,29.0,274.0,42.0,232.0
EXP-A2,binary,M3,r3f0,long,348,1744,True,30.62875,20.027,2,0.8189655172413793,0.7948941469489414,0.7534246575342466,0.8363636363636363,0.55,0.6358381502890174,0.5306376793671465,0.896986301369863,0.6229184727059587,55.0,45.0,230.0,18.0,348.0,73.0,275.0
EXP-A2,binary,M3,r3f0,medium,296,1496,True,10.9635,6.3335,2,0.8277027027027027,0.5994639235004346,0.22413793103448276,0.9747899159663865,0.6842105263157895,0.33766233766233766,0.3221672370774113,0.8521443059982614,0.5770639260718557,13.0,6.0,232.0,45.0,296.0,58.0,238.0
EXP-A2,binary,M3,r3f1,long,362,1744,True,28.9675,20.038,2,0.8839779005524862,0.8864630467571644,0.8921568627450981,0.8807692307692307,0.7459016393442623,0.8125,0.7355957184202618,0.9384238310708899,0.796356827443407,91.0,31.0,229.0,11.0,362.0,102.0,260.0
EXP-A2,binary,M3,r3f1,medium,285,1496,True,12.507,5.3055,2,0.9017543859649123,0.6215686274509804,0.26666666666666666,0.9764705882352941,0.5714285714285714,0.36363636363636365,0.3452499015147627,0.8949019607843138,0.4855886487008323,8.0,6.0,249.0,22.0,285.0,30.0,255.0
EXP-A2,binary,M3,r3f2,long,356,1744,True,29.097,20.016,2,0.901685393258427,0.8919622641509435,0.8679245283018868,0.916,0.8141592920353983,0.8401826484018264,0.7701136687887636,0.952188679245283,0.866456460949085,92.0,21.0,229.0,14.0,356.0,106.0,250.0
EXP-A2,binary,M3,r3f2,medium,299,1496,True,12.163,6.908,2,0.903010033444816,0.6647459727385377,0.36666666666666664,0.9628252788104089,0.5238095238095238,0.43137254901960786,0.38739099805717675,0.8825278810408923,0.47858389907190957,11.0,10.0,259.0,19.0,299.0,30.0,269.0
EXP-A2,binary,M3,r3f3,long,352,1744,True,29.7205,20.062,2,0.9176136363636364,0.9050776809397498,0.8791208791208791,0.9310344827586207,0.8163265306122449,0.8465608465608465,0.7913696022669481,0.9557492316113007,0.8321861326864554,80.0,18.0,243.0,11.0,352.0,91.0,261.0
EXP-A2,binary,M3,r3f3,medium,299,1496,True,12.329,6.8515,2,0.8795986622073578,0.6285204991087343,0.2727272727272727,0.984313725490196,0.75,0.4,0.4046183907719457,0.8778074866310162,0.5452499405461884,12.0,4.0,251.0,32.0,299.0,44.0,255.0
EXP-A2,binary,M3,r3f4,long,326,1744,True,27.932000000000002,20.001,2,0.8987730061349694,0.8554578168732507,0.7682926829268293,0.9426229508196722,0.8181818181818182,0.7924528301886793,0.7262311418067995,0.9569672131147541,0.8328342385457553,63.0,14.0,230.0,19.0,326.0,82.0,244.0
EXP-A2,binary,M3,r3f4,medium,317,1496,True,12.283,7.6315,2,0.8927444794952681,0.686414864453244,0.3877551020408163,0.9850746268656716,0.8260869565217391,0.5277777777777778,0.5195632070930049,0.8318611026500152,0.5926920814769533,19.0,4.0,264.0,30.0,317.0,49.0,268.0
