run,task,model_id,fold_label,duration_band,n_units,n_records_corpus,reported,median_duration_sec,min_duration_sec,n_classes_present,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,support,n_classes,ovr_auc_macro,precision_normal,recall_normal,f1_normal,support_normal,precision_murmur,recall_murmur,f1_murmur,support_murmur,precision_extrastole,recall_extrastole,f1_extrastole,support_extrastole
EXP-B2,pascal_b,M5,r0f4,medium,47,229,True,10.1835,5.081,3,0.5106382978723404,0.3333333333333333,0.3275822406257189,0.4818583615993422,0.3386243386243386,0.3333333333333333,47.0,3.0,0.5800486063643959,0.5714285714285714,0.7142857142857143,0.6349206349206349,28.0,0.4444444444444444,0.2857142857142857,0.34782608695652173,14.0,0.0,0.0,0.0,5.0
EXP-B2,pascal_b,M5,r0f4,short,43,227,True,2.906,1.329,3,0.7209302325581395,0.3607843137254902,0.35185185185185186,0.6847545219638244,0.34649122807017546,0.3607843137254902,43.0,3.0,0.5362612791405361,0.7894736842105263,0.8823529411764706,0.8333333333333334,34.0,0.25,0.2,0.2222222222222222,5.0,0.0,0.0,0.0,4.0
EXP-B2,pascal_b,M6,r0f0,medium,38,229,True,8.524375,5.0235,3,0.7368421052631579,0.4583333333333333,0.4595959595959596,0.6630781499202553,0.5714285714285715,0.4583333333333333,38.0,3.0,0.6262043512043513,0.7142857142857143,1.0,0.8333333333333334,25.0,1.0,0.375,0.5454545454545454,8.0,0.0,0.0,0.0,5.0
EXP-B2,pascal_b,M6,r0f0,short,54,227,True,3.070125,0.76325,3,0.7962962962962963,0.4545454545454546,0.46991260923845196,0.7416007768067694,0.5933333333333334,0.4545454545454546,54.0,3.0,0.7103137517091006,0.78,1.0,0.8764044943820225,39.0,1.0,0.36363636363636365,0.5333333333333333,11.0,0.0,0.0,0.0,4.0
EXP-B2,pascal_b,M6,r0f1,long,1,5,False,22.2015,22.2015,1,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,3.0,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXP-B2,pascal_b,M6,r0f1,medium,41,229,True,9.08275,5.0895,3,0.7317073170731707,0.4444444444444444,0.4417989417989418,0.6697638404955478,0.5675675675675675,0.4444444444444444,41.0,3.0,0.7541563900910543,0.7027027027027027,1.0,0.8253968253968254,26.0,1.0,0.3333333333333333,0.5,12.0,0.0,0.0,0.0,3.0
EXP-B2,pascal_b,M6,r0f1,short,50,227,True,2.787,1.23325,3,0.74,0.3333333333333333,0.2835249042145594,0.6294252873563217,0.24666666666666667,0.3333333333333333,50.0,3.0,0.6312934394329743,0.74,1.0,0.8505747126436781,37.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,6.0
EXP-B2,pascal_b,M6,r0f2,medium,54,229,True,10.399375,5.12025,3,0.6666666666666666,0.4375,0.4230769230769231,0.603988603988604,0.4673913043478261,0.4375,54.0,3.0,0.6304852250575935,0.6521739130434783,0.9375,0.7692307692307693,32.0,0.75,0.375,0.5,16.0,0.0,0.0,0.0,6.0
EXP-B2,pascal_b,M6,r0f2,short,39,227,True,3.0885,1.17275,3,0.8461538461538461,0.4444444444444444,0.47142857142857136,0.7886446886446886,0.6140350877192983,0.4444444444444444,39.0,3.0,0.579971340388007,0.8421052631578947,1.0,0.9142857142857143,32.0,1.0,0.3333333333333333,0.5,3.0,0.0,0.0,0.0,4.0
EXP-B2,pascal_b,M6,r0f3,long,2,5,False,26.0135,24.16,2,0.5,0.5,0.2222222222222222,0.3333333333333333,0.16666666666666666,0.3333333333333333,2.0,3.0,,0.5,1.0,0.6666666666666666,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
EXP-B2,pascal_b,M6,r0f3,medium,49,229,True,8.38675,5.10025,3,0.7551020408163265,0.43333333333333335,0.4371794871794872,0.6839874411302982,0.5797101449275363,0.43333333333333335,49.0,3.0,0.6774944010238128,0.7391304347826086,1.0,0.85,34.0,1.0,0.3,0.46153846153846156,10.0,0.0,0.0,0.0,5.0
EXP-B2,pascal_b,M6,r0f3,short,41,227,True,2.91775,1.03925,3,0.7560975609756098,0.4166666666666667,0.4176470588235294,0.6813486370157819,0.5811965811965812,0.4166666666666667,41.0,3.0,0.6485933425588598,0.7435897435897436,1.0,0.8529411764705882,29.0,1.0,0.25,0.4,8.0,0.0,0.0,0.0,4.0
EXP-B2,pascal_b,M6,r0f4,long,2,5,False,22.750999999999998,21.97,1,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,2.0,3.0,,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXP-B2,pascal_b,M6,r0f4,medium,47,229,True,10.1835,5.081,3,0.6595744680851063,0.4047619047619047,0.3769063180827887,0.5684883882631067,0.5454545454545454,0.4047619047619047,47.0,3.0,0.616195792511582,0.6363636363636364,1.0,0.7777777777777778,28.0,1.0,0.21428571428571427,0.35294117647058826,14.0,0.0,0.0,0.0,5.0
EXP-B2,pascal_b,M6,r0f4,short,43,227,True,2.906,1.329,3,0.7906976744186046,0.3333333333333333,0.29437229437229434,0.6982784657203261,0.2635658914728682,0.3333333333333333,43.0,3.0,0.5368160849584999,0.7906976744186046,1.0,0.8831168831168831,34.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0
EXP-B2,pascal_b,M7,r0f0,medium,38,229,True,8.524375,5.0235,3,0.7368421052631579,0.4583333333333333,0.4595959595959596,0.6630781499202553,0.5714285714285715,0.4583333333333333,38.0,3.0,0.6176981351981352,0.7142857142857143,1.0,0.8333333333333334,25.0,1.0,0.375,0.5454545454545454,8.0,0.0,0.0,0.0,5.0
EXP-B2,pascal_b,M7,r0f0,short,54,227,True,3.070125,0.76325,3,0.8148148148148148,0.48484848484848486,0.5037878787878788,0.76746632996633,0.5986394557823129,0.48484848484848486,54.0,3.0,0.7195178680062401,0.7959183673469388,1.0,0.8863636363636364,39.0,1.0,0.45454545454545453,0.625,11.0,0.0,0.0,0.0,4.0
EXP-B2,pascal_b,M7,r0f1,long,1,5,False,22.2015,22.2015,1,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,3.0,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXP-B2,pascal_b,M7,r0f1,medium,41,229,True,9.08275,5.0895,3,0.7317073170731707,0.4594017094017094,0.4584092289010322,0.6823937091829936,0.5158730158730159,0.4594017094017094,41.0,3.0,0.7565855398886252,0.7142857142857143,0.9615384615384616,0.819672131147541,26.0,0.8333333333333334,0.4166666666666667,0.5555555555555556,12.0,0.0,0.0,0.0,3.0
EXP-B2,pascal_b,M7,r0f1,short,50,227,True,2.787,1.23325,3,0.72,0.32432432432432434,0.27906976744186046,0.6195348837209302,0.2448979591836735,0.32432432432432434,50.0,3.0,0.6311910381677823,0.7346938775510204,0.972972972972973,0.8372093023255814,37.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,6.0
EXP-B2,pascal_b,M7,r0f2,medium,54,229,True,10.399375,5.12025,3,0.5185185185185185,0.3854166666666667,0.37907884465261515,0.5215369936681412,0.37628554143980636,0.3854166666666667,54.0,3.0,0.6284999113946483,0.6551724137931034,0.59375,0.6229508196721312,32.0,0.47368421052631576,0.5625,0.5142857142857142,16.0,0.0,0.0,0.0,6.0
EXP-B2,pascal_b,M7,r0f2,short,39,227,True,3.0885,1.17275,3,0.6923076923076923,0.3819444444444444,0.4375,0.7051282051282052,0.6041666666666666,0.3819444444444444,39.0,3.0,0.5483245149911816,0.8125,0.8125,0.8125,32.0,1.0,0.3333333333333333,0.5,3.0,0.0,0.0,0.0,4.0
EXP-B2,pascal_b,M7,r0f3,long,2,5,False,26.0135,24.16,2,0.5,0.5,0.2222222222222222,0.3333333333333333,0.16666666666666666,0.3333333333333333,2.0,3.0,,0.5,1.0,0.6666666666666666,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
EXP-B2,pascal_b,M7,r0f3,medium,49,229,True,8.38675,5.10025,3,0.7551020408163265,0.43333333333333335,0.4371794871794872,0.6839874411302982,0.5797101449275363,0.43333333333333335,49.0,3.0,0.6520133461309933,0.7391304347826086,1.0,0.85,34.0,1.0,0.3,0.46153846153846156,10.0,0.0,0.0,0.0,5.0
EXP-B2,pascal_b,M7,r0f3,short,41,227,True,2.91775,1.03925,3,0.7560975609756098,0.4166666666666667,0.4176470588235294,0.6813486370157819,0.5811965811965812,0.4166666666666667,41.0,3.0,0.6348468374330444,0.7435897435897436,1.0,0.8529411764705882,29.0,1.0,0.25,0.4,8.0,0.0,0.0,0.0,4.0
EXP-B2,pascal_b,M7,r0f4,long,2,5,False,22.750999999999998,21.97,1,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,2.0,3.0,,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXP-B2,pascal_b,M7,r0f4,medium,47,229,True,10.1835,5.081,3,0.6595744680851063,0.4047619047619047,0.3769063180827887,0.5684883882631067,0.5454545454545454,0.4047619047619047,47.0,3.0,0.6110465557833978,0.6363636363636364,1.0,0.7777777777777778,28.0,1.0,0.21428571428571427,0.35294117647058826,14.0,0.0,0.0,0.0,5.0
EXP-B2,pascal_b,M7,r0f4,short,43,227,True,2.906,1.329,3,0.7906976744186046,0.3333333333333333,0.29437229437229434,0.6982784657203261,0.2635658914728682,0.3333333333333333,43.0,3.0,0.5256502871053955,0.7906976744186046,1.0,0.8831168831168831,34.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0
