run,task,model_id,fold_label,quality_group,n_units,n_records_corpus,reported,mean_snr_proxy_db,n_classes_present,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,support,n_classes,ovr_auc_macro,precision_normal,recall_normal,f1_normal,support_normal,precision_murmur,recall_murmur,f1_murmur,support_murmur,precision_extrastole,recall_extrastole,f1_extrastole,support_extrastole
EXP-B2,pascal_b,M6,r0f2,low_quality_other,14,63,False,20.485947214285716,3,0.8571428571428571,0.5,0.5277777777777778,0.8154761904761905,0.6153846153846154,0.5,14.0,3.0,0.8232323232323232,0.8461538461538461,1.0,0.9166666666666666,11.0,1.0,0.5,0.6666666666666666,2.0,0.0,0.0,0.0,1.0
EXP-B2,pascal_b,M6,r0f2,noisy,1,14,False,4.292483,1,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,3.0,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXP-B2,pascal_b,M6,r0f3,clean,75,384,True,16.52367492,3,0.72,0.411764705882353,0.4024662206480388,0.6373133936770301,0.568075117370892,0.411764705882353,75.0,3.0,0.6469189024451777,0.704225352112676,1.0,0.8264462809917356,50.0,1.0,0.23529411764705882,0.38095238095238093,17.0,0.0,0.0,0.0,8.0
EXP-B2,pascal_b,M6,r0f3,low_quality_other,10,63,False,20.5587178,2,0.9,0.5,0.3157894736842105,0.8526315789473683,0.3,0.3333333333333333,10.0,3.0,,0.9,1.0,0.9473684210526315,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
EXP-B2,pascal_b,M6,r0f3,noisy,7,14,False,3.7239961428571426,2,0.8571428571428571,0.75,0.5252525252525252,0.8398268398268397,0.6111111111111112,0.5,7.0,3.0,,0.8333333333333334,1.0,0.9090909090909091,5.0,1.0,0.5,0.6666666666666666,2.0,0.0,0.0,0.0,0.0
EXP-B2,pascal_b,M6,r0f4,clean,76,384,True,17.838323657894733,3,0.6973684210526315,0.375,0.34607407407407403,0.5943625730994152,0.563063063063063,0.375,76.0,3.0,0.5404184957565116,0.6891891891891891,1.0,0.816,51.0,1.0,0.125,0.2222222222222222,16.0,0.0,0.0,0.0,9.0
EXP-B2,pascal_b,M6,r0f4,low_quality_other,14,63,False,19.28227035714286,2,0.9285714285714286,0.75,0.5422222222222222,0.9180952380952381,0.6410256410256411,0.5,14.0,3.0,,0.9230769230769231,1.0,0.96,12.0,1.0,0.5,0.6666666666666666,2.0,0.0,0.0,0.0,0.0
EXP-B2,pascal_b,M6,r0f4,noisy,2,14,False,2.9380465,2,0.5,0.5,0.2222222222222222,0.3333333333333333,0.16666666666666666,0.3333333333333333,2.0,3.0,,0.5,1.0,0.6666666666666666,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
EXP-B2,pascal_b,M7,r0f0,clean,75,384,True,17.93783685333333,3,0.7466666666666667,0.4583333333333333,0.461930226636109,0.6765877259994907,0.5748792270531401,0.4583333333333333,75.0,3.0,0.6435222697787669,0.7246376811594203,1.0,0.8403361344537815,50.0,1.0,0.375,0.5454545454545454,16.0,0.0,0.0,0.0,9.0
EXP-B2,pascal_b,M7,r0f0,low_quality_other,13,63,False,17.307088153846152,1,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,13.0,3.0,,1.0,1.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
