exp_id,model_id,task,repeat,fold,fold_label,n_train,n_test,n_features,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,support,n_classes,ovr_auc_macro,precision_normal,recall_normal,f1_normal,support_normal,precision_murmur,recall_murmur,f1_murmur,support_murmur,precision_extrahls,recall_extrahls,f1_extrahls,support_extrahls,precision_artifact,recall_artifact,f1_artifact,support_artifact,brier,ece,fit_seconds,predict_seconds,planner_inner_best_score,planner_n_trials,planner_search_seconds,planner_tuning,params,note,planner_inner_scores
EXP-B1,M3,pascal_a,0,0,r0f0,62,62,138,0.6935483870967742,0.6039215686274509,0.549924924924925,0.6300251864767994,0.5051470588235294,0.6039215686274509,62.0,4.0,0.9133534974273396,0.47058823529411764,0.5333333333333333,0.5,15.0,0.75,0.8823529411764706,0.8108108108108109,17.0,0.0,0.0,0.0,10.0,0.8,1.0,0.8888888888888888,20.0,0.4874326125658797,0.2205139856457739,0.07386,0.033832,0.582616,12.0,7.13,nested-bayes,"{""C"": 3.217559031172368, ""class_weight"": ""balanced"", ""gamma"": 0.00013046856657967856}",bayes search inside this training fold,
EXP-B1,M3,pascal_a,0,1,r0f1,62,62,138,0.6935483870967742,0.6856209150326797,0.6443781245265869,0.6737157126730554,0.6589781746031745,0.6856209150326797,62.0,4.0,0.8595029227168034,0.5714285714285714,0.25,0.34782608695652173,16.0,0.7222222222222222,0.7647058823529411,0.7428571428571429,17.0,0.4375,0.7777777777777778,0.56,9.0,0.9047619047619048,0.95,0.926829268292683,20.0,0.44857318167585314,0.12317701231202956,0.068206,0.01984,0.629799,12.0,6.81,nested-bayes,"{""C"": 1.9247346954836364, ""class_weight"": ""balanced"", ""gamma"": 0.003090214998845765}",bayes search inside this training fold,
EXP-B1,M3,pascal_a,1,0,r1f0,62,62,138,0.7096774193548387,0.6944444444444444,0.5857085460389487,0.6121324538451687,0.5111413043478261,0.6944444444444444,62.0,4.0,0.8791502834727,0.0,0.0,0.0,16.0,0.7083333333333334,1.0,0.8292682926829268,17.0,0.4666666666666667,0.7777777777777778,0.5833333333333334,9.0,0.8695652173913043,1.0,0.9302325581395349,20.0,0.4435952084050743,0.1821625383135299,0.08071,0.025324,0.56673,12.0,7.14,nested-bayes,"{""C"": 96.09812947036423, ""class_weight"": null, ""gamma"": 0.0008263688714158015}",bayes search inside this training fold,
EXP-B1,M3,pascal_a,1,1,r1f1,62,62,138,0.6612903225806451,0.5806372549019607,0.5371336996336996,0.618539524991138,0.5083333333333333,0.5806372549019607,62.0,4.0,0.8719290825986696,0.4166666666666667,0.6666666666666666,0.5128205128205128,15.0,0.6666666666666666,0.7058823529411765,0.6857142857142857,17.0,0.0,0.0,0.0,10.0,0.95,0.95,0.95,20.0,0.44760140256490405,0.19423799721309035,0.074071,0.026243,0.651045,12.0,7.11,nested-bayes,"{""C"": 7.219059299846868, ""class_weight"": ""balanced"", ""gamma"": 0.0027637329146332416}",bayes search inside this training fold,
EXP-B1,M3,pascal_a,2,0,r2f0,62,62,138,0.6612903225806451,0.5914215686274509,0.575342336970244,0.636284764191741,0.5701581027667985,0.5914215686274509,62.0,4.0,0.8560498203645888,0.45454545454545453,0.3333333333333333,0.38461538461538464,15.0,0.75,0.8823529411764706,0.8108108108108109,17.0,0.25,0.2,0.2222222222222222,10.0,0.8260869565217391,0.95,0.8837209302325582,20.0,0.4375004461383675,0.1399281829894024,0.079745,0.023269,0.615602,12.0,7.93,nested-bayes,"{""C"": 1000.0, ""class_weight"": null, ""gamma"": 0.0017355539850116507}",bayes search inside this training fold,
EXP-B1,M3,pascal_a,2,1,r2f1,62,62,138,0.6612903225806451,0.5652573529411764,0.5234265734265734,0.610542146026017,0.49242424242424243,0.5652573529411764,62.0,4.0,0.8943155403397345,0.5,0.4375,0.4666666666666667,16.0,0.6363636363636364,0.8235294117647058,0.717948717948718,17.0,0.0,0.0,0.0,9.0,0.8333333333333334,1.0,0.9090909090909091,20.0,0.45408962317479695,0.18601380218490143,0.109646,0.024391,0.603907,12.0,7.06,nested-bayes,"{""C"": 0.01, ""class_weight"": ""balanced"", ""gamma"": 0.0001}",bayes search inside this training fold,
EXP-B1,M3,pascal_a,3,0,r3f0,62,62,138,0.6612903225806451,0.5747549019607843,0.5243592596713772,0.6041791548365559,0.4823153899240856,0.5747549019607843,62.0,4.0,0.8670150397856906,0.3888888888888889,0.4666666666666667,0.42424242424242425,15.0,0.7142857142857143,0.8823529411764706,0.7894736842105263,17.0,0.0,0.0,0.0,10.0,0.8260869565217391,0.95,0.8837209302325582,20.0,0.48926875026850297,0.17967571020887319,0.074555,0.028232,0.603724,12.0,7.02,nested-bayes,"{""C"": 0.06904237819271952, ""class_weight"": ""balanced"", ""gamma"": 0.000918023231548625}",bayes search inside this training fold,
EXP-B1,M3,pascal_a,3,1,r3f1,62,62,138,0.5806451612903226,0.5303921568627451,0.5226455455113992,0.5808498805154981,0.5324404761904762,0.5303921568627451,62.0,4.0,0.8413725267588577,0.4,0.25,0.3076923076923077,16.0,0.625,0.5882352941176471,0.6060606060606061,17.0,0.2,0.3333333333333333,0.25,9.0,0.9047619047619048,0.95,0.926829268292683,20.0,0.45252445280038633,0.2763335260351039,0.085909,0.021358,0.713294,12.0,6.85,nested-bayes,"{""C"": 196.00189237673715, ""class_weight"": null, ""gamma"": 0.0002697639376598033}",bayes search inside this training fold,
EXP-B1,M3,pascal_a,4,0,r4f0,62,62,138,0.6612903225806451,0.6245098039215686,0.617912234191304,0.6525094477082474,0.6165802042160738,0.6245098039215686,62.0,4.0,0.8546657165321121,0.4166666666666667,0.3333333333333333,0.37037037037037035,15.0,0.8125,0.7647058823529411,0.7878787878787878,17.0,0.45454545454545453,0.5,0.47619047619047616,10.0,0.782608695652174,0.9,0.8372093023255814,20.0,0.47589572212262254,0.1668642259754884,0.079139,0.031193,0.654076,12.0,6.9,nested-bayes,"{""C"": 2.151140310517972, ""class_weight"": ""balanced"", ""gamma"": 0.004973737230039493}",bayes search inside this training fold,
EXP-B1,M3,pascal_a,4,1,r4f1,62,62,138,0.6129032258064516,0.5224264705882353,0.5056568969051035,0.5937454131928146,0.4900793650793651,0.5224264705882353,62.0,4.0,0.865051955633224,0.3333333333333333,0.375,0.35294117647058826,16.0,0.7222222222222222,0.7647058823529411,0.7428571428571429,17.0,0.0,0.0,0.0,9.0,0.9047619047619048,0.95,0.926829268292683,20.0,0.5175800960958188,0.22888952866264428,0.106876,0.02066,0.696413,12.0,6.93,nested-bayes,"{""C"": 0.01, ""class_weight"": ""balanced"", ""gamma"": 0.0001}",bayes search inside this training fold,
EXP-B1,M4,pascal_a,0,0,r0f0,62,62,138,0.7096774193548387,0.6997549019607843,0.6208655013209093,0.65874388332612,0.6696428571428572,0.6997549019607843,62.0,4.0,0.9109579654283972,0.5,0.06666666666666667,0.11764705882352941,15.0,0.75,0.8823529411764706,0.8108108108108109,17.0,0.42857142857142855,0.9,0.5806451612903226,10.0,1.0,0.95,0.9743589743589743,20.0,0.3836776031653696,0.18491404785834342,0.771092,0.134456,0.596955,12.0,55.31,nested-bayes,"{""class_weight"": null, ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 9, ""n_estimators"": 231}",bayes search inside this training fold,
EXP-B1,M4,pascal_a,0,1,r0f1,62,62,138,0.6612903225806451,0.6696486928104575,0.5966791979949875,0.6257579432452097,0.6674603174603174,0.6696486928104575,62.0,4.0,0.8833570242767603,0.6666666666666666,0.125,0.21052631578947367,16.0,0.7222222222222222,0.7647058823529411,0.7428571428571429,17.0,0.38095238095238093,0.8888888888888888,0.5333333333333333,9.0,0.9,0.9,0.9,20.0,0.4227005535683086,0.07207351898509695,3.054136,0.537404,0.645684,12.0,99.46,nested-bayes,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 30, ""max_features"": 0.3, ""min_samples_leaf"": 10, ""n_estimators"": 971}",bayes search inside this training fold,
EXP-B1,M4,pascal_a,1,0,r1f0,62,62,138,0.7258064516129032,0.7393382352941176,0.6567073170731708,0.6758589037503279,0.6735588972431078,0.7393382352941176,62.0,4.0,0.9014449428937558,0.5,0.125,0.2,16.0,0.7894736842105263,0.8823529411764706,0.8333333333333334,17.0,0.5,1.0,0.6666666666666666,9.0,0.9047619047619048,0.95,0.926829268292683,20.0,0.3671230895035701,0.11214411395056559,0.366002,0.072822,0.64098,12.0,83.24,nested-bayes,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 5, ""max_features"": 0.3, ""min_samples_leaf"": 2, ""n_estimators"": 100}",bayes search inside this training fold,
