run,task,model_id,fold_label,duration_band,n_units,n_records_corpus,reported,median_duration_sec,min_duration_sec,n_classes_present,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,support,n_classes,ovr_auc_macro,precision_normal,recall_normal,f1_normal,support_normal,precision_murmur,recall_murmur,f1_murmur,support_murmur,precision_extrahls,recall_extrahls,f1_extrahls,support_extrahls,precision_artifact,recall_artifact,f1_artifact,support_artifact
EXP-B1,pascal_a,M3,r2f0,medium,58,116,True,8.9420295,5.749297,4,0.7068965517241379,0.6266369047619047,0.6151160651878012,0.6946574113892177,0.6106601731601732,0.6266369047619047,58.0,4.0,0.8901778964339713,0.45454545454545453,0.3333333333333333,0.38461538461538464,15.0,0.8333333333333334,0.9375,0.8823529411764706,16.0,0.25,0.2857142857142857,0.26666666666666666,7.0,0.9047619047619048,0.95,0.926829268292683,20.0
EXP-B1,pascal_a,M3,r2f0,short,4,8,False,1.441882,0.936372,2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
EXP-B1,pascal_a,M3,r2f1,medium,58,116,True,9.0,6.818934,4,0.7068965517241379,0.59375,0.5513769583537025,0.6546899746578977,0.5186733556298774,0.59375,58.0,4.0,0.9088073165869219,0.5384615384615384,0.5,0.5185185185185185,14.0,0.6666666666666666,0.875,0.7567567567567568,16.0,0.0,0.0,0.0,8.0,0.8695652173913043,1.0,0.9302325581395349,20.0
EXP-B1,pascal_a,M3,r2f1,short,4,8,False,4.1451475,1.645238,3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
EXP-B1,pascal_a,M3,r3f0,medium,60,116,True,9.0,5.955692,4,0.6833333333333333,0.5885416666666667,0.5404706258364795,0.6312199117077166,0.501984126984127,0.5885416666666667,60.0,4.0,0.8769998081303227,0.3888888888888889,0.4666666666666667,0.42424242424242425,15.0,0.7142857142857143,0.9375,0.8108108108108109,16.0,0.0,0.0,0.0,9.0,0.9047619047619048,0.95,0.926829268292683,20.0
EXP-B1,pascal_a,M3,r3f0,short,2,8,False,0.936372,0.936372,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
EXP-B1,pascal_a,M3,r3f1,medium,56,116,True,8.9420295,5.749297,4,0.6428571428571429,0.5901785714285714,0.5718703148425788,0.6554294281430713,0.594490231990232,0.5901785714285714,56.0,4.0,0.8714973072562358,0.4444444444444444,0.2857142857142857,0.34782608695652173,14.0,0.7692307692307693,0.625,0.6896551724137931,16.0,0.21428571428571427,0.5,0.3,6.0,0.95,0.95,0.95,20.0
EXP-B1,pascal_a,M3,r3f1,short,6,8,False,3.3494105,1.645238,3,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
EXP-B1,pascal_a,M3,r4f0,medium,56,116,True,8.9420295,5.749297,4,0.7321428571428571,0.7333333333333333,0.6875054736534814,0.7244927747774048,0.6786034688995215,0.7333333333333333,56.0,4.0,0.9202981029810299,0.5,0.3333333333333333,0.4,15.0,0.8125,0.8666666666666667,0.8387096774193549,15.0,0.45454545454545453,0.8333333333333334,0.5882352941176471,6.0,0.9473684210526315,0.9,0.9230769230769231,20.0
EXP-B1,pascal_a,M3,r4f0,short,6,8,False,1.7963149999999999,0.936372,2,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
