run,task,model_id,fold_label,quality_group,n_units,n_records_corpus,reported,mean_snr_proxy_db,n_classes_present,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,support,n_classes,ovr_auc_macro,precision_normal,recall_normal,f1_normal,support_normal,precision_murmur,recall_murmur,f1_murmur,support_murmur,precision_extrahls,recall_extrahls,f1_extrahls,support_extrahls,precision_artifact,recall_artifact,f1_artifact,support_artifact
EXP-B1,pascal_a,M5,r1f1,clean,46,86,True,26.946246282608694,4,0.5,0.5139705882352942,0.5272727272727272,0.4982872200263504,0.5459899749373434,0.5139705882352942,46.0,4.0,0.8070104553735317,0.26666666666666666,0.26666666666666666,0.26666666666666666,15.0,0.631578947368421,0.7058823529411765,0.6666666666666666,17.0,0.2857142857142857,0.25,0.26666666666666666,8.0,1.0,0.8333333333333334,0.9090909090909091,6.0
EXP-B1,pascal_a,M5,r1f1,low_quality_other,2,7,False,21.357509999999998,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
EXP-B1,pascal_a,M5,r1f1,noisy,14,31,False,0.730004142857143,1,1.0,1.0,0.25,1.0,0.25,0.25,14.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,14.0
EXP-B1,pascal_a,M5,r2f0,clean,42,86,True,28.775591714285717,4,0.5952380952380952,0.54375,0.5287878787878788,0.574025974025974,0.5152573529411765,0.54375,42.0,4.0,0.8310068973015401,0.4375,0.5,0.4666666666666667,14.0,0.8235294117647058,0.875,0.8484848484848485,16.0,0.0,0.0,0.0,7.0,0.8,0.8,0.8,5.0
EXP-B1,pascal_a,M5,r2f0,low_quality_other,5,7,False,18.3572156,3,0.2,0.3333333333333333,0.25,0.2,0.25,0.25,5.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0
EXP-B1,pascal_a,M5,r2f0,noisy,15,31,False,1.5469073999999996,2,0.9333333333333333,0.5,0.2413793103448276,0.9011494252873563,0.23333333333333334,0.25,15.0,4.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333333333333,1.0,0.9655172413793104,14.0
EXP-B1,pascal_a,M5,r2f1,clean,44,86,True,30.087561068181813,4,0.6590909090909091,0.6898634453781514,0.6692810457516339,0.6674390968508616,0.6634081196581196,0.6898634453781514,44.0,4.0,0.8640418254388842,0.5555555555555556,0.625,0.5882352941176471,16.0,0.9230769230769231,0.7058823529411765,0.8,17.0,0.375,0.42857142857142855,0.4,7.0,0.8,1.0,0.8888888888888888,4.0
EXP-B1,pascal_a,M5,r2f1,low_quality_other,2,7,False,22.2609425,1,1.0,1.0,0.25,1.0,0.25,0.25,2.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
EXP-B1,pascal_a,M5,r2f1,noisy,16,31,False,-1.9670824375000002,1,0.875,0.875,0.23333333333333334,0.9333333333333333,0.25,0.21875,16.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.875,0.9333333333333333,16.0
EXP-B1,pascal_a,M5,r3f0,clean,43,86,True,32.44826395348837,4,0.627906976744186,0.6629464285714286,0.6261562998405104,0.5874856273877082,0.6153950216450216,0.6629464285714286,43.0,4.0,0.8522526683087028,0.375,0.21428571428571427,0.2727272727272727,14.0,0.6818181818181818,0.9375,0.7894736842105263,16.0,0.5714285714285714,0.5,0.5333333333333333,8.0,0.8333333333333334,1.0,0.9090909090909091,5.0
EXP-B1,pascal_a,M5,r3f0,low_quality_other,4,7,False,19.062804,3,0.75,0.6666666666666666,0.45,0.65,0.41666666666666663,0.5,4.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,1.0,0.8,2.0,1.0,1.0,1.0,1.0
EXP-B1,pascal_a,M5,r3f0,noisy,15,31,False,-2.431633666666666,2,0.8666666666666667,0.4642857142857143,0.23214285714285715,0.8666666666666667,0.23214285714285715,0.23214285714285715,15.0,4.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.9285714285714286,0.9285714285714286,14.0
EXP-B1,pascal_a,M5,r3f1,clean,43,86,True,26.445399744186048,4,0.5581395348837209,0.5808823529411764,0.5498376623376623,0.5612201751736636,0.5986111111111111,0.5808823529411764,43.0,4.0,0.7965518544562662,0.6666666666666666,0.25,0.36363636363636365,16.0,0.7777777777777778,0.8235294117647058,0.8,17.0,0.2,0.5,0.2857142857142857,6.0,0.75,0.75,0.75,4.0
EXP-B1,pascal_a,M5,r3f1,low_quality_other,3,7,False,20.018915666666665,1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
EXP-B1,pascal_a,M5,r3f1,noisy,16,31,False,1.7627998124999997,1,1.0,1.0,0.25,1.0,0.25,0.25,16.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,16.0
EXP-B1,pascal_a,M5,r4f0,clean,43,86,True,30.324076790697678,4,0.6046511627906976,0.5699404761904762,0.5844757094757095,0.6118270188037631,0.6145361990950227,0.5699404761904762,43.0,4.0,0.8322778597563081,0.38461538461538464,0.35714285714285715,0.37037037037037035,14.0,0.8235294117647058,0.875,0.8484848484848485,16.0,0.25,0.3333333333333333,0.2857142857142857,6.0,1.0,0.7142857142857143,0.8333333333333334,7.0
EXP-B1,pascal_a,M5,r4f0,low_quality_other,5,7,False,20.4947452,2,0.4,0.25,0.16666666666666666,0.5333333333333333,0.25,0.125,5.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.6666666666666666,4.0,0.0,0.0,0.0,0.0
EXP-B1,pascal_a,M5,r4f0,noisy,14,31,False,0.9529216428571429,2,0.8571428571428571,0.46153846153846156,0.23076923076923078,0.8571428571428571,0.23076923076923078,0.23076923076923078,14.0,4.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9230769230769231,0.9230769230769231,0.9230769230769231,13.0
EXP-B1,pascal_a,M5,r4f1,clean,43,86,True,28.569586906976742,4,0.5813953488372093,0.6452205882352942,0.6007352941176471,0.5854309165526677,0.575,0.6452205882352942,43.0,4.0,0.841360294117647,0.5,0.5,0.5,16.0,0.8,0.7058823529411765,0.75,17.0,0.3333333333333333,0.375,0.35294117647058826,8.0,0.6666666666666666,1.0,0.8,2.0
EXP-B1,pascal_a,M5,r4f1,low_quality_other,2,7,False,16.9171185,2,1.0,1.0,0.5,1.0,0.5,0.5,2.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
EXP-B1,pascal_a,M5,r4f1,noisy,17,31,False,-1.271212411764706,1,1.0,1.0,0.25,1.0,0.25,0.25,17.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,17.0
EXP-B1,pascal_a,M6,r0f0,clean,41,86,True,32.149809097560976,4,0.6585365853658537,0.6510416666666666,0.6053921568627452,0.5891917742706839,0.569078947368421,0.6510416666666666,41.0,4.0,0.871462703962704,0.5263157894736842,0.6666666666666666,0.5882352941176471,15.0,0.75,0.9375,0.8333333333333334,16.0,0.0,0.0,0.0,8.0,1.0,1.0,1.0,2.0
