feature,family,mean_D1,std_D1,mean_D2,std_D2,mean_D3,std_D3,mean_D4,std_D4,smd_D1_vs_D4,abs_smd_D1_vs_D4
time_zcr_std,time,0.015136020572177245,0.008045726250601952,0.030080681442882215,0.023108861848266608,0.02623096781813886,0.011265981358749889,0.03532904567464969,0.012366152888307141,1.9356713038959885,1.9356713038959885
dwt_cD1_mean_abs,dwt,0.008883581438267297,0.012382155826374171,0.06044000450060894,0.09505196386615716,0.029164474170506095,0.02188544675088933,0.04689195171214404,0.02571949939512492,1.8830677943176823,1.8830677943176823
time_min,time,-9.291579720934243,4.286240762703477,-11.67251469194889,7.497623483899127,-8.684805376500618,3.7295353720683115,-25.64493296412475,12.255978981323791,-1.78122038446271,1.78122038446271
dwt_cD3_energy,dwt,2983.6940027253304,4545.651290135054,5610.163928695457,4198.984847650094,2388.3299716159677,2460.2102823554496,13635.409895065037,7275.397675491573,1.7559506837441499,1.7559506837441499
dwt_cA5_mean_abs,dwt,1.6155919897413722,0.6747510031256416,0.5038203574811633,0.5275566486505842,0.9217552811127848,0.2792436546375432,0.6971157286425969,0.306460724820741,-1.7527293756405364,1.7527293756405364
chroma_09_mean,chroma,0.7213801415105149,0.07333128258640083,0.5860767884798036,0.15393996830404666,0.6460023505192547,0.07519937677047114,0.6009341615723233,0.06680326662821422,-1.7171426369495837,1.7171426369495837
dwt_cD5_mean_abs,dwt,1.9517982027718064,0.39685376160660407,0.8474894279076802,0.7820886297544969,1.6172991821881486,0.32863515898422796,1.233036235372851,0.45443623410363404,-1.6847920064046393,1.6847920064046393
freq_centroid_std,frequency,19.584036415504304,7.765743049824017,24.317389548144877,17.01702863076549,24.900128693680156,7.828290848333447,32.37095952843656,7.593078733246198,1.6649864610587155,1.6649864610587155
dwt_cD3_entropy,dwt,2.8838773791591796,0.9000779527713362,2.73408303419917,1.0406887920159351,2.8909392373850364,0.657172154601136,1.6475628287067432,0.6769092515249413,-1.5524764772167987,1.5524764772167987
dwt_cD2_energy,dwt,491.46638377427314,1771.7750617139518,3025.0035384760704,3850.1646934238684,938.2790121113344,1756.931730881081,9281.71971603935,7847.601126994483,1.5451961343522311,1.5451961343522311
dwt_cD1_entropy,dwt,2.6828145227433815,1.2784605828615534,2.631814965138952,1.2618772370186235,2.286255420166541,0.79050644601192,1.1675563675642526,0.6205886321341465,-1.5078906142901072,1.5078906142901072
mfcc_03_mean,mfcc,11.36547153476727,8.017142521070689,-14.042789101675528,17.784465283483538,4.043450341000926,5.56680906323702,1.0383177511638704,5.469038723627545,-1.5048903803385036,1.5048903803385036
dwt_cD2_entropy,dwt,2.700125388618444,1.1104513636600115,2.7652810178996363,1.1632956909771905,2.5528699268974346,0.7727303957770459,1.3225099196328673,0.6682507202376795,-1.5032532665480312,1.5032532665480312
chroma_10_mean,chroma,0.709375384600332,0.07848664978210848,0.5984719278469162,0.17479329896817894,0.6685699266375132,0.08277317379885646,0.6052888225983122,0.06806341485459404,-1.4169122221779697,1.4169122221779697
freq_band_power_250_350,frequency,0.005226384965109129,0.018969831210743887,0.11382807836799627,0.16621994673985477,0.049067025490023376,0.09428771344334319,0.14355897764342263,0.13938836113371078,1.390682285375198,1.390682285375198
dwt_cA5_std,dwt,2.7054315928996022,0.992391434816593,1.0857067567125258,1.0512442596791716,1.4665673045083272,0.5491816809044122,1.3520801035698624,1.0000843138798714,-1.3584520695807014,1.3584520695807014
freq_rolloff95_std,frequency,55.069858006604306,16.96320466222847,38.68929752304195,20.573158865379085,38.78126324794748,10.455542539267594,36.59491446951898,9.26997347239753,-1.3515951027826265,1.3515951027826265
freq_total_power,frequency,0.9976341411849677,0.044441626431136055,0.9895676074824853,0.11191220802904625,1.0277059651207174,0.0797920188660596,0.8510695692142707,0.14839609312176877,-1.3380440930303015,1.3380440930303015
dwt_cD3_mean_abs,dwt,0.31082334746418605,0.20711593475760554,0.6508184065862341,0.3831635033492039,0.5163879382725468,0.18614650650636363,0.545173854018499,0.14594801348989264,1.3080390508851654,1.3080390508851654
freq_band_power_100_150,frequency,0.06487902993575477,0.06998354236909698,0.19079796704918317,0.18703105664337707,0.1418039905034382,0.06854812239049946,0.15490370428141606,0.07259126640014477,1.2626300653337257,1.2626300653337257
chroma_05_mean,chroma,0.7698669606652216,0.048628012069325405,0.7388163344408899,0.12212775286692858,0.8235152133865399,0.04343124332309773,0.8230622431056569,0.036728437345873326,1.234488218380588,1.234488218380588
env_mean,envelope,0.8472598407274932,0.14489857441779191,0.710613382262006,0.24643287733601585,0.7793633667498189,0.11561387337571419,0.6827271280226075,0.14209511090284488,-1.1465399534743281,1.1465399534743281
dwt_cD1_energy,dwt,22.563835693636,101.48613154252654,267.59816420448294,734.0285994077052,51.40465650697273,100.68002883342896,650.4656867926486,768.0098510024238,1.14625434010292,1.14625434010292
dwt_cD5_energy,dwt,19635.912418771106,13067.389766254753,3180.4422481380175,4274.915567110906,4055.1441601850775,3460.96873655657,8343.862611260563,5999.684224363029,-1.1106110562176867,1.1106110562176867
time_autocorr_peak_value,time,0.2794753255564031,0.12224235623297394,0.4119557518069156,0.2781069298261359,0.19823252825664892,0.1002828108194539,0.14360242073949944,0.12894173975245576,-1.0814745513739255,1.0814745513739255
chroma_11_mean,chroma,0.7160963528708373,0.07545882950321593,0.6264186620356024,0.1719115084810354,0.6900015605243106,0.07406857947867834,0.6446785321666268,0.06459811900971046,-1.0167872349498008,1.0167872349498008
freq_flux_std,frequency,0.03451826543579536,0.012661701533710793,0.031164803695772944,0.01999866911041891,0.024821518395632087,0.007282411804427298,0.024206217919798628,0.00786557449515787,-0.9783665796083102,0.9783665796083102
env_skew,envelope,2.6887772279841076,1.1469455073480979,3.010041528771374,1.9778783563210685,2.33800322758942,0.7494216084261531,4.896666086125453,3.0292589742317073,0.963973865976605,0.963973865976605
dwt_cD4_entropy,dwt,3.183627882124861,0.705084303166037,2.8706237195989464,1.0979217514247654,3.164505769844289,0.5325058324913483,2.5236184751827553,0.6644101705612095,-0.9634482155111921,0.9634482155111921
time_kurtosis,time,21.355832642592745,42.6667287142678,57.568468635620775,144.04088932662148,24.204697184957826,25.330783487959454,241.21571805291697,332.7119957828067,0.9269376656519903,0.9269376656519903
freq_dominant,frequency,40.810990892403275,21.670010908560336,138.29456676136363,92.8652250143347,62.99423589939025,42.2082847209369,97.14496719886183,86.67232015400198,0.8917399760885415,0.8917399760885415
mfcc_10_mean,mfcc,1.5828356813010944,1.9112102254781984,0.9680442780365639,2.2243113047278973,0.027732317580221967,1.500415828670347,0.17963375079916077,1.1803266914306696,-0.8834175850644348,0.8834175850644348
mfcc_09_mean,mfcc,0.3721669771058385,2.0891894384879297,-0.10860349211399822,3.2513429931803275,-0.9926465738565712,1.5608189598385889,-1.1368401899146234,1.3005457587427909,-0.8671787796679675,0.8671787796679675
chroma_06_mean,chroma,0.8133023688135834,0.04893512043798807,0.7970573189169773,0.10679483557260104,0.8527379721927237,0.047078668297173436,0.8509887439795081,0.037491187558567486,0.8645579910910463,0.8645579910910463
time_hjorth_complexity,time,1.8888980680831988,0.5133418148987214,1.3743384798047484,0.32415549013167294,1.7981057142100103,0.2683994562126087,1.5386813888719186,0.2706361429103966,-0.8534717706643216,0.8534717706643216
mfcc_06_mean,mfcc,4.023512495620767,4.142841372773184,1.3753739041271187,3.5106410494389437,1.7434560549871274,2.642636596879767,1.2372232335614797,2.3958258005429047,-0.823367866093657,0.823367866093657
chroma_04_mean,chroma,0.7627477843815559,0.05055476890031859,0.693258116155949,0.15480789780529255,0.8034856127077108,0.0453415147744295,0.7998795951038161,0.0389545006034171,0.8227942431621875,0.8227942431621875
time_iqr,time,0.5501450202618487,0.2308302030541693,0.37819560529452834,0.3766625053440336,0.4500956355931987,0.16348710877261913,0.389698741624236,0.1510968944882853,-0.8224616231086311,0.8224616231086311
chroma_12_mean,chroma,0.7321173266159386,0.07056656877999135,0.6231943282926333,0.15074856020919047,0.7036523090103718,0.06914254781232013,0.6792174810873227,0.0597304234157999,-0.8091952023737724,0.8091952023737724
freq_flatness_mean,frequency,4.960065518129664e-05,8.911121950033683e-05,0.0004260175148687853,0.00047808748221551587,0.0002907034779552842,0.00036888231686427045,0.00018179584890646637,0.00021368393056491692,0.8074983778770477,0.8074983778770477
freq_band_power_350_400,frequency,0.0008410277410210582,0.0037637514418665673,0.03372209123042214,0.09461204152252523,0.006596057165250207,0.009690675040567294,0.0344885771320314,0.05968125689356929,0.7957352074172477,0.7957352074172477
env_kurtosis,envelope,10.093788327465568,19.15537425715983,15.442569338443006,25.87464595649366,6.236177885697226,6.29344614819835,48.56100329395134,67.04099152407574,0.7802325074842736,0.7802325074842736
freq_flatness_std,frequency,0.0004380144399523447,0.000820336659538136,0.002278368921404136,0.002539934433468635,0.0013076853742103954,0.0014432592319835115,0.0017576727365796736,0.0022808824870062146,0.7699430714371128,0.7699430714371128
mfcc_05_mean,mfcc,1.2878743801937802,4.997917205717813,-1.7369001997787572,9.469250480686012,-1.8269692502217014,3.0702237044392438,-1.8914269119532632,3.157366403328074,-0.7605620600001063,0.7605620600001063
mfcc_11_mean,mfcc,0.31265212420183286,1.7376193199326113,-1.1715638701275308,2.0310648178195208,-0.6244165112549513,1.3311084056097688,-0.760297306967996,1.062473520460717,-0.7450165704788495,0.7450165704788495
time_skewness,time,-0.16364477397905947,1.0708753217854607,0.03959686846580041,0.7899690643543374,0.41967713276295376,1.1787093134787874,1.3330281263181538,2.663305257117364,0.7373592081008722,0.7373592081008722
time_sample_entropy,time,0.23702408559224233,0.13164801959207073,0.22290488977699,0.22856083574989097,0.2716302188132142,0.12770741726836696,0.3342471542391844,0.1420629840602888,0.7098929912405852,0.7098929912405852
mfcc_08_mean,mfcc,1.9085822129989525,2.6230774266309114,-0.5053749405985507,2.7017812997724078,0.5803795448312079,1.8436663978758174,0.4173909422412323,1.4694005662988048,-0.701410051431921,0.701410051431921
mfcc_04_mean,mfcc,9.811896467608074,7.035548955899388,-1.0475210335399006,10.539186400897279,7.322140588244345,3.799900069764127,5.8008211967986805,4.01574823801838,-0.7002297301020046,0.7002297301020046
mfcc_12_mean,mfcc,0.93008026285773,1.626511655620118,0.21190576578599815,1.4698564265019902,0.46340728249123664,1.3908955419991147,0.006730441013119195,0.9720749959397181,-0.6891370803368416,0.6891370803368416
freq_bandwidth_std,frequency,15.604378466915742,4.780260710506064,15.19067203444469,5.289385518967538,13.898604373447933,3.636815596212423,13.00411583456706,3.0091848966430295,-0.6510216712393387,0.6510216712393387
mfcc_13_mean,mfcc,0.07779139320679739,1.524324966627563,-2.209355263373449,3.206202488382033,-0.724221553947279,1.228824203754826,-0.7301779103019629,0.8703170789771444,-0.6509726037474188,0.6509726037474188
mfcc_07_mean,mfcc,-0.02109312094670274,3.3065720969488352,-2.018140243493975,2.682821899299287,-2.0827081965922556,2.0786683591707877,-1.7313836225982668,1.8630602437901551,-0.6372900041919262,0.6372900041919262
chroma_11_std,chroma,0.15576077820211098,0.021177575332486615,0.15995738180519392,0.04073349154369732,0.15648639476769852,0.024587647455162214,0.16989093220022863,0.02408302178531877,0.623108423410971,0.623108423410971
dwt_cA5_entropy,dwt,4.039324042996227,0.5691523297352548,3.21021470297822,1.0697199422118715,4.413501901367482,0.455272441139203,3.580639554888372,0.9006448360875845,-0.6088535619109223,0.6088535619109223
mfcc_03_delta_mean,mfcc,-0.0052440548140333006,0.1090699800344635,-0.012668108995659337,0.21966397725436188,-0.018170782222115323,0.32870369599222515,-0.06142192258134098,0.08695191598321103,-0.5695652282622963,0.5695652282622963
env_std,envelope,0.999271576041777,0.13221311918694104,0.9771748491467819,0.21762500193187434,0.9560126991871067,0.10695962274491504,0.9310307307463849,0.11423409514036321,-0.5523290190266031,0.5523290190266031
mfcc_13_std,mfcc,3.716116082377185,0.46554510147866085,3.7372395961809635,0.7317760230622015,3.5254181538408655,0.6010659471896211,3.484889491853874,0.37703776066807243,-0.5458486836842805,0.5458486836842805
chroma_12_std,chroma,0.15698761532633235,0.01925556612357005,0.1667473896870728,0.0382254232487995,0.1543214433395384,0.024072524367398724,0.16862693804639842,0.024279445178420594,0.531185749006088,0.531185749006088
dwt_cA5_energy,dwt,10325.502036868102,9049.07747053659,1172.6428404645046,2251.7902039700602,981.2424170854046,1122.8622547144207,3917.964999578416,15903.823801840781,-0.4952244790113384,0.4952244790113384
chroma_07_mean,chroma,0.8228510966293369,0.05295217853439943,0.7976581290768578,0.08711834273941113,0.8305832262469589,0.05035521898981768,0.8453942679057377,0.0407706720512908,0.47704775129730925,0.47704775129730925
freq_rolloff85_std,frequency,41.61311777936294,16.27234339743196,36.945866195596516,19.718559605788066,46.1218487484762,10.709117542926327,48.14192663113514,10.744912237121506,0.47349864241463796,0.47349864241463796
mfcc_12_std,mfcc,3.8301411386857365,0.5226221309478121,4.003385351128641,0.8345247463137153,3.6850165563504595,0.62287533201073,3.6209002607759446,0.40338386317089964,-0.4482205809152601,0.4482205809152601
mfcc_01_delta_mean,mfcc,0.07036615112494217,0.6185017271310453,0.29567857008850623,2.2297882452670588,0.32655251902865884,1.1376598431942462,0.30163195802246023,0.4100080119034565,0.44074584333664457,0.44074584333664457
chroma_01_std,chroma,0.15475670327171262,0.020120812992783017,0.1642629204998772,0.03662530505567064,0.15029791657214342,0.02380270162489374,0.1645109196306497,0.024527851601914917,0.43481904460160253,0.43481904460160253
chroma_03_mean,chroma,0.7515932577400708,0.05407257755125735,0.6810602419364301,0.15811656700645546,0.7741044022325847,0.051794198491136346,0.7727685186573553,0.04304403616472063,0.43329416918122554,0.43329416918122554
chroma_10_std,chroma,0.1580589657170968,0.021215841744286677,0.16223755574327697,0.043251879067505376,0.15728701020321237,0.02707774309889074,0.167252499667414,0.02330558758254883,0.41253945871870235,0.41253945871870235
mfcc_04_delta_mean,mfcc,-0.001561377827040937,0.0701605535769718,-0.008347966441852577,0.16036722429792646,0.018345500918800467,0.31954976095271864,-0.027672036923087555,0.06014283022577804,-0.399588019253886,0.399588019253886
mfcc_11_std,mfcc,3.959068990633382,0.5567829187780159,4.072706557491364,0.8398779048084982,3.7694115595878492,0.665428746665241,3.7675119991525836,0.43255729484973593,-0.38422483358868353,0.38422483358868353
chroma_01_mean,chroma,0.7317553821278832,0.06110839394681616,0.630549312939254,0.1475142385872676,0.721837632383595,0.06454674765972389,0.7096509557628552,0.054320817758500076,-0.3823349165393376,0.3823349165393376
mfcc_04_std,mfcc,6.636460974319154,1.3153317852071849,7.536694159028742,2.369106888425006,6.755578312546368,1.8095752921173633,7.168709081112819,1.537232005378415,0.3720477688531011,0.3720477688531011
mfcc_01_std,mfcc,36.558175589052205,23.279900121235375,61.901527537235324,52.99306351932722,42.4372039971668,9.818485774932146,43.0248597366185,8.030329564720411,0.3713665200643374,0.3713665200643374
chroma_08_mean,chroma,0.7747493837920901,0.0543740420327161,0.7260378107983523,0.09774974164911374,0.753430861467025,0.05489327305275243,0.7575885937128282,0.04436007204557935,-0.34584198290846696,0.34584198290846696
mfcc_02_delta_mean,mfcc,0.002482701736561466,0.18019441020171437,0.020180596772665097,0.4210771566754796,-0.019122219550829347,0.6391242024194499,-0.05260556899116765,0.1420531509790555,-0.33953032262725324,0.33953032262725324
dwt_cD4_std,dwt,1.8411230990712069,0.6361141530822358,1.6857652283289697,0.6523002755671251,2.407215834041728,0.3930990915523197,2.0127908967281996,0.4416589608434027,0.31349846137017606,0.31349846137017606
mfcc_10_std,mfcc,4.136412299746364,0.5961502042843009,4.221388359201285,0.858937933175009,3.9705361869068243,0.704333148834119,3.9649065090449978,0.5096720549118764,-0.3092427348755094,0.3092427348755094
dwt_cD5_entropy,dwt,3.5939231444414297,0.5990084394730413,3.122210607836541,0.997047431808803,3.733876478191154,0.450053460925979,3.406127677390295,0.6214294482102799,-0.30769904163804057,0.30769904163804057
chroma_08_std,chroma,0.14058034496682395,0.020264853805820052,0.1630188390436356,0.04328927595974733,0.14280839122431843,0.026836530144916458,0.14750279604015915,0.025540914274354915,0.30026708579914413,0.30026708579914413
mfcc_05_std,mfcc,5.760517837351752,1.1006912706989667,6.809295419267497,1.9091346423410638,6.067403827590578,1.4006224872524704,6.110724827860769,1.2620807295416758,0.29574827935390946,0.29574827935390946
time_median,time,0.000710447837839658,0.007087667362481274,0.0009479836394206131,0.005665307866897688,-0.0013598859925000452,0.006263429729529137,-0.0007567979555139296,0.004010593738967449,-0.2547979735851553,0.2547979735851553
chroma_06_std,chroma,0.1404457029428637,0.021481399446533097,0.15570474055779956,0.042874595447227465,0.12799250423169317,0.03318468826749785,0.13397270980264378,0.03010271125855082,-0.2475351217888486,0.2475351217888486
chroma_09_std,chroma,0.15493675271117874,0.02172855455449555,0.16661865896758035,0.04329135491488501,0.15330513102251636,0.02502058029347658,0.16014915135712338,0.021765343945091817,0.23968404585991157,0.23968404585991157
time_autocorr_peak_lag,time,0.08792219711945777,0.2203385971759233,0.2886136363636364,0.4215364734415736,0.3886615853658537,0.488429192555465,0.1554666455896301,0.34298483587167833,0.23431776997608508,0.23431776997608508
mfcc_05_delta_mean,mfcc,-0.0040188148289521846,0.05853164016937905,0.020636369026399818,0.1432773964740151,-0.012727297726436023,0.2663353161689855,-0.015819932864908497,0.04710310173078995,-0.22213625556973726,0.22213625556973726
mfcc_06_std,mfcc,5.129962254042944,0.829395382288553,5.323726916195433,1.2039591143833697,5.305500553171404,1.142739223631075,5.323749987426877,0.9953860473206486,0.21152223098491693,0.21152223098491693
mfcc_09_std,mfcc,4.302082373986472,0.5959335289701337,4.935967954336954,1.4564142167831375,4.182888726177049,0.8342477518005212,4.188582193606612,0.5818560104699447,-0.1927204649297585,0.1927204649297585
chroma_04_std,chroma,0.15056693078913014,0.018173355130389614,0.16367538516024008,0.041147699952857955,0.13895979244005086,0.027261781488119474,0.14633363040827896,0.02597859699435607,-0.18883254377888417,0.18883254377888417
chroma_05_std,chroma,0.14349321915192725,0.020213190420377468,0.15551950550166058,0.04148964094733598,0.1318968539468526,0.030144192497177754,0.1391566777029572,0.027559268781636396,-0.17944072810202746,0.17944072810202746
chroma_02_std,chroma,0.15596864226131804,0.020508896636677123,0.168786017659811,0.03879380176123197,0.1479007572811553,0.02588112438995515,0.15917183223486003,0.02478123013431559,0.1408268254029017,0.1408268254029017
mfcc_03_std,mfcc,9.93223998863594,2.2462352408839283,10.553709145374187,4.61417361191572,8.582247734522221,2.0692594258149515,9.661245709103948,1.7971203623989302,-0.13322492827547014,0.13322492827547014
mfcc_06_delta_mean,mfcc,-0.0009668750530489136,0.04982383635589979,0.005496520909069023,0.1448194067274943,-0.008826809268129026,0.24016448571026433,-0.006002199901221924,0.03711860522662261,-0.11461389659488179,0.11461389659488179
mfcc_07_delta_mean,mfcc,-0.0006577960699410851,0.047218282033947435,0.00623610156853334,0.17873478881863253,-0.010007393240751165,0.20022602929808764,-0.004454908825701015,0.03539852273195568,-0.09099454313495275,0.09099454313495275
mfcc_08_delta_mean,mfcc,-0.00030734922959301794,0.04032104996168712,0.017175849498311413,0.1871079246261058,-0.0036619085967716813,0.26179480973184116,-0.0035220904052844725,0.031906681496273105,-0.08841883535675435,0.08841883535675435
