feature,family,n_finite,n_unique,std,variance,unique_ratio,verdict
chroma_05_mean,chroma,7536,7235,0.05438792552752484,0.002958046443187588,0.960058,ok
chroma_06_mean,chroma,7536,7235,0.05053710162115475,0.0025539986402669215,0.960058,ok
chroma_07_mean,chroma,7536,7235,0.050534669671972336,0.0025537528388553605,0.960058,ok
chroma_08_mean,chroma,7536,7235,0.05304025934714476,0.0028132691116123766,0.960058,ok
chroma_09_mean,chroma,7536,7235,0.09391237859945484,0.008819534854207342,0.960058,ok
chroma_10_mean,chroma,7536,7235,0.09295214960387208,0.008640102115980616,0.960058,ok
chroma_11_mean,chroma,7536,7235,0.08245129808439251,0.006798216555801349,0.960058,ok
chroma_12_mean,chroma,7536,7235,0.07457260272695226,0.005561073077471848,0.960058,ok
chroma_01_std,chroma,7536,7235,0.023482298494243072,0.0005514183425727304,0.960058,ok
chroma_02_std,chroma,7536,7235,0.02369426519032984,0.0005614182029096764,0.960058,ok
chroma_03_std,chroma,7536,7235,0.02349091730741288,0.0005518231959437099,0.960058,ok
chroma_04_std,chroma,7536,7235,0.023651888418571992,0.00055941182576458,0.960058,ok
chroma_05_std,chroma,7536,7235,0.025418993073390184,0.0006461252088650582,0.960058,ok
chroma_06_std,chroma,7536,7235,0.027570689015636817,0.0007601428927969567,0.960058,ok
chroma_07_std,chroma,7536,7235,0.02740967363468482,0.0007512902087599363,0.960058,ok
chroma_08_std,chroma,7536,7235,0.024330768966975617,0.0005919863185243437,0.960058,ok
chroma_09_std,chroma,7536,7235,0.02297827729195461,0.000528001227305957,0.960058,ok
chroma_10_std,chroma,7536,7235,0.023819954761948304,0.0005673902448612637,0.960058,ok
chroma_11_std,chroma,7536,7235,0.02433792034374579,0.0005923343666585152,0.960058,ok
chroma_12_std,chroma,7536,7235,0.02327578689824312,0.000541762255732426,0.960058,ok
dwt_cA5_energy,dwt,7536,7235,12562.527638070094,157817100.657275,0.960058,ok
dwt_cD5_energy,dwt,7536,7235,11652.561032875126,135782178.62487984,0.960058,ok
dwt_cD4_energy,dwt,7536,7235,8232.999159522913,67782275.16070499,0.960058,ok
dwt_cD3_energy,dwt,7536,7235,7784.565305583424,60599456.996893145,0.960058,ok
dwt_cD2_energy,dwt,7536,7235,6796.073640032362,46186616.92074272,0.960058,ok
dwt_cD1_energy,dwt,7536,7235,599.0478154929638,358858.28524689196,0.960058,ok
dwt_cA5_std,dwt,7536,7235,1.1783850873927761,1.3885914141896807,0.960058,ok
dwt_cD5_std,dwt,7536,7235,0.9931486829225283,0.9863443063907528,0.960058,ok
dwt_cD4_std,dwt,7536,7235,0.5676734041183202,0.3222530937432817,0.960058,ok
dwt_cD3_std,dwt,7536,7235,0.5475352035150409,0.2997947990882573,0.960058,ok
dwt_cD2_std,dwt,7536,7235,0.4094913133861759,0.1676831357387353,0.960058,ok
dwt_cD1_std,dwt,7536,7235,0.0830263822167374,0.006893380143999769,0.960058,ok
dwt_cA5_entropy,dwt,7536,7234,0.7884061594114918,0.6215842721979786,0.959926,ok
dwt_cD5_entropy,dwt,7536,7234,0.6220915516034098,0.3869978985763379,0.959926,ok
dwt_cD4_entropy,dwt,7536,7234,0.7581759836697368,0.5748308222135731,0.959926,ok
dwt_cD3_entropy,dwt,7536,7234,1.002712054893294,1.0054314650283322,0.959926,ok
dwt_cD2_entropy,dwt,7536,7234,1.1406708804634154,1.3011300575371831,0.959926,ok
dwt_cD1_entropy,dwt,7536,7234,1.2438356956825773,1.5471272378541612,0.959926,ok
dwt_cA5_mean_abs,dwt,7536,7235,0.6846682882818913,0.468770664978855,0.960058,ok
dwt_cD5_mean_abs,dwt,7536,7235,0.5587173919395392,0.3121651240557206,0.960058,ok
dwt_cD4_mean_abs,dwt,7536,7235,0.2973401886089763,0.08841118776202161,0.960058,ok
dwt_cD3_mean_abs,dwt,7536,7235,0.22253150260556148,0.049520269651889014,0.960058,ok
dwt_cD2_mean_abs,dwt,7536,7235,0.14727762971289235,0.021690700213847832,0.960058,ok
dwt_cD1_mean_abs,dwt,7536,7235,0.030778318395296364,0.0009473048832422385,0.960058,ok
env_mean,envelope,7536,7235,0.16431916600970817,0.02700078831812603,0.960058,ok
env_std,envelope,7536,7235,0.12972247833705255,0.01682792138590707,0.960058,ok
env_skew,envelope,7536,7235,2.4189300463623105,5.85122256919437,0.960058,ok
env_kurtosis,envelope,7536,7235,49.46339310812554,2446.627257768961,0.960058,ok
env_peak_rate,envelope,7536,5931,0.38293016067883534,0.14663550795751865,0.787022,ok
