exp_id,model_id,task,repeat,fold,fold_label,n_train,n_test,n_features,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,mcc,roc_auc,pr_auc,tp,fp,tn,fn,support,n_positive,n_negative,brier,ece,fit_seconds,predict_seconds,planner_inner_scores,planner_search_seconds,planner_tuning,params,note
EXP-A2,M6,binary,4,0,r4f0,2585,655,138,0.8534351145038168,0.8342613056783408,0.8014705882352942,0.8670520231213873,0.6123595505617978,0.6942675159235668,0.6095369581093122,0.9130964524538139,0.6931711630710039,109.0,69.0,450.0,27.0,655.0,136.0,519.0,0.20196782606475971,0.05709734825296624,33.618279,0.716112,"{""M3"": 0.802569, ""M4"": 0.85933, ""M5"": 0.854085}",946.74,nested-bayes,"{""members"": {""M3"": {""C"": 9.643857615941439, ""class_weight"": ""balanced"", ""gamma"": 0.016949768237884747}, ""M4"": {""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": 0.3, ""min_samples_leaf"": 7, ""n_estimators"": 534}, ""M5"": {""learning_rate"": 0.0173579720185871, ""max_depth"": 4, ""min_samples_leaf"": 13, ""n_estimators"": 170, ""subsample"": 0.6571467271687763}}}","bayes search inside this training fold, per member"
EXP-A2,M6,binary,4,1,r4f1,2596,644,138,0.8881987577639752,0.8672975908813595,0.8320610687022901,0.9025341130604289,0.6855345911949685,0.7517241379310344,0.6857613027337179,0.9565793193756231,0.8306144871200435,109.0,50.0,463.0,22.0,644.0,131.0,513.0,0.1618513123898204,0.12443160322208008,89.38328,0.904242,"{""M3"": 0.787755, ""M4"": 0.838125, ""M5"": 0.836032}",824.18,nested-bayes,"{""members"": {""M3"": {""C"": 940.2739219882317, ""class_weight"": null, ""gamma"": 0.02632552295899838}, ""M4"": {""class_weight"": ""balanced"", ""max_depth"": 5, ""max_features"": 0.5, ""min_samples_leaf"": 4, ""n_estimators"": 848}, ""M5"": {""learning_rate"": 0.036614797115554064, ""max_depth"": 2, ""min_samples_leaf"": 19, ""n_estimators"": 799, ""subsample"": 0.954711345954176}}}","bayes search inside this training fold, per member"
EXP-A2,M6,binary,4,2,r4f2,2593,647,138,0.874806800618238,0.8565681082671375,0.8257575757575758,0.887378640776699,0.6526946107784432,0.7290969899665551,0.6567260120531616,0.9450867902324214,0.8190375179228789,109.0,58.0,457.0,23.0,647.0,132.0,515.0,0.15628941326534868,0.07710375708316754,40.036227,0.822976,"{""M3"": 0.797571, ""M4"": 0.852156, ""M5"": 0.852169}",771.49,nested-bayes,"{""members"": {""M3"": {""C"": 9.643857615941439, ""class_weight"": ""balanced"", ""gamma"": 0.016949768237884747}, ""M4"": {""class_weight"": ""balanced_subsample"", ""max_depth"": 30, ""max_features"": 0.5, ""min_samples_leaf"": 6, ""n_estimators"": 614}, ""M5"": {""learning_rate"": 0.017842583543290262, ""max_depth"": 3, ""min_samples_leaf"": 10, ""n_estimators"": 192, ""subsample"": 0.8412516425971764}}}","bayes search inside this training fold, per member"
EXP-A2,M6,binary,4,3,r4f3,2589,651,138,0.8540706605222734,0.8669250645994832,0.8888888888888888,0.8449612403100775,0.6,0.7164179104477612,0.6449051444083702,0.9444731553258685,0.7940977557030979,120.0,80.0,436.0,15.0,651.0,135.0,516.0,0.16594154072486858,0.08078578120126048,164.616615,0.979618,"{""M3"": 0.776746, ""M4"": 0.84096, ""M5"": 0.842603}",804.33,nested-bayes,"{""members"": {""M3"": {""C"": 860.959645077667, ""class_weight"": ""balanced"", ""gamma"": 0.021881539995640433}, ""M4"": {""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": 0.3, ""min_samples_leaf"": 8, ""n_estimators"": 817}, ""M5"": {""learning_rate"": 0.0031266912307463765, ""max_depth"": 7, ""min_samples_leaf"": 9, ""n_estimators"": 658, ""subsample"": 0.8387400631785948}}}","bayes search inside this training fold, per member"
EXP-A2,M6,binary,4,4,r4f4,2597,643,138,0.8506998444790047,0.8409246779580153,0.8244274809160306,0.857421875,0.5966850828729282,0.6923076923076923,0.6106590358673835,0.9275405534351144,0.7151684643389334,108.0,73.0,439.0,23.0,643.0,131.0,512.0,0.1721098236764032,0.05503593268795251,146.879654,0.555712,"{""M3"": 0.802829, ""M4"": 0.850795, ""M5"": 0.833694}",915.41,nested-bayes,"{""members"": {""M3"": {""C"": 9.643857615941439, ""class_weight"": ""balanced"", ""gamma"": 0.016949768237884747}, ""M4"": {""class_weight"": null, ""max_depth"": 20, ""max_features"": ""sqrt"", ""min_samples_leaf"": 9, ""n_estimators"": 151}, ""M5"": {""learning_rate"": 0.0031266912307463765, ""max_depth"": 7, ""min_samples_leaf"": 9, ""n_estimators"": 658, ""subsample"": 0.8387400631785948}}}","bayes search inside this training fold, per member"
EXP-A2,M7,binary,0,0,r0f0,2593,647,138,0.8238021638330757,0.8273462783171521,0.8333333333333334,0.8213592233009709,0.5445544554455446,0.6586826347305389,0.5693407816392811,0.9063842306560753,0.622453155846193,110.0,92.0,423.0,22.0,647.0,132.0,515.0,0.20535083840638801,0.04246886497180977,120.291026,1.018007,"{""M3"": 0.804118, ""M4"": 0.846413, ""M5"": 0.843029}",1164.17,nested-bayes,"{""members"": {""M3"": {""C"": 9.643857615941439, ""class_weight"": ""balanced"", ""gamma"": 0.016949768237884747}, ""M4"": {""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": 0.3, ""min_samples_leaf"": 8, ""n_estimators"": 817}, ""M5"": {""learning_rate"": 0.09323453822421686, ""max_depth"": 7, ""min_samples_leaf"": 4, ""n_estimators"": 499, ""subsample"": 0.634483377656865}}}","bayes search inside this training fold, per member"
EXP-A2,M7,binary,0,1,r0f1,2589,651,138,0.8325652841781874,0.8392996333612402,0.8507462686567164,0.8278529980657641,0.5615763546798029,0.6765578635014837,0.5922758583404009,0.9463899073298883,0.8357176060402108,114.0,89.0,428.0,20.0,651.0,134.0,517.0,0.15019009663169966,0.0883923143499804,173.910367,1.224154,"{""M3"": 0.786883, ""M4"": 0.851458, ""M5"": 0.844001}",927.54,nested-bayes,"{""members"": {""M3"": {""C"": 1.9780827689353788, ""class_weight"": ""balanced"", ""gamma"": 0.004661686413912771}, ""M4"": {""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": 0.3, ""min_samples_leaf"": 8, ""n_estimators"": 817}, ""M5"": {""learning_rate"": 0.0031266912307463765, ""max_depth"": 7, ""min_samples_leaf"": 9, ""n_estimators"": 658, ""subsample"": 0.8387400631785948}}}","bayes search inside this training fold, per member"
EXP-A2,M7,binary,0,2,r0f2,2596,644,138,0.8928571428571429,0.8531687573471423,0.7862595419847328,0.9200779727095516,0.7152777777777778,0.7490909090909091,0.6824021007065602,0.9520854723747453,0.840075899926861,103.0,41.0,472.0,28.0,644.0,131.0,513.0,0.1558088943147777,0.05406931814119883,121.430669,0.986659,"{""M3"": 0.802988, ""M4"": 0.856487, ""M5"": 0.854534}",815.09,nested-bayes,"{""members"": {""M3"": {""C"": 9.643857615941439, ""class_weight"": ""balanced"", ""gamma"": 0.016949768237884747}, ""M4"": {""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": 0.3, ""min_samples_leaf"": 8, ""n_estimators"": 817}, ""M5"": {""learning_rate"": 0.015982313333397728, ""max_depth"": 4, ""min_samples_leaf"": 12, ""n_estimators"": 680, ""subsample"": 0.8202412691633745}}}","bayes search inside this training fold, per member"
EXP-A2,M7,binary,0,3,r0f3,2585,655,138,0.8778625954198473,0.8529859369275428,0.8102189781021898,0.8957528957528957,0.6727272727272727,0.7350993377483444,0.6614127313853184,0.9428881436180707,0.842122349494617,111.0,54.0,464.0,26.0,655.0,137.0,518.0,0.1668813045111697,0.10146257767203064,37.351719,0.660739,"{""M3"": 0.793136, ""M4"": 0.850279, ""M5"": 0.833885}",826.96,nested-bayes,"{""members"": {""M3"": {""C"": 1.9780827689353788, ""class_weight"": ""balanced"", ""gamma"": 0.004661686413912771}, ""M4"": {""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": 0.3, ""min_samples_leaf"": 9, ""n_estimators"": 273}, ""M5"": {""learning_rate"": 0.0173579720185871, ""max_depth"": 4, ""min_samples_leaf"": 13, ""n_estimators"": 170, ""subsample"": 0.6571467271687763}}}","bayes search inside this training fold, per member"
EXP-A2,M7,binary,0,4,r0f4,2597,643,138,0.8538102643856921,0.8940019680343512,0.9618320610687023,0.826171875,0.586046511627907,0.7283236994219653,0.6727564971246109,0.9471165314885496,0.7081749921027308,126.0,89.0,423.0,5.0,643.0,131.0,512.0,0.16250656374720848,0.08875878176733604,52.596407,1.041201,"{""M3"": 0.781056, ""M4"": 0.83633, ""M5"": 0.828707}",800.23,nested-bayes,"{""members"": {""M3"": {""C"": 9.643857615941439, ""class_weight"": ""balanced"", ""gamma"": 0.016949768237884747}, ""M4"": {""class_weight"": ""balanced_subsample"", ""max_depth"": null, ""max_features"": 0.3, ""min_samples_leaf"": 8, ""n_estimators"": 943}, ""M5"": {""learning_rate"": 0.0173579720185871, ""max_depth"": 4, ""min_samples_leaf"": 13, ""n_estimators"": 170, ""subsample"": 0.6571467271687763}}}","bayes search inside this training fold, per member"
