model_id,kind,x,mean,sd,n_folds
M7,roc,0.49,1.0,0.0,25
M7,roc,0.5,1.0,0.0,25
M7,roc,0.51,1.0,0.0,25
M7,roc,0.52,1.0,0.0,25
M7,roc,0.53,1.0,0.0,25
M7,roc,0.54,1.0,0.0,25
M7,roc,0.55,1.0,0.0,25
M7,roc,0.56,1.0,0.0,25
M7,roc,0.57,1.0,0.0,25
M7,roc,0.58,1.0,0.0,25
M7,roc,0.59,1.0,0.0,25
M7,roc,0.6,1.0,0.0,25
M7,roc,0.61,1.0,0.0,25
M7,roc,0.62,1.0,0.0,25
M7,roc,0.63,1.0,0.0,25
M7,roc,0.64,1.0,0.0,25
M7,roc,0.65,1.0,0.0,25
M7,roc,0.66,1.0,0.0,25
M7,roc,0.67,1.0,0.0,25
M7,roc,0.68,1.0,0.0,25
M7,roc,0.69,1.0,0.0,25
M7,roc,0.7,1.0,0.0,25
M7,roc,0.71,1.0,0.0,25
M7,roc,0.72,1.0,0.0,25
M7,roc,0.73,1.0,0.0,25
M7,roc,0.74,1.0,0.0,25
M7,roc,0.75,1.0,0.0,25
M7,roc,0.76,1.0,0.0,25
M7,roc,0.77,1.0,0.0,25
M7,roc,0.78,1.0,0.0,25
M7,roc,0.79,1.0,0.0,25
M7,roc,0.8,1.0,0.0,25
M7,roc,0.81,1.0,0.0,25
M7,roc,0.82,1.0,0.0,25
M7,roc,0.83,1.0,0.0,25
M7,roc,0.84,1.0,0.0,25
M7,roc,0.85,1.0,0.0,25
M7,roc,0.86,1.0,0.0,25
M7,roc,0.87,1.0,0.0,25
M7,roc,0.88,1.0,0.0,25
M7,roc,0.89,1.0,0.0,25
M7,roc,0.9,1.0,0.0,25
M7,roc,0.91,1.0,0.0,25
M7,roc,0.92,1.0,0.0,25
M7,roc,0.93,1.0,0.0,25
M7,roc,0.94,1.0,0.0,25
M7,roc,0.95,1.0,0.0,25
M7,roc,0.96,1.0,0.0,25
M7,roc,0.97,1.0,0.0,25
M7,roc,0.98,1.0,0.0,25
M7,roc,0.99,1.0,0.0,25
M7,roc,1.0,1.0,0.0,25
M7,pr,0.0,0.76,0.43589,25
M7,pr,0.01,0.821927,0.252506,25
M7,pr,0.02,0.806987,0.201507,25
M7,pr,0.03,0.82313,0.173531,25
M7,pr,0.04,0.830989,0.155611,25
M7,pr,0.05,0.833717,0.133805,25
M7,pr,0.06,0.824408,0.137373,25
M7,pr,0.07,0.82581,0.131223,25
M7,pr,0.08,0.830838,0.123645,25
M7,pr,0.09,0.82635,0.114674,25
M7,pr,0.1,0.834597,0.109812,25
M7,pr,0.11,0.833274,0.104202,25
M7,pr,0.12,0.835522,0.106545,25
M7,pr,0.13,0.836825,0.103676,25
M7,pr,0.14,0.832205,0.111837,25
M7,pr,0.15,0.83398,0.104946,25
M7,pr,0.16,0.838857,0.101217,25
M7,pr,0.17,0.839947,0.100949,25
M7,pr,0.18,0.8417,0.102949,25
M7,pr,0.19,0.839327,0.101153,25
M7,pr,0.2,0.837082,0.104439,25
M7,pr,0.21,0.837485,0.103733,25
M7,pr,0.22,0.83752,0.103217,25
M7,pr,0.23,0.836374,0.099241,25
M7,pr,0.24,0.835152,0.101717,25
M7,pr,0.25,0.834777,0.103755,25
M7,pr,0.26,0.83451,0.105527,25
M7,pr,0.27,0.828711,0.10441,25
M7,pr,0.28,0.827851,0.105683,25
M7,pr,0.29,0.830344,0.102787,25
M7,pr,0.3,0.828673,0.101719,25
M7,pr,0.31,0.828013,0.101617,25
M7,pr,0.32,0.826779,0.098188,25
M7,pr,0.33,0.825099,0.100808,25
M7,pr,0.34,0.825963,0.100303,25
M7,pr,0.35,0.823779,0.101361,25
M7,pr,0.36,0.821821,0.100983,25
M7,pr,0.37,0.821359,0.101275,25
M7,pr,0.38,0.821242,0.102658,25
