method,outer_fold,objective,score,threshold,sensitivity,specificity,weights_sum,n_candidates,n_iterations,moved_from_start,seconds,w_M3,w_M4,w_M5
equal,r1f0,balanced_accuracy,0.864411464689703,0.31650744985036955,0.8836772983114447,0.8451456310679611,1.0,1,0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
grid,r1f0,balanced_accuracy,0.864411464689703,0.31650744985036955,0.8836772983114447,0.8451456310679611,1.0,232,0,0.0,8.916847000014968,0.3333333333333333,0.3333333333333333,0.3333333333333333
slsqp,r1f0,balanced_accuracy,0.864411464689703,0.31650744985036955,0.8836772983114447,0.8451456310679611,1.0,4,1,0.0,0.2950766999856569,0.3333333333333333,0.3333333333333333,0.3333333333333333
slsqp_logloss,r1f0,balanced_accuracy,0.8633945973515,0.3299696599412161,0.8724202626641651,0.8543689320388349,1.0,37,9,0.23291664114998437,0.07549170003039762,0.15600704469302087,0.362484954566908,0.48150800074007116
equal,r1f1,balanced_accuracy,0.8541637551212551,0.4055199659370903,0.8279773156899811,0.8803501945525292,1.0,1,0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
grid,r1f1,balanced_accuracy,0.8541637551212551,0.4055199659370903,0.8279773156899811,0.8803501945525292,1.0,232,0,0.0,9.261722000024747,0.3333333333333333,0.3333333333333333,0.3333333333333333
slsqp,r1f1,balanced_accuracy,0.8541637551212551,0.4055199659370903,0.8279773156899811,0.8803501945525292,1.0,4,1,0.0,0.18780039995908737,0.3333333333333333,0.3333333333333333,0.3333333333333333
slsqp_logloss,r1f1,balanced_accuracy,0.850240064581142,0.36335708025695457,0.8468809073724007,0.8535992217898832,1.0,48,12,0.3750081163949739,0.057134300004690886,0.02804243262920051,0.5063170024249458,0.4656405649458537
equal,r1f2,balanced_accuracy,0.8569967705256887,0.347665907629508,0.8614232209737828,0.8525703200775946,1.0,1,0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
grid,r1f2,balanced_accuracy,0.8569967705256887,0.347665907629508,0.8614232209737828,0.8525703200775946,1.0,232,0,0.0,8.896955600008368,0.3333333333333333,0.3333333333333333,0.3333333333333333
slsqp,r1f2,balanced_accuracy,0.8569967705256887,0.347665907629508,0.8614232209737828,0.8525703200775946,1.0,4,1,0.0,0.17897430004086345,0.3333333333333333,0.3333333333333333,0.3333333333333333
slsqp_logloss,r1f2,balanced_accuracy,0.8521135074851877,0.30645704086841086,0.8632958801498127,0.8409311348205626,1.0,52,13,0.3751149153664842,0.05708070000400767,0.07256506192789694,0.32459331104626243,0.6028416270258407
equal,r1f3,balanced_accuracy,0.8634838307659882,0.3364606295405327,0.8716981132075472,0.8552695483244294,1.0,1,0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
grid,r1f3,balanced_accuracy,0.8634838307659882,0.3364606295405327,0.8716981132075472,0.8552695483244294,1.0,232,0,0.0,9.272448799980339,0.3333333333333333,0.3333333333333333,0.3333333333333333
slsqp,r1f3,balanced_accuracy,0.8634838307659882,0.3364606295405327,0.8716981132075472,0.8552695483244294,1.0,4,1,0.0,0.19057830004021525,0.3333333333333333,0.3333333333333333,0.3333333333333333
slsqp_logloss,r1f3,balanced_accuracy,0.8604598312058427,0.20898095869492095,0.9283018867924528,0.7926177756192326,1.0,40,10,0.28391003735971426,0.05057500000111759,0.2594679755681725,0.17997574355126092,0.5605562808805666
equal,r1f4,balanced_accuracy,0.8423580437201923,0.30759036827270114,0.8689138576779026,0.8158022297624818,1.0,1,0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
grid,r1f4,balanced_accuracy,0.8423580437201923,0.30759036827270114,0.8689138576779026,0.8158022297624818,1.0,232,0,0.0,8.833187300013378,0.3333333333333333,0.3333333333333333,0.3333333333333333
slsqp,r1f4,balanced_accuracy,0.8423580437201923,0.30759036827270114,0.8689138576779026,0.8158022297624818,1.0,4,1,0.0,0.18600270000752062,0.3333333333333333,0.3333333333333333,0.3333333333333333
slsqp_logloss,r1f4,balanced_accuracy,0.8414217141321773,0.29775932718631637,0.8670411985018727,0.8158022297624818,1.0,40,10,0.30703547014068117,0.05629519996000454,0.08688527714743659,0.41677160186460716,0.49634312098795624
equal,r2f0,balanced_accuracy,0.8714494854274059,0.41667070466745487,0.8127340823970037,0.930164888457808,1.0,1,0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
grid,r2f0,balanced_accuracy,0.8714494854274059,0.41667070466745487,0.8127340823970037,0.930164888457808,1.0,232,0,0.0,8.769446999998763,0.3333333333333333,0.3333333333333333,0.3333333333333333
slsqp,r2f0,balanced_accuracy,0.8714494854274059,0.41667070466745487,0.8127340823970037,0.930164888457808,1.0,4,1,0.0,0.18414809997193515,0.3333333333333333,0.3333333333333333,0.3333333333333333
slsqp_logloss,r2f0,balanced_accuracy,0.8698601772033261,0.4003911462941425,0.8202247191011236,0.9194956353055286,1.0,44,11,0.44899246730760206,0.05178939999314025,0.08967699607529168,0.21794681052234108,0.6923761934023673
equal,r2f1,balanced_accuracy,0.8646634602186314,0.34566179192673463,0.879472693032015,0.8498542274052479,1.0,1,0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
grid,r2f1,balanced_accuracy,0.8646634602186314,0.34566179192673463,0.879472693032015,0.8498542274052479,1.0,232,0,0.0,9.64443470002152,0.3333333333333333,0.3333333333333333,0.3333333333333333
slsqp,r2f1,balanced_accuracy,0.8646634602186314,0.34566179192673463,0.879472693032015,0.8498542274052479,1.0,4,1,0.0,0.18014409998431802,0.3333333333333333,0.3333333333333333,0.3333333333333333
slsqp_logloss,r2f1,balanced_accuracy,0.8618989968868903,0.3375428643514711,0.8700564971751412,0.8537414965986394,1.0,52,13,0.4074602067354878,0.05416020000120625,0.13624296269283837,0.1997612004994684,0.6639958368076933
equal,r2f2,balanced_accuracy,0.8580862096904878,0.2661087492885423,0.9242424242424242,0.7919299951385513,1.0,1,0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
grid,r2f2,balanced_accuracy,0.8580862096904878,0.2661087492885423,0.9242424242424242,0.7919299951385513,1.0,232,0,0.0,8.51711230003275,0.3333333333333333,0.3333333333333333,0.3333333333333333
slsqp,r2f2,balanced_accuracy,0.8580862096904878,0.2661087492885423,0.9242424242424242,0.7919299951385513,1.0,4,1,0.0,0.18072409997694194,0.3333333333333333,0.3333333333333333,0.3333333333333333
slsqp_logloss,r2f2,balanced_accuracy,0.8568202074218116,0.23644099359026205,0.928030303030303,0.7856101118133204,1.0,40,10,0.350031993135287,0.048495099996216595,0.053550579789702506,0.4227033658654244,0.5237460543448732
equal,r2f3,balanced_accuracy,0.8416413862216583,0.2730998599565838,0.8820224719101124,0.8012603005332041,1.0,1,0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
grid,r2f3,balanced_accuracy,0.8445951588628611,0.3226131650143297,0.8520599250936329,0.8371303926320892,1.0,232,0,0.16329931618554522,8.236102599999867,0.2,0.4,0.4
slsqp,r2f3,balanced_accuracy,0.8416413862216583,0.2730998599565838,0.8820224719101124,0.8012603005332041,1.0,4,1,0.0,0.1771496000001207,0.3333333333333333,0.3333333333333333,0.3333333333333333
slsqp_logloss,r2f3,balanced_accuracy,0.8442411418591521,0.2625324471822013,0.8857677902621723,0.8027144934561319,1.0,48,12,0.34997813672732125,0.0488488000119105,0.0483532992197587,0.4940478726344252,0.45759882814581615
equal,r2f4,balanced_accuracy,0.8465290806754222,0.27329078021839726,0.8930581613508443,0.8,1.0,1,0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
