arm_id,repeat,fold,n_train,n_test,sensitivity,specificity,f1,balanced_accuracy,roc_auc,accuracy
PP-B,1,1,2585,655,0.9044117647058824,0.8554913294797688,0.7365269461077845,0.8799515470928256,0.9349994332993313,0.8656488549618321
PP-B,1,2,2596,644,0.8473282442748091,0.8869395711500975,0.74,0.8671339077124534,0.9466690475127599,0.8788819875776398
PP-B,1,3,2589,651,0.8296296296296296,0.8255813953488372,0.6646884272997032,0.8276055124892334,0.9118719494688488,0.82642089093702
PP-B,1,4,2597,643,0.9083969465648855,0.841796875,0.7190332326283988,0.8750969107824427,0.939468034351145,0.8553654743390358
PP-B,2,0,2596,644,0.816793893129771,0.8070175438596491,0.6350148367952523,0.81190571849471,0.9145573858309897,0.8090062111801242
PP-B,2,1,2589,651,0.8507462686567164,0.8452611218568665,0.6951219512195121,0.8480036952567915,0.9308871503218914,0.8463901689708141
PP-B,2,2,2585,655,0.8248175182481752,0.8745173745173745,0.7174603174603175,0.8496674463827749,0.9303892004621931,0.8641221374045801
PP-B,2,3,2597,643,0.9236641221374046,0.83203125,0.7159763313609467,0.8778476860687023,0.9303882395038168,0.8506998444790047
PP-B,2,4,2593,647,0.8257575757575758,0.8466019417475729,0.68125,0.8361797587525743,0.9094439541041482,0.8423493044822257
PP-B,3,0,2596,644,0.7786259541984732,0.8148148148148148,0.6219512195121951,0.796720384506644,0.9025936342127583,0.8074534161490683
PP-B,3,1,2593,647,0.8712121212121212,0.8660194174757282,0.7278481012658228,0.8686157693439247,0.9418505442777287,0.8670788253477589
PP-B,3,2,2585,655,0.9191176470588235,0.8323699421965318,0.7183908045977011,0.8757437946276776,0.9433866031961918,0.850381679389313
PP-B,3,3,2589,651,0.8592592592592593,0.8662790697674418,0.725,0.8627691645133506,0.9234998564455928,0.8648233486943164
PP-B,3,4,2597,643,0.7862595419847328,0.853515625,0.6666666666666666,0.8198875834923665,0.9148377862595419,0.8398133748055988
PP-B,4,0,2585,655,0.8823529411764706,0.7976878612716763,0.6648199445983379,0.8400204012240735,0.9096962484415733,0.815267175572519
PP-B,4,1,2596,644,0.816793893129771,0.8538011695906432,0.6837060702875399,0.8352975313602071,0.9239617278990522,0.8462732919254659
