model_id,kind,feature,importance,scoring,n_repeats,n_scored_rows,computed_on,rank,importance_std
M4,impurity,chroma_04_mean,0.003465620737975866,mean decrease in impurity,0,0,train,90,
M4,impurity,time_skewness,0.003443178662773383,mean decrease in impurity,0,0,train,91,
M4,impurity,freq_rolloff95_std,0.003439437086679781,mean decrease in impurity,0,0,train,92,
M4,impurity,mfcc_07_std,0.0034365377071033858,mean decrease in impurity,0,0,train,93,
M4,impurity,chroma_10_mean,0.0034345211185860553,mean decrease in impurity,0,0,train,94,
M4,impurity,freq_peak_power,0.0033836625454542173,mean decrease in impurity,0,0,train,95,
M4,impurity,time_median,0.0033677663829634165,mean decrease in impurity,0,0,train,96,
M4,impurity,env_kurtosis,0.003339936658941088,mean decrease in impurity,0,0,train,97,
M4,impurity,mfcc_13_delta_mean,0.003330722623403055,mean decrease in impurity,0,0,train,98,
M4,impurity,mfcc_09_std,0.0033282923602443695,mean decrease in impurity,0,0,train,99,
M4,impurity,mfcc_03_std,0.003320401088904016,mean decrease in impurity,0,0,train,100,
M4,impurity,mfcc_13_std,0.0032645000381235846,mean decrease in impurity,0,0,train,101,
M4,impurity,dwt_cD5_entropy,0.0032344312474447585,mean decrease in impurity,0,0,train,102,
M4,impurity,chroma_09_mean,0.003218715753096237,mean decrease in impurity,0,0,train,103,
M4,impurity,dwt_cD4_entropy,0.003216350454313674,mean decrease in impurity,0,0,train,104,
M4,impurity,mfcc_10_delta_mean,0.0031795652526756825,mean decrease in impurity,0,0,train,105,
M4,impurity,freq_flatness_mean,0.0031767554035316966,mean decrease in impurity,0,0,train,106,
M4,impurity,freq_flatness_std,0.0031722197029439045,mean decrease in impurity,0,0,train,107,
M4,impurity,mfcc_12_std,0.0031717910350318374,mean decrease in impurity,0,0,train,108,
M4,impurity,chroma_01_std,0.0031399338442293675,mean decrease in impurity,0,0,train,109,
M4,impurity,mfcc_04_delta_mean,0.003107196505008343,mean decrease in impurity,0,0,train,110,
M4,impurity,freq_bandwidth_std,0.0031067027243423407,mean decrease in impurity,0,0,train,111,
M4,impurity,chroma_04_std,0.003080243955035807,mean decrease in impurity,0,0,train,112,
M4,impurity,time_min,0.003007450442518446,mean decrease in impurity,0,0,train,113,
M4,impurity,chroma_12_std,0.0029353137568721736,mean decrease in impurity,0,0,train,114,
M4,impurity,mfcc_02_std,0.0029190514501749817,mean decrease in impurity,0,0,train,115,
M4,impurity,chroma_08_mean,0.002890162887608913,mean decrease in impurity,0,0,train,116,
M4,impurity,time_kurtosis,0.0028493013338018545,mean decrease in impurity,0,0,train,117,
M4,impurity,mfcc_12_delta_mean,0.0028485482062471255,mean decrease in impurity,0,0,train,118,
M4,impurity,chroma_05_mean,0.0027947677088439415,mean decrease in impurity,0,0,train,119,
M4,impurity,freq_dominant,0.0027846152080587138,mean decrease in impurity,0,0,train,120,
M4,impurity,chroma_10_std,0.0027834294426335006,mean decrease in impurity,0,0,train,121,
M4,impurity,mfcc_08_delta_mean,0.0027623390857053325,mean decrease in impurity,0,0,train,122,
M4,impurity,mfcc_03_delta_mean,0.002760591067054511,mean decrease in impurity,0,0,train,123,
M4,impurity,chroma_02_std,0.0027525263975965476,mean decrease in impurity,0,0,train,124,
M4,impurity,chroma_03_std,0.0027106079389125023,mean decrease in impurity,0,0,train,125,
M4,impurity,mfcc_11_delta_mean,0.0026704645501664007,mean decrease in impurity,0,0,train,126,
M4,impurity,time_shannon_entropy,0.002664513606796652,mean decrease in impurity,0,0,train,127,
M4,impurity,chroma_11_std,0.0026420321902068883,mean decrease in impurity,0,0,train,128,
