run,task,model_id,location,n_records_corpus,reported,n_folds,n_units_mean,sensitivity_mean,sensitivity_sd,specificity_mean,specificity_sd,balanced_accuracy_mean,balanced_accuracy_sd,macro_f1_mean,macro_f1_sd,accuracy_mean,accuracy_sd,exclusion_reason
EXP-C1-two_class,circor_murmur,M7,AV,755,True,5,151.0,0.5714293659621802,0.10374218105174844,0.8093219090098728,0.06814863466984955,0.6903756374860264,0.0443439890125208,,,0.7618709376422068,0.047184170314353506,
EXP-C1-two_class,circor_murmur,M7,MV,809,True,5,161.8,0.48995670995671,0.08972032489401356,0.831719047997457,0.049906543409768384,0.6608378789770836,0.0525871686601034,,,0.7585652971090374,0.046992963939743504,
EXP-C1-two_class,circor_murmur,M7,PV,733,True,5,146.6,0.6253030115766489,0.05487896678111539,0.8657370186356228,0.06521469977579401,0.745520015106136,0.04497513495144451,,,0.8175628968732417,0.05353401719303379,
EXP-C1-two_class,circor_murmur,M7,Phc,4,False,3,1.3333333333333333,0.6666666666666666,0.5773502691896258,1.0,,0.8333333333333334,0.28867513459481287,,,1.0,0.0,"excluded: 4 recording(s) in the whole corpus, under one per fold -- a single record moves any rate by up to 1.0, so this is arithmetic noise, not a weak estimate"
EXP-C1-two_class,circor_murmur,M7,TV,706,True,5,141.2,0.5029556650246306,0.10200732299936777,0.8760123043221402,0.058017155708403885,0.6894839846733853,0.027496775551858015,,,0.8005797576545746,0.028954632468654214,
EXP-C2,circor_outcome,M3,AV,800,True,5,160.0,0.5066917859237072,0.049809452309270405,0.7043709054027666,0.05327616473642321,0.605531345663237,0.03878709954472769,,,0.6054272541924923,0.039839572986276134,
EXP-C2,circor_outcome,M3,MV,861,True,5,172.2,0.49103463308109524,0.06820964612965898,0.7141896652047459,0.04016405247823678,0.6026121491429206,0.026240331732064377,,,0.6019303331929684,0.02410121899905867,
EXP-C2,circor_outcome,M3,PV,766,True,5,153.2,0.44365671641791044,0.08729983838014269,0.7568106809506883,0.047139127448063166,0.6002336986842993,0.03463585723969049,,,0.6121662156481884,0.03244402125722568,
EXP-C2,circor_outcome,M3,Phc,4,False,2,2.0,0.6666666666666666,0.4714045207910317,,,0.6666666666666666,0.4714045207910317,,,0.6666666666666666,0.4714045207910317,"excluded: 4 recording(s) in the whole corpus, under one per fold -- a single record moves any rate by up to 1.0, so this is arithmetic noise, not a weak estimate"
EXP-C2,circor_outcome,M3,TV,732,True,5,146.4,0.31557210460138274,0.08590289067906962,0.8619047985103947,0.04582392117365938,0.5887384515558888,0.045918718329373144,,,0.6093445060902607,0.044895053076365196,
EXP-C2,circor_outcome,M4,AV,800,True,5,160.0,0.5215794624320512,0.06734426011433198,0.6590356323909119,0.03624858715455494,0.5903075474114816,0.023769078610579326,,,0.5900241399186965,0.02390916687677295,
EXP-C2,circor_outcome,M4,MV,861,True,5,172.2,0.5484129478990456,0.05855319870539045,0.6903184806600746,0.04510593531659542,0.6193657142795601,0.02225478463768994,,,0.6192865176179714,0.020588411555782733,
EXP-C2,circor_outcome,M4,PV,766,True,5,153.2,0.4577529021558872,0.1073495894894846,0.7186045882595848,0.0650443303274183,0.588178745207736,0.04448015447248899,,,0.5979881519805371,0.042167017338111436,
EXP-C2,circor_outcome,M4,Phc,4,False,2,2.0,0.8333333333333333,0.23570226039551587,,,0.8333333333333333,0.23570226039551587,,,0.8333333333333333,0.23570226039551587,"excluded: 4 recording(s) in the whole corpus, under one per fold -- a single record moves any rate by up to 1.0, so this is arithmetic noise, not a weak estimate"
EXP-C2,circor_outcome,M4,TV,732,True,5,146.4,0.37731095741936677,0.07152944893134605,0.8063619552776782,0.029180408658168566,0.5918364563485226,0.03305898501947732,,,0.6081074359197266,0.030439186103649422,
EXP-C2,circor_outcome,M5,AV,800,True,5,160.0,0.5148400529326931,0.08285689471887193,0.643933420398914,0.03592842364452245,0.5793867366658035,0.033710229047239866,,,0.5790724874610832,0.03341909412824593,
