run,task,model_id,n_bins,n_folds,n_records_total,brier_mean,brier_sd,ece_mean,ece_sd,mean_confidence_mean,argmax_accuracy_mean,confidence_gap_mean,confidence_gap_sd
EXP-B1,pascal_a,M1,10,10,620,0.5194099712477753,0.08453905591836829,0.22834594003222125,0.07493148141111446,0.7846165384576025,0.6629032258064516,0.12171331265115085,0.18626216308487925
EXP-B1,pascal_a,M3,10,10,620,0.4654061495812207,0.02589625832366374,0.18977965095408372,0.04422935259782772,0.5320799721825831,0.6596774193548387,-0.12759744717225566,0.06243248958193802
EXP-B1,pascal_a,M4,10,10,620,0.4047099943561173,0.01977735999649855,0.12419594859157986,0.04033726582557927,0.646129442991909,0.6838709677419356,-0.03774152475002647,0.060377018575918505
EXP-B1,pascal_a,M5,10,10,620,0.4710705374688283,0.11092502583695409,0.1874280640708601,0.09626335296853879,0.7820366233543835,0.6693548387096775,0.11268178464470599,0.13060496457803716
EXP-B1,pascal_a,M6,10,10,620,0.430846173829505,0.009831048069349835,0.1726641579795365,0.04631675881211099,0.5540524344142945,0.6709677419354839,-0.11691530752118932,0.05162737463688121
EXP-B1,pascal_a,M7,10,10,620,0.4302396969173664,0.03355718647459063,0.15940215617530834,0.060731588996464456,0.5754622868466011,0.6725806451612903,-0.09711835831468932,0.10090262591741406
EXP-B2,pascal_b,M1,10,5,461,0.6940384720773226,0.08989661322134607,0.308076982028489,0.06831810706988721,0.8389159942232229,0.5661056568489948,0.27281033737422816,0.05818144303617135
EXP-B2,pascal_b,M3,10,5,461,0.42237390963845334,0.011045227649947345,0.05219646596505367,0.02084613870088417,0.7162709331116349,0.7267180925666199,-0.010447159454985023,0.027015270910952488
EXP-B2,pascal_b,M4,10,5,461,0.5207748607825252,0.003476854351441989,0.10788753272970848,0.03389713168656121,0.5263417961408365,0.6095839177185601,-0.08324212157772369,0.05262412782055491
EXP-B2,pascal_b,M5,10,5,461,0.47288747805646364,0.07297026445790553,0.12339022435072051,0.04289184821282027,0.6932377239167644,0.668419822346891,0.02481790156987331,0.11719490068659258
EXP-B2,pascal_b,M6,10,5,461,0.4174865167095227,0.01624512442564098,0.07697362654623877,0.033408752319697144,0.6730248969835035,0.7462131837307152,-0.07318828674721163,0.03475957413207316
EXP-B2,pascal_b,M7,10,5,461,0.44103972084547605,0.05119392423977621,0.09531025108749128,0.03992453709046904,0.6448532960510543,0.7161056568489949,-0.07125236079794053,0.06146421463243476
EXP-C1-three_class,circor_murmur,M3,10,5,3163,0.3362782114201964,0.019537015035515963,0.035650159373218485,0.003914239240845084,0.7749997740799526,0.7941848141260224,-0.01918504004606969,0.02517461278542672
EXP-C1-three_class,circor_murmur,M4,10,5,3163,0.41513390415611157,0.016743731970383587,0.14481166257561853,0.03985394412774772,0.6018722173897114,0.7436013958045875,-0.14172917841487606,0.04450751392454025
EXP-C1-three_class,circor_murmur,M5,10,5,3163,0.405478460201188,0.04240264420061515,0.10011290364828214,0.025825351037828796,0.632912171633093,0.7293928849961006,-0.09648071336300756,0.028145271608261743
EXP-C1-three_class,circor_murmur,M6,10,5,3163,0.3266204075232536,0.01735239093244083,0.06928081569621329,0.03642551416618577,0.7428113077391261,0.7979812826204332,-0.05516997488130708,0.052208469811697786
EXP-C1-three_class,circor_murmur,M7,10,5,3163,0.36333400082159706,0.03263812703464768,0.09333582030511482,0.050739451262135006,0.6984132030787101,0.7736211930329755,-0.07520798995426518,0.07468003297010413
EXP-C1-two_class,circor_murmur,M3,10,5,3007,0.25865052055117344,0.02089973279149164,0.03922010406302762,0.013540497427738617,0.8237386211353916,0.8380517520632832,-0.014313130927891571,0.023911229651392377
EXP-C1-two_class,circor_murmur,M4,10,5,3007,0.2989521458284667,0.021627463288879812,0.10057312009532096,0.03289235812017509,0.725293093729312,0.8187644070513708,-0.09347131332205857,0.04337673110961691
EXP-C1-two_class,circor_murmur,M5,10,5,3007,0.28416145561766776,0.03489220241513507,0.07106071180773918,0.021255060350379936,0.7984825052425688,0.8170927745009701,-0.018610269258401257,0.07606178224732822
EXP-C1-two_class,circor_murmur,M6,10,5,3007,0.2533897552468252,0.022071426762159035,0.053445917792127595,0.017778181715376963,0.8048177766723035,0.8420445437006983,-0.03722676702839467,0.03747249402184776
EXP-C1-two_class,circor_murmur,M7,10,5,3007,0.2533897552468252,0.022071426762159032,0.053445917792127595,0.017778181715376963,0.8048177766723035,0.8420445437006983,-0.03722676702839467,0.03747249402184776
EXP-C2,circor_outcome,M3,10,5,3163,0.4763845258355531,0.008866811110385675,0.04404432206222105,0.02646705912708032,0.5747167426158951,0.6067050612914191,-0.0319883186755241,0.03362075153429422
EXP-C2,circor_outcome,M4,10,5,3163,0.4699019156970885,0.012179568209055962,0.03203805028444642,0.017510071224425158,0.5849274860762204,0.604175915371848,-0.019248429295627534,0.027421755961344406
EXP-C2,circor_outcome,M5,10,5,3163,0.4698277704130119,0.017283687701464396,0.0392762777246215,0.012712265957968637,0.6019920617326793,0.5988071669966205,0.003184894736058741,0.034529305726025375
EXP-C2,circor_outcome,M6,10,5,3163,0.4712630571524139,0.009663577337953085,0.03919489107703374,0.02722717851123421,0.5744029796640409,0.6085977963085167,-0.0341948166444759,0.03256696371992898
EXP-C2,circor_outcome,M7,10,5,3163,0.4712630571524139,0.009663577337953085,0.03919489107703374,0.02722717851123421,0.5744029796640409,0.6085977963085167,-0.03419481664447586,0.032566963719928954
EXP-D1,circor_outcome,M1,10,1,3163,0.7143855929770173,,0.2993725978177996,,0.8298816082509327,0.5305090104331331,0.29937259781779957,
