search,label,family,objective,model_id,step,best_so_far
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M4,14,0.845374
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M4,15,0.845374
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M4,16,0.845374
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M4,17,0.845374
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M4,18,0.845374
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M4,19,0.845374
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M4,20,0.845374
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M4,21,0.845374
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M4,22,0.845374
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M4,23,0.845374
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M4,24,0.845374
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M4,25,0.845374
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M4,26,0.846834
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M4,27,0.846834
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M4,28,0.846834
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M4,29,0.846834
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M4,30,0.846834
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M4,31,0.846834
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M4,32,0.846834
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M4,33,0.846834
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M4,34,0.846834
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M4,35,0.848788
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M4,36,0.848788
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M4,37,0.848788
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M4,38,0.848788
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M4,39,0.848788
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M4,40,0.848788
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M5,1,0.826949
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M5,2,0.833469
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M5,3,0.837505
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M5,4,0.837505
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M5,5,0.837505
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M5,6,0.844525
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M5,7,0.844525
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M5,8,0.844525
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M5,9,0.844525
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M5,10,0.844525
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M5,11,0.844525
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M5,12,0.844525
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M5,13,0.844525
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M5,14,0.844525
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M5,15,0.844525
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M8,1,0.837134
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M8,2,0.838554
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M8,3,0.838554
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M8,4,0.844912
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M8,5,0.844912
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M8,6,0.845428
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M8,7,0.845428
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M8,8,0.845428
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M8,9,0.845428
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M8,10,0.845428
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M8,11,0.845428
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M8,12,0.845428
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M8,13,0.845428
SO-01,SO-01 Randomized,hyperparameter,"balanced accuracy, maximised",M8,14,0.845428
