run,model_id,metric,n_folds,n_folds_defined,mean,sd,min,max
EXP-A1,M6,accuracy,25,25,0.8467898757895366,0.03233741698433885,0.7841614906832298,0.9145962732919256
EXP-A1,M8,sensitivity,25,25,0.7556270092682991,0.0626458769631817,0.6183206106870229,0.8854961832061069
EXP-A1,M8,specificity,25,25,0.9328235751465186,0.028233887853066582,0.8757281553398059,0.9785575048732944
EXP-A1,M8,balanced_accuracy,25,25,0.8442252922074089,0.031085627431688682,0.7804041486243174,0.8968496541030535
EXP-A1,M8,f1,25,25,0.7504310157926309,0.047847925853444606,0.6402877697841727,0.8131868131868132
EXP-A1,M8,roc_auc,25,25,0.9410446008725418,0.01796680807842469,0.8942904334627918,0.9697632546166092
EXP-A1,M8,accuracy,25,25,0.8964713031776675,0.0229334080287399,0.84472049689441,0.9262672811059908
EXP-A2,M1,sensitivity,25,25,0.8648233891627352,0.04460494653301462,0.7803030303030303,0.9485294117647058
EXP-A2,M1,specificity,25,25,0.8287854063424053,0.045804135121286144,0.7001934235976789,0.9005847953216374
EXP-A2,M1,balanced_accuracy,25,25,0.8468043977525701,0.02608848930923994,0.7746175345689909,0.8885004174618321
EXP-A2,M1,f1,25,25,0.6867062637528286,0.044061779338271205,0.5819209039548022,0.7448275862068966
EXP-A2,M1,roc_auc,25,25,0.9212095305753734,0.02090814117346548,0.8803765813474551,0.9469993199591976
EXP-A2,M1,accuracy,25,25,0.8362042167620645,0.03445161852465311,0.7496159754224271,0.8850931677018633
EXP-A2,M3,sensitivity,25,25,0.6671634033396946,0.07400971858128105,0.5190839694656488,0.8244274809160306
EXP-A2,M3,specificity,25,25,0.9324325360291823,0.025543002030395365,0.8757281553398059,0.9649122807017544
EXP-A2,M3,balanced_accuracy,25,25,0.7997979696844384,0.03912697460701983,0.709834382393643,0.8653387404580153
EXP-A2,M3,f1,25,25,0.6916401381161631,0.06067805005402666,0.544,0.7744360902255639
EXP-A2,M3,roc_auc,25,25,0.9220133878251725,0.022066634997185586,0.8759929390997353,0.950336951335878
EXP-A2,M3,accuracy,25,25,0.8780096585505962,0.025163507228212336,0.8229813664596274,0.906687402799378
EXP-A2,M4,sensitivity,25,25,0.8193179675801403,0.061168526288968815,0.6870229007633588,0.931297709923664
EXP-A2,M4,specificity,25,25,0.885401814764395,0.041068772796173145,0.7747572815533981,0.9610136452241717
EXP-A2,M4,balanced_accuracy,25,25,0.8523598911722676,0.03064476067092507,0.7932309569513265,0.906078542461832
EXP-A2,M4,f1,25,25,0.7262687566360942,0.0490114342927491,0.6067415730337079,0.8041237113402062
EXP-A2,M4,roc_auc,25,25,0.9383918924875703,0.021592944961128707,0.8860988526037069,0.9664449503742392
EXP-A2,M4,accuracy,25,25,0.871885023670048,0.03085342943769596,0.7836166924265843,0.9144634525660964
EXP-A2,M5,sensitivity,25,25,0.8130747740507671,0.06686504963863941,0.6793893129770993,0.9338235294117648
EXP-A2,M5,specificity,25,25,0.8812466686490713,0.05381132420531263,0.7726396917148363,0.9688109161793372
EXP-A2,M5,balanced_accuracy,25,25,0.8471607213499192,0.03255377186779101,0.7889894086496028,0.9003086235687023
EXP-A2,M5,f1,25,25,0.7194132578085203,0.056945182642223584,0.6017191977077364,0.8091603053435115
EXP-A2,M5,roc_auc,25,25,0.9363207791154013,0.02229036724285548,0.887422771403354,0.9695698108715384
EXP-A2,M5,accuracy,25,25,0.8672979641393492,0.03881604783981751,0.7851622874806801,0.922360248447205
EXP-A2,M6,sensitivity,25,25,0.8615469513693752,0.06697610760032198,0.7404580152671756,0.9847328244274808
EXP-A2,M6,specificity,25,25,0.8501793885246874,0.053052109708163035,0.7387914230019493,0.9473684210526316
EXP-A2,M6,balanced_accuracy,25,25,0.8558631699470313,0.025101376345751197,0.796876627531509,0.9030593988549618
EXP-A2,M6,f1,25,25,0.7087492616292356,0.04371567021026626,0.5941644562334217,0.7822878228782287
EXP-A2,M6,roc_auc,25,25,0.938400689122729,0.022165881599136576,0.8905854663136217,0.96876627531509
EXP-A2,M6,accuracy,25,25,0.8525353146262159,0.03448544619375559,0.7624223602484472,0.908385093167702
EXP-A2,M7,sensitivity,25,25,0.8615380387134037,0.06695949198682881,0.7404580152671756,0.9847328244274808
EXP-A2,M7,specificity,25,25,0.849638093652173,0.0533866731917882,0.7387914230019493,0.9473684210526316
EXP-A2,M7,balanced_accuracy,25,25,0.8555880661827883,0.025321049299100187,0.796876627531509,0.9030593988549618
EXP-A2,M7,f1,25,25,0.7081994698811109,0.044243817487458134,0.5941644562334217,0.7822878228782287
EXP-A2,M7,roc_auc,25,25,0.9383495147018667,0.022232583950469363,0.8905854663136217,0.96876627531509
EXP-A2,M7,accuracy,25,25,0.8521048133106904,0.03483387971200699,0.7624223602484472,0.908385093167702
EXP-A2,M8,sensitivity,25,25,0.8218651609921878,0.0703008077853119,0.6870229007633588,0.931297709923664
EXP-A2,M8,specificity,25,25,0.8746387865658246,0.050262177639069844,0.8,0.9571150097465888
EXP-A2,M8,balanced_accuracy,25,25,0.8482519737790061,0.02850629120222552,0.7889305536955196,0.8875238549618321
EXP-A2,M8,f1,25,25,0.7153507911364362,0.049582850601157136,0.6257668711656442,0.797153024911032
EXP-A2,M8,roc_auc,25,25,0.9374168268419864,0.020513827541552832,0.8843652813118462,0.965805097986697
EXP-A2,M8,accuracy,25,25,0.8638177500271753,0.03339482784299887,0.8105590062111802,0.9177018633540373
