analysis,run,task,model_id,group,n_records_corpus,reported,n_folds,n_units_mean,median_duration_sec,min_duration_sec,sensitivity_mean,sensitivity_sd,specificity_mean,specificity_sd,balanced_accuracy_mean,balanced_accuracy_sd,roc_auc_mean,roc_auc_sd,macro_f1_mean,macro_f1_sd,accuracy_mean,accuracy_sd
observational_bands,EXP-A2,binary,M8,long,1744,True,25,348.8,29.656,20.001,0.9239788256125573,0.0395551286262377,0.8639932270835018,0.06292438284570172,0.8939860263480296,0.03726226723415239,0.952097796533884,0.025999101988637162,,,0.8794329651296757,0.0486090328132926
observational_bands,EXP-A2,binary,M8,medium,1496,True,25,299.2,12.0475,5.3055,0.6213305136094174,0.1447353192814994,0.8870743466216912,0.05852149234103271,0.7542024301155544,0.06060871996545105,0.8868243015541399,0.03575958120784073,,,0.847107816762403,0.04068218572091367
observational_bands,EXP-B1,pascal_a,M1,medium,116,True,10,58.0,8.97101475,5.749297,,,,,0.6535529339941105,0.06271414249015407,,,0.636868370432188,0.03789662324176426,0.6897461106008739,0.029741680878592098
observational_bands,EXP-B1,pascal_a,M1,short,8,False,10,4.0,2.5728627499999996,0.936372,,,,,0.3236111111111111,0.24880113780455165,,,0.14416666666666667,0.10311880359236615,0.28500000000000003,0.20941570684073563
observational_bands,EXP-B1,pascal_a,M3,medium,116,True,10,58.0,8.97101475,5.749297,,,,,0.6305439291101055,0.07072475786426986,,,0.5851281396459926,0.05598110048155098,0.6966595660688835,0.03541249565631368
observational_bands,EXP-B1,pascal_a,M3,short,8,False,10,4.0,2.5728627499999996,0.936372,,,,,0.11666666666666665,0.1932503014547343,,,0.04107142857142857,0.06630963067444581,0.11333333333333333,0.1833838314291356
observational_bands,EXP-B1,pascal_a,M4,medium,116,True,10,58.0,8.97101475,5.749297,,,,,0.6722390334338864,0.047215935124810884,,,0.6271636160023113,0.027691398398356472,0.6999646508146461,0.02505327354651109
observational_bands,EXP-B1,pascal_a,M4,short,8,False,10,4.0,2.5728627499999996,0.936372,,,,,0.3625,0.1779187808877764,,,0.1742857142857143,0.09459971230481193,0.45,0.244191788620399
observational_bands,EXP-B1,pascal_a,M5,medium,116,True,10,58.0,8.97101475,5.749297,,,,,0.6399375808015515,0.0524886505476444,,,0.6245818473489126,0.0554494431290647,0.6964045158190626,0.03438960884040243
observational_bands,EXP-B1,pascal_a,M5,short,8,False,10,4.0,2.5728627499999996,0.936372,,,,,0.2541666666666666,0.23931647779292148,,,0.12666666666666665,0.13378396072828816,0.29166666666666663,0.28385029091815456
observational_bands,EXP-B1,pascal_a,M6,medium,116,True,10,58.0,8.97101475,5.749297,,,,,0.6279922834518423,0.056449765549970186,,,0.5929718323553123,0.04013598557184622,0.6982072913142002,0.03315092447179187
observational_bands,EXP-B1,pascal_a,M6,short,8,False,10,4.0,2.5728627499999996,0.936372,,,,,0.275,0.2779166319617947,,,0.13916666666666666,0.14646292667050215,0.2783333333333333,0.2848055433640016
observational_bands,EXP-B1,pascal_a,M7,medium,116,True,10,58.0,8.97101475,5.749297,,,,,0.6343317038353803,0.05762957966869661,,,0.6083042428984402,0.0534593500626901,0.6997307668645607,0.033574616804497415
observational_bands,EXP-B1,pascal_a,M7,short,8,False,10,4.0,2.5728627499999996,0.936372,,,,,0.2777777777777778,0.20786985482077452,,,0.13178571428571428,0.0981291518147286,0.305,0.2375349227085837
observational_bands,EXP-B2,pascal_b,M1,long,5,False,3,1.6666666666666667,22.750999999999998,21.97,,,,,0.16666666666666666,0.2886751345948129,,,0.07407407407407407,0.12830005981991682,0.16666666666666666,0.2886751345948129
observational_bands,EXP-B2,pascal_b,M1,medium,229,True,5,45.8,9.08275,5.0235,,,,,0.5319290382819795,0.08453739091436226,,,0.5025423178516764,0.044885562570374585,0.5786231111010366,0.03202289299777071
observational_bands,EXP-B2,pascal_b,M1,short,227,True,5,45.4,2.91775,0.76325,,,,,0.45353437066925917,0.07307952066639949,,,0.4202565248940622,0.06593493484851366,0.5616848708737535,0.04620297621803202
observational_bands,EXP-B2,pascal_b,M3,long,5,False,3,1.6666666666666667,22.750999999999998,21.97,,,,,1.0,0.0,,,0.4444444444444444,0.19245008972987526,1.0,0.0
observational_bands,EXP-B2,pascal_b,M3,medium,229,True,5,45.8,9.08275,5.0235,,,,,0.41397175536881425,0.02825730416028587,,,0.39884465032798067,0.04146671183241746,0.6844780628105053,0.051007322836503693
