run,model_id,rule,balanced_accuracy_recording,balanced_accuracy_patient,balanced_accuracy_delta,sensitivity_recording,sensitivity_patient,sensitivity_delta,specificity_recording,specificity_patient,specificity_delta,macro_f1_recording,macro_f1_patient,macro_f1_delta
EXP-C1-two_class,M7,mean,0.696247414868841,0.6343046180815965,-0.0619427967872444,0.5472593758195646,0.2743543543543544,-0.2729050214652102,0.8452354539181174,0.9942548818088388,0.1490194278907213,,,
EXP-C1-two_class,M3,any_present,0.6192342570617901,0.7020879720598208,0.0828537149980306,0.2485051140833989,0.4372286572286573,0.1887235431452583,0.9899634000401812,0.966947286890984,-0.0230161131491971,,,
EXP-C1-two_class,M4,any_present,0.6746633642130911,0.7140567988785067,0.0393934346654155,0.4304746918436926,0.6382410982410982,0.2077664063974055,0.9188520365824896,0.7898724995159152,-0.1289795370665744,,,
EXP-C1-two_class,M5,any_present,0.670554180168948,0.6955696956619697,0.0250155154930217,0.4222659323367427,0.6041226941226941,0.1818567617859514,0.918842428001153,0.7870166972012452,-0.1318257307999077,,,
EXP-C1-two_class,M6,any_present,0.696247414868841,0.6972900303225608,0.0010426154537197,0.5472593758195646,0.7441741741741742,0.1969147983546095,0.8452354539181174,0.6504058864709473,-0.19482956744717,,,
EXP-C1-two_class,M7,any_present,0.696247414868841,0.6972900303225608,0.0010426154537197,0.5472593758195646,0.7441741741741742,0.1969147983546095,0.8452354539181174,0.6504058864709473,-0.19482956744717,,,
EXP-C2,M3,max,0.6017347276702194,0.6041788274717534,0.002444099801534,0.4455174469353431,0.6712613473483039,0.2257439004129607,0.7579520084050956,0.537096307595203,-0.2208557008098925,,,
EXP-C2,M4,max,0.6004589454851734,0.5945489086749413,-0.0059100368102321,0.4834003959890145,0.7260630673674152,0.2426626713784007,0.7175174949813324,0.4630347499824673,-0.2544827449988651,,,
EXP-C2,M5,max,0.5954936836066177,0.5792692525239589,-0.0162244310826588,0.4912350173511315,0.765527950310559,0.2742929329594274,0.6997523498621039,0.3930105547373588,-0.306741795124745,,,
EXP-C2,M6,max,0.5965708690918778,0.6052101166639811,0.0086392475721032,0.4572587341125375,0.6733874820831343,0.2161287479705967,0.7358830040712181,0.5370327512448279,-0.1988502528263902,,,
EXP-C2,M7,max,0.5965708690918778,0.6052101166639811,0.0086392475721032,0.4572587341125375,0.6733874820831343,0.2161287479705967,0.7358830040712181,0.5370327512448279,-0.1988502528263902,,,
EXP-C2,M3,mean,0.6017347276702194,0.6136631105309068,0.0119283828606874,0.4455174469353431,0.4804825609173435,0.0349651139820004,0.7579520084050956,0.7468436601444701,-0.0111083482606254,,,
EXP-C2,M4,mean,0.6004589454851734,0.618287607943912,0.0178286624587385,0.4834003959890145,0.5308647873865265,0.047464391397512,0.7175174949813324,0.7057104285012975,-0.0118070664800349,,,
EXP-C2,M5,mean,0.5954936836066177,0.6128996822930117,0.017405998686394,0.4912350173511315,0.5243191591017677,0.0330841417506361,0.6997523498621039,0.7014802054842556,0.0017278556221517,,,
EXP-C2,M6,mean,0.5965708690918778,0.6189735298318892,0.0224026607400114,0.4572587341125375,0.484854276158624,0.0275955420460864,0.7358830040712181,0.7530927835051546,0.0172097794339365,,,
EXP-C2,M7,mean,0.5965708690918778,0.6189735298318892,0.0224026607400114,0.4572587341125375,0.484854276158624,0.0275955420460864,0.7358830040712181,0.7530927835051546,0.0172097794339365,,,
EXP-C2,M3,any_present,0.6017347276702194,0.6041788274717534,0.002444099801534,0.4455174469353431,0.6712613473483039,0.2257439004129607,0.7579520084050956,0.537096307595203,-0.2208557008098925,,,
EXP-C2,M4,any_present,0.6004589454851734,0.5945489086749413,-0.0059100368102321,0.4834003959890145,0.7260630673674152,0.2426626713784007,0.7175174949813324,0.4630347499824673,-0.2544827449988651,,,
EXP-C2,M5,any_present,0.5954936836066177,0.5792692525239589,-0.0162244310826588,0.4912350173511315,0.765527950310559,0.2742929329594274,0.6997523498621039,0.3930105547373588,-0.306741795124745,,,
EXP-C2,M6,any_present,0.5965708690918778,0.5924489946911426,-0.0041218744007351,0.4572587341125375,0.6952699474438606,0.238011213331323,0.7358830040712181,0.4896280419384248,-0.2462549621327933,,,
EXP-C2,M7,any_present,0.5965708690918778,0.5924489946911426,-0.0041218744007351,0.4572587341125375,0.6952699474438606,0.238011213331323,0.7358830040712181,0.4896280419384248,-0.2462549621327933,,,
