exp_id,model_id,task,repeat,fold,fold_label,n_train,n_test,n_features,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,support,n_classes,ovr_auc_macro,precision_normal,recall_normal,f1_normal,support_normal,precision_murmur,recall_murmur,f1_murmur,support_murmur,precision_extrahls,recall_extrahls,f1_extrahls,support_extrahls,precision_artifact,recall_artifact,f1_artifact,support_artifact,brier,ece,fit_seconds,predict_seconds,params,note
EXP-B1,M3,pascal_a,0,0,r0f0,62,62,138,0.6290322580645161,0.5830882352941177,0.5642011311417462,0.6128775698696678,0.5649279448621554,0.5830882352941177,62.0,4.0,0.8399147438571719,0.375,0.2,0.2608695652173913,15.0,0.7894736842105263,0.8823529411764706,0.8333333333333334,17.0,0.2857142857142857,0.4,0.3333333333333333,10.0,0.8095238095238095,0.85,0.8292682926829268,20.0,0.47504119531797373,0.21954236739797026,0.140598,0.03968,{},config defaults
EXP-B1,M3,pascal_a,0,1,r0f1,62,62,138,0.6935483870967742,0.6613153594771242,0.648015873015873,0.6828213005632361,0.6464646464646465,0.6613153594771242,62.0,4.0,0.8745010552074262,0.5454545454545454,0.375,0.4444444444444444,16.0,0.7222222222222222,0.7647058823529411,0.7428571428571429,17.0,0.45454545454545453,0.5555555555555556,0.5,9.0,0.8636363636363636,0.95,0.9047619047619048,20.0,0.4419009301906421,0.1290883344762719,0.110192,0.026407,{},config defaults
EXP-B1,M3,pascal_a,1,0,r1f0,62,62,138,0.6935483870967742,0.6806576797385621,0.5957041679548073,0.6240522533320157,0.7535822021116139,0.6806576797385621,62.0,4.0,0.886362095084137,1.0,0.0625,0.11764705882352941,16.0,0.8333333333333334,0.8823529411764706,0.8571428571428571,17.0,0.4117647058823529,0.7777777777777778,0.5384615384615384,9.0,0.7692307692307693,1.0,0.8695652173913043,20.0,0.44510918138938754,0.1328520496461843,0.07926,0.027978,{},config defaults
EXP-B1,M3,pascal_a,1,1,r1f1,62,62,138,0.6129032258064516,0.5286764705882352,0.5004981667463734,0.5823948514627462,0.47619047619047616,0.5286764705882352,62.0,4.0,0.8702710462253641,0.3157894736842105,0.4,0.35294117647058826,15.0,0.6842105263157895,0.7647058823529411,0.7222222222222222,17.0,0.0,0.0,0.0,10.0,0.9047619047619048,0.95,0.926829268292683,20.0,0.44366774908624446,0.21396633831867645,0.084202,0.025122,{},config defaults
EXP-B1,M3,pascal_a,2,0,r2f0,62,62,138,0.6129032258064516,0.5681372549019608,0.5619734403044361,0.6067511640510782,0.5696178821178821,0.5681372549019608,62.0,4.0,0.8572868099776736,0.36363636363636365,0.26666666666666666,0.3076923076923077,15.0,0.8571428571428571,0.7058823529411765,0.7741935483870968,17.0,0.3076923076923077,0.4,0.34782608695652173,10.0,0.75,0.9,0.8181818181818182,20.0,0.4768943440293961,0.17191662541185937,0.087914,0.027559,{},config defaults
EXP-B1,M3,pascal_a,2,1,r2f1,62,62,138,0.7258064516129032,0.7128267973856209,0.6682003633223145,0.7044485368639577,0.7252469408816158,0.7128267973856209,62.0,4.0,0.9020542962194449,0.8,0.25,0.38095238095238093,16.0,0.7368421052631579,0.8235294117647058,0.7777777777777778,17.0,0.4117647058823529,0.7777777777777778,0.5384615384615384,9.0,0.9523809523809523,1.0,0.975609756097561,20.0,0.4359411316963032,0.2097291833821631,0.062371,0.019021,{},config defaults
EXP-B1,M3,pascal_a,3,0,r3f0,62,62,138,0.6612903225806451,0.5747549019607843,0.5243592596713772,0.6041791548365559,0.4823153899240856,0.5747549019607843,62.0,4.0,0.8644946904020747,0.3888888888888889,0.4666666666666667,0.42424242424242425,15.0,0.7142857142857143,0.8823529411764706,0.7894736842105263,17.0,0.0,0.0,0.0,10.0,0.8260869565217391,0.95,0.8837209302325582,20.0,0.4638920830190525,0.09636654654104142,0.064555,0.018411,{},config defaults
EXP-B1,M3,pascal_a,3,1,r3f1,62,62,138,0.6612903225806451,0.6440563725490196,0.6181563506818734,0.6563783302066751,0.6648550724637681,0.6440563725490196,62.0,4.0,0.8713419926693675,0.7142857142857143,0.3125,0.43478260869565216,16.0,0.7857142857142857,0.6470588235294118,0.7096774193548387,17.0,0.3333333333333333,0.6666666666666666,0.4444444444444444,9.0,0.8260869565217391,0.95,0.8837209302325582,20.0,0.45948595337131726,0.20589881214570593,0.077313,0.02013,{},config defaults
EXP-B1,M3,pascal_a,4,0,r4f0,62,62,138,0.6451612903225806,0.6078431372549019,0.5949676747250053,0.6336443794743152,0.5949310200668896,0.6078431372549019,62.0,4.0,0.8489068104055588,0.4,0.26666666666666666,0.32,15.0,0.8125,0.7647058823529411,0.7878787878787878,17.0,0.38461538461538464,0.5,0.43478260869565216,10.0,0.782608695652174,0.9,0.8372093023255814,20.0,0.4795769057704401,0.16642196781119997,0.066835,0.020008,{},config defaults
EXP-B1,M3,pascal_a,4,1,r4f1,62,62,138,0.6451612903225806,0.635968137254902,0.6142953789703015,0.6465811482110294,0.6207850564468211,0.635968137254902,62.0,4.0,0.874987186903747,0.45454545454545453,0.3125,0.37037037037037035,16.0,0.7647058823529411,0.7647058823529411,0.7647058823529411,17.0,0.375,0.6666666666666666,0.48,9.0,0.8888888888888888,0.8,0.8421052631578947,20.0,0.47630563888392335,0.18147518138006336,0.067464,0.019537,{},config defaults
