run,task,model_id,quality_group,n_records_corpus,reported,n_folds,n_units_mean,mean_snr_proxy_db,sensitivity_mean,sensitivity_sd,specificity_mean,specificity_sd,balanced_accuracy_mean,balanced_accuracy_sd,roc_auc_mean,roc_auc_sd,macro_f1_mean,macro_f1_sd,accuracy_mean,accuracy_sd
EXP-A2,binary,M8,low_quality_other,15,False,20,3.75,30.28831458505952,0.2458333333333333,0.4023641756227328,0.8184523809523809,0.28143286865894396,0.4982142857142858,0.2152330424474012,0.9466666666666667,0.11925695879998881,,,0.7074404761904761,0.311680809562872
EXP-A2,binary,M8,noisy,462,True,25,92.4,30.995822424002867,0.43255605269293423,0.23279078483961993,0.7980447682188004,0.13518860455464166,0.6153004104558674,0.10098429471661581,0.6544395920231595,0.14518582368750318,,,0.7334008666057555,0.1005086076316438
EXP-B1,pascal_a,M1,clean,86,True,10,43.0,29.50531600524305,,,,,0.6072881652661064,0.05709124717851096,,,0.5968205212751049,0.03635408501645047,0.5939907551147656,0.035262440980528144
EXP-B1,pascal_a,M1,low_quality_other,7,False,10,3.5,19.624472298333338,,,,,0.44722222222222213,0.3410752182829309,,,0.2441666666666667,0.2166328321160421,0.3716666666666667,0.30062178362541103
EXP-B1,pascal_a,M1,noisy,31,False,10,15.5,-0.30577054314928526,,,,,0.7470963064713064,0.24059245943400417,,,0.24772399304549406,0.028924418293421815,0.9042638080873375,0.08358688650202184
EXP-B1,pascal_a,M3,clean,86,True,10,43.0,29.50531600524305,,,,,0.6058044467787115,0.06940017396044672,,,0.5332746975414157,0.0670645857366509,0.5841500196064426,0.061286342285451545
EXP-B1,pascal_a,M3,low_quality_other,7,False,10,3.5,19.624472298333338,,,,,0.2569444444444444,0.3624884700876734,,,0.135,0.19972202905260322,0.22500000000000003,0.3327077462946188
EXP-B1,pascal_a,M3,noisy,31,False,10,15.5,-0.30577054314928526,,,,,0.7425824175824176,0.27168047141686413,,,0.2436715640681158,0.0076005658836498765,0.9521396250808015,0.05686396827247394
EXP-B1,pascal_a,M4,clean,86,True,10,43.0,29.50531600524305,,,,,0.6562858893557422,0.05798907100052109,,,0.6005128425772774,0.043586076276535136,0.593265707031028,0.04736394554903183
EXP-B1,pascal_a,M4,low_quality_other,7,False,10,3.5,19.624472298333338,,,,,0.6472222222222221,0.23932991159560926,,,0.31476190476190474,0.13452228776589298,0.6966666666666667,0.20439612955674522
EXP-B1,pascal_a,M4,noisy,31,False,10,15.5,-0.30577054314928526,,,,,0.727651862026862,0.2633997329787448,,,0.2413459024985026,0.007259321549740628,0.9344517165840696,0.054175918046883674
EXP-B1,pascal_a,M5,clean,86,True,10,43.0,29.50531600524305,,,,,0.6071288515406162,0.05767693021153491,,,0.5813235812323249,0.04645891930377879,0.5886787881243356,0.04212512496638831
EXP-B1,pascal_a,M5,low_quality_other,7,False,10,3.5,19.624472298333338,,,,,0.5305555555555556,0.38898808258745116,,,0.2733333333333333,0.18908486565495686,0.5616666666666668,0.3961270839852618
