task,model_id,kind,fold_label,family,n_features,total_importance,positive_importance,mean_importance,max_importance,n_negative,share_of_positive,net_is_negative
binary,M3,permutation,r0f1,dwt,24,0.1128265827535451,0.12286007101821748,0.004701107614731046,0.0292574843384625,6,0.2766937189241714,False
binary,M3,permutation,r0f1,envelope,5,0.0019631051704728005,0.006495568578769716,0.0003926210340945601,0.004560610872138393,2,0.01462869923231844,False
binary,M3,permutation,r0f1,frequency,22,0.05633029244493317,0.06384855220993776,0.002560467838406053,0.010254337596350981,3,0.14379361180958655,False
binary,M3,permutation,r0f1,mfcc,39,0.12407113369323866,0.13498801928462367,0.003181311120339453,0.022858627558532373,7,0.30400712580193806,False
binary,M3,permutation,r0f1,time,24,0.02862019688790195,0.04292488235803636,0.0011925082036625813,0.017509887698836657,10,0.09667132076023728,False
binary,M4,impurity,r0f1,chroma,24,0.08921348803983367,0.08921348803983367,0.003717228668326403,0.006544028187670351,0,0.08921348803983367,False
binary,M4,impurity,r0f1,dwt,24,0.28709118942967093,0.28709118942967093,0.011962132892902955,0.057091206635865935,0,0.28709118942967093,False
binary,M4,impurity,r0f1,envelope,5,0.02572759148016044,0.02572759148016044,0.005145518296032088,0.009074943063676958,0,0.02572759148016044,False
binary,M4,impurity,r0f1,frequency,22,0.1210843867864516,0.1210843867864516,0.005503835763020527,0.014339672711819084,0,0.1210843867864516,False
binary,M4,impurity,r0f1,mfcc,39,0.28366807093116203,0.28366807093116203,0.007273540280286206,0.0616299758579192,0,0.28366807093116203,False
binary,M4,impurity,r0f1,time,24,0.19321527333272123,0.19321527333272123,0.008050636388863384,0.05638478489820334,0,0.19321527333272123,False
binary,M4,permutation,r0f1,chroma,24,-0.016929616905800318,0.0075435203094774686,-0.0007054007044083466,0.0013539651837523703,13,0.04953484073685999,True
binary,M4,permutation,r0f1,dwt,24,0.007231011287854153,0.04247885331562666,0.00030129213699392303,0.014231069026242072,18,0.27893916200243624,False
binary,M4,permutation,r0f1,envelope,5,-0.010460030601345361,0.0,-0.002092006120269072,-0.0004698461271976706,5,0.0,True
binary,M4,permutation,r0f1,frequency,22,-0.027743295129767254,0.0039117757441034075,-0.001261058869534875,0.0019075319726319594,19,0.02568683857575462,True
binary,M4,permutation,r0f1,mfcc,39,0.018096654060451505,0.04020251739368888,0.0004640167707808078,0.02620312364675652,25,0.2639915072297547,False
binary,M4,permutation,r0f1,time,24,0.03146886457461205,0.058150495106671536,0.0013112026906088356,0.027461098761511548,18,0.38184765145519417,False
binary,M5,impurity,r0f1,chroma,24,0.04937969511460896,0.04937969511460896,0.00205748729644204,0.014391110122236182,0,0.04937969511460895,False
binary,M5,impurity,r0f1,dwt,24,0.37668151939474037,0.37668151939474037,0.015695063308114182,0.16576677368476306,0,0.37668151939474026,False
binary,M5,impurity,r0f1,envelope,5,0.009812631399754718,0.009812631399754718,0.0019625262799509435,0.0037317135353132774,0,0.009812631399754716,False
binary,M5,impurity,r0f1,frequency,22,0.033265071293225,0.033265071293225,0.001512048695146591,0.0068689858572412305,0,0.03326507129322499,False
binary,M5,impurity,r0f1,mfcc,39,0.41806821370558267,0.41806821370558267,0.010719697787322633,0.303015702955099,0,0.41806821370558256,False
binary,M5,impurity,r0f1,time,24,0.11279286909208847,0.11279286909208847,0.00469970287883702,0.03562373155406348,0,0.11279286909208844,False
binary,M5,permutation,r0f1,chroma,24,-0.00022373625104674805,0.013720806027887444,-9.322343793614503e-06,0.005721152458211786,9,0.05058767492542597,True
binary,M5,permutation,r0f1,dwt,24,0.051649874419007064,0.06415600912266488,0.002152078100791961,0.02466872600248272,8,0.23653882486302705,False
binary,M5,permutation,r0f1,envelope,5,0.009783769739311087,0.011428592049423958,0.0019567539478622174,0.00559701492537309,2,0.042136438506344985,False
binary,M5,permutation,r0f1,frequency,22,0.0023066485753048915,0.012379831981292522,0.00010484766251385871,0.0028465024971852217,6,0.0456435951815174,False
binary,M5,permutation,r0f1,mfcc,39,0.10989780305435999,0.11953217471635956,0.0028178923860092304,0.061536851525736846,9,0.4407069661498186,False
binary,M5,permutation,r0f1,time,24,0.037988250238170415,0.05001082594763095,0.0015828437599237674,0.008956667340281166,6,0.1843865003738661,False
binary,M8,impurity,r0f1,chroma,24,0.1214960323413834,0.1214960323413834,0.005062334680890975,0.016938284039497375,0,0.12149603958311168,False
binary,M8,impurity,r0f1,dwt,24,0.350194284459576,0.350194284459576,0.014591428519149,0.0938837006688118,0,0.3501943053327832,False
binary,M8,impurity,r0f1,envelope,5,0.021524753887206316,0.021524753887206316,0.004304950777441263,0.0060861618258059025,0,0.0215247551701817,False
binary,M8,impurity,r0f1,frequency,22,0.12755200068932027,0.12755200068932027,0.005797818213150921,0.015228686854243279,0,0.1275520082920124,False
binary,M8,impurity,r0f1,mfcc,39,0.25105856789741665,0.25105856789741665,0.006437399176856837,0.07863400131464005,0,0.2510585828616743,False
binary,M8,impurity,r0f1,time,24,0.12817430112045258,0.12817430112045258,0.005340595880018857,0.02317802794277668,0,0.12817430876023672,False
binary,M8,permutation,r0f1,chroma,24,0.02968041802592448,0.042547417650624884,0.00123668408441352,0.009064926816593988,7,0.09289382414905357,False
binary,M8,permutation,r0f1,dwt,24,0.1063591616386152,0.1140015589364586,0.0044316317349423,0.03177199110828834,3,0.24889973007341418,False
binary,M8,permutation,r0f1,envelope,5,0.023975865354080462,0.023975865354080462,0.004795173070816092,0.008374231357718165,0,0.052346533420944905,False
binary,M8,permutation,r0f1,frequency,22,0.032418661046796866,0.03639972285574046,0.0014735755021271302,0.005970149253731349,4,0.07947155528452571,False
binary,M8,permutation,r0f1,mfcc,39,0.1478607927480586,0.16238632754987145,0.003791302378155349,0.06416466988077021,9,0.3545382490541545,False
binary,M8,permutation,r0f1,time,24,0.07413608937902369,0.07871113484800371,0.003089003724125987,0.028811455296053577,4,0.17185010801790723,False
binary,M1,permutation,r0f2,chroma,24,0.18505349463565604,0.1938812255405264,0.007710562276485668,0.052418790827790405,6,0.12018383531381369,False
binary,M1,permutation,r0f2,dwt,24,0.3344895317173339,0.338639644063509,0.01393706382155558,0.11002113000907698,3,0.20991723721258437,False
binary,M1,permutation,r0f2,envelope,5,0.04748523131407825,0.049710578396797794,0.00949704626281565,0.023307739237831672,1,0.030814783384719005,False
binary,M1,permutation,r0f2,frequency,22,0.19682157046560428,0.20752570569766243,0.00894643502116383,0.045565674151451574,6,0.1286418278377214,False
binary,M1,permutation,r0f2,mfcc,39,0.3044789667127953,0.3126646131869112,0.007807152992635777,0.07432927101468684,9,0.19381573576786754,False
binary,M1,permutation,r0f2,time,24,0.5030861717482847,0.5107837447732988,0.0209619238228452,0.22011591744416173,3,0.3166265804832941,False
binary,M3,permutation,r0f2,chroma,24,0.029826049432318334,0.036266982128774924,0.0012427520596799307,0.006391083731381086,8,0.14401444132914637,False
binary,M3,permutation,r0f2,dwt,24,0.059864886984213446,0.06833474696070231,0.0024943702910088937,0.014836391232534319,6,0.27135399278524297,False
binary,M3,permutation,r0f2,envelope,5,0.0069185899439016315,0.0069185899439016315,0.0013837179887803263,0.0021762421320477786,0,0.02747338783300359,False
binary,M3,permutation,r0f2,frequency,22,0.034520036307904275,0.04313646712200456,0.0015690925594501943,0.007519753582429433,5,0.17129283576533486,False
binary,M3,permutation,r0f2,mfcc,39,0.010158772673841241,0.06823802508816697,0.00026048135061131387,0.01381337142687088,18,0.27096991488242694,False
binary,M3,permutation,r0f2,time,24,0.015332648840082572,0.02893397616177929,0.0006388603683367738,0.004198473282442794,6,0.11489542740484537,False
binary,M4,impurity,r0f2,chroma,24,0.087479139928618,0.087479139928618,0.0036449641636924165,0.006469223653667115,0,0.08747913992861801,False
