task,model_id,kind,feature,importance_mean,importance_sd,importance_min,importance_max,rank_mean,rank_sd,rank_best,rank_worst,n_folds,n_folds_positive,rank
binary,M1,permutation,mfcc_10_delta_mean,-0.0006443344122007199,0.004051450184501698,-0.005348018129853693,0.003875404530744364,79.0,19.235384061671343,51,97,5,3,85
binary,M1,permutation,chroma_05_std,-0.0006604301883469344,0.007369262264315502,-0.009300932474956058,0.008186390488519856,79.8,35.7169427583045,45,118,5,3,86
binary,M1,permutation,mfcc_03_std,-0.0006648400931691479,0.006638316934111999,-0.01039290972603143,0.006367275270449235,74.8,31.932741817764413,50,122,5,3,87
binary,M1,permutation,time_range,-0.0006729572015668481,0.006381010965047897,-0.00754487714694666,0.006870229007633577,78.4,34.59479729670345,51,125,5,3,88
binary,M1,permutation,time_peak_to_peak,-0.0006729572015668481,0.006381010965047897,-0.00754487714694666,0.006870229007633577,78.4,34.59479729670345,51,125,5,3,88
binary,M1,permutation,time_median,-0.0006865837423916621,0.0018477445609540284,-0.00393847974826067,0.0006217199427480558,83.0,28.080242164197944,35,106,5,3,90
binary,M1,permutation,dwt_cD2_entropy,-0.000767639996250582,0.010478237712051574,-0.011342288883587815,0.01229707007127655,87.4,50.0029999100054,31,135,5,2,91
binary,M1,permutation,mfcc_09_delta_mean,-0.0008126150271885591,0.0018103152996264413,-0.0037039175495829136,0.0006876532423977566,82.0,34.52535300326414,39,128,5,2,92
binary,M1,permutation,mfcc_06_delta_mean,-0.0009385051925472853,0.004833489931179752,-0.006439995380929042,0.00556299569959674,84.8,22.004544985070698,59,105,5,3,93
binary,M1,permutation,time_max,-0.0009782150911662258,0.0028637617301731375,-0.0032487476145038664,0.002761037453685078,87.4,14.570518178843194,74,111,5,2,94
binary,M1,permutation,chroma_02_mean,-0.0009920194611370702,0.01045352730213631,-0.01615664424492631,0.010060311856428361,82.4,44.25268353444794,27,132,5,2,95
binary,M1,permutation,freq_bandwidth_std,-0.0009965524727999502,0.0054529728217850215,-0.009204220676116582,0.005742336593511421,85.8,45.449972497241404,23,132,5,2,96
binary,M1,permutation,chroma_11_mean,-0.0010847046448452136,0.004431479676252111,-0.006862028864503866,0.004699911738746709,86.2,27.56265589525073,45,119,5,2,97
binary,M1,permutation,time_min,-0.0012228919197955078,0.006617244731038826,-0.00861909589694666,0.007633587786259543,86.8,31.86220331364421,49,129,5,3,98
binary,M1,permutation,chroma_04_mean,-0.0012358983121014643,0.0034513184959818507,-0.005500303126533735,0.001718887908208322,83.0,23.600847442411894,43,98,5,3,99
binary,M1,permutation,dwt_cD4_entropy,-0.0012412257525997682,0.004373878586699345,-0.00854095095124,0.0031082671373933723,82.6,35.409038394172754,41,126,5,3,100
