task,fold_label,model_id,kind,feature,importance,importance_std,scoring,n_repeats,n_scored_rows,computed_on,rank
binary,r0f0,M1,permutation,freq_peak_power,0.0025544277728743793,0.00194969113555755,balanced_accuracy,10,647,held-out fold,68
binary,r0f0,M1,permutation,time_std,0.002360253015592828,0.001812341464733396,balanced_accuracy,10,647,held-out fold,69
binary,r0f0,M1,permutation,time_var,0.002360253015592828,0.001812341464733396,balanced_accuracy,10,647,held-out fold,69
binary,r0f0,M1,permutation,time_rms,0.002360253015592828,0.001812341464733396,balanced_accuracy,10,647,held-out fold,69
binary,r0f0,M1,permutation,time_hjorth_activity,0.002360253015592828,0.001812341464733396,balanced_accuracy,10,647,held-out fold,69
binary,r0f0,M1,permutation,freq_total_power,0.002360253015592828,0.0027953044194591495,balanced_accuracy,10,647,held-out fold,69
binary,r0f0,M1,permutation,dwt_cD3_mean_abs,0.0023492203589291273,0.004541891278802903,balanced_accuracy,10,647,held-out fold,74
binary,r0f0,M1,permutation,mfcc_04_delta_mean,0.002263165636952047,0.002587918452226086,balanced_accuracy,10,647,held-out fold,75
binary,r0f0,M1,permutation,time_crest_factor,0.0021373933509855948,0.004320043244348284,balanced_accuracy,10,647,held-out fold,76
binary,r0f0,M1,permutation,mfcc_10_mean,0.001971903501029715,0.00422641024644528,balanced_accuracy,10,647,held-out fold,77
binary,r0f0,M1,permutation,chroma_01_std,0.0018652544866137432,0.003934307448981061,balanced_accuracy,10,647,held-out fold,78
binary,r0f0,M1,permutation,chroma_06_std,0.0017872903795234207,0.005017673597885357,balanced_accuracy,10,647,held-out fold,79
binary,r0f0,M1,permutation,chroma_04_mean,0.001718887908208322,0.002896568719520961,balanced_accuracy,10,647,held-out fold,80
binary,r0f0,M1,permutation,env_mean,0.00169976463665783,0.0034075103457107533,balanced_accuracy,10,647,held-out fold,81
binary,r0f0,M1,permutation,mfcc_10_std,0.001612238893792295,0.0019924020852152163,balanced_accuracy,10,647,held-out fold,82
binary,r0f0,M1,permutation,mfcc_11_delta_mean,0.001612238893792295,0.0017983758297201399,balanced_accuracy,10,647,held-out fold,82
binary,r0f0,M1,permutation,mfcc_13_mean,0.0016026772580170824,0.0016375853878382001,balanced_accuracy,10,647,held-out fold,84
binary,r0f0,M1,permutation,mfcc_12_delta_mean,0.0015055898793763013,0.0017543428974574442,balanced_accuracy,10,647,held-out fold,85
