task,model_id,kind,fold_label,feature,mean_abs_shap,mean_signed_shap,n_rows,rank
binary,M4,shap,r0f0,mfcc_10_delta_mean,0.0013097251878398484,-0.0007625077656836569,400,81
binary,M4,shap,r0f0,mfcc_11_delta_mean,0.0009023671363354654,-0.0005734038019586681,400,113
binary,M4,shap,r0f0,mfcc_12_delta_mean,0.0010505639343372935,-0.0007361600403621913,400,100
binary,M4,shap,r0f0,mfcc_13_delta_mean,0.0009836512729744778,-0.00046774328954037893,400,104
binary,M4,shap,r0f0,chroma_01_mean,0.003444188996845094,0.000399063177453373,400,37
binary,M4,shap,r0f0,chroma_02_mean,0.001834279635685747,0.0002319978749588559,400,63
binary,M4,shap,r0f0,chroma_03_mean,0.002019035575196675,-0.00015774685239043477,400,55
binary,M4,shap,r0f0,chroma_04_mean,0.0013262969243036458,-0.0004878324302471565,400,79
binary,M4,shap,r0f0,chroma_05_mean,0.0007619734537273716,-0.00046165651833373304,400,125
binary,M4,shap,r0f0,chroma_06_mean,0.0013502829551936973,-0.0003676297927502207,400,77
binary,M4,shap,r0f0,chroma_07_mean,0.0013770095887331794,-8.710145064124857e-05,400,73
binary,M4,shap,r0f0,chroma_08_mean,0.0009607383657236558,-0.0005901346042348965,400,106
binary,M4,shap,r0f0,chroma_09_mean,0.0012621371412055618,-0.0009502704022094667,400,84
binary,M4,shap,r0f0,chroma_10_mean,0.0009503105214545665,-0.00047235248234190437,400,108
binary,M4,shap,r0f0,chroma_11_mean,0.002015003687422624,-0.001051068881013411,400,56
binary,M4,shap,r0f0,chroma_12_mean,0.005647375043428893,-0.00019076953070214418,400,24
binary,M4,shap,r0f0,chroma_01_std,0.0008178430265905697,-0.0005161586082409374,400,120
binary,M4,shap,r0f0,chroma_02_std,0.0006967888016359927,-0.00044486678313461307,400,135
binary,M4,shap,r0f0,chroma_03_std,0.0006376317385227774,-0.00026293389997069,400,137
binary,M4,shap,r0f0,chroma_04_std,0.0007452275121478026,-0.0005011182962240739,400,129
binary,M4,shap,r0f0,chroma_05_std,0.0010185526610130902,-0.00033704120165188025,400,103
binary,M4,shap,r0f0,chroma_06_std,0.0008106506082899889,-0.0003123889253140449,400,122
binary,M4,shap,r0f0,chroma_07_std,0.001373884964346331,-0.00010481566033107627,400,74
binary,M4,shap,r0f0,chroma_08_std,0.0010254095738323836,-0.00024072037624634036,400,102
binary,M4,shap,r0f0,chroma_09_std,0.0006258743022592101,-0.00031825499784413227,400,138
binary,M4,shap,r0f0,chroma_10_std,0.001184355045914188,-0.0007611515304558306,400,89
binary,M4,shap,r0f0,chroma_11_std,0.0009817382367247253,-0.0006870046919385125,400,105
binary,M4,shap,r0f0,chroma_12_std,0.0007609183515625492,-0.0005956923735039843,400,126
binary,M4,shap,r0f0,dwt_cA5_energy,0.019760823603122847,-0.0007438427171296021,400,5
binary,M4,shap,r0f0,dwt_cD5_energy,0.010740178021255218,-1.694880488644743e-05,400,14
binary,M4,shap,r0f0,dwt_cD4_energy,0.006275207191924013,0.00021558797285666577,400,21
binary,M4,shap,r0f0,dwt_cD3_energy,0.001165131184354463,-0.0006129553180680294,400,94
binary,M4,shap,r0f0,dwt_cD2_energy,0.004470342348700439,-0.0028452443438615692,400,31
binary,M4,shap,r0f0,dwt_cD1_energy,0.006839733128246933,-0.0031594864338739077,400,20
binary,M4,shap,r0f0,dwt_cA5_std,0.005761471281140695,-0.00045352119822605045,400,23
binary,M4,shap,r0f0,dwt_cD5_std,0.003651184652052178,-0.0005692539007003945,400,35
binary,M4,shap,r0f0,dwt_cD4_std,0.0034357216070563033,7.238882977387686e-05,400,39
binary,M4,shap,r0f0,dwt_cD3_std,0.0015428063058229933,-0.0005110904796182304,400,68
binary,M4,shap,r0f0,dwt_cD2_std,0.002433345076144193,-0.001559790863252124,400,51
binary,M4,shap,r0f0,dwt_cD1_std,0.005223619203092106,-0.0031386939660185127,400,27
binary,M4,shap,r0f0,dwt_cA5_entropy,0.002246913578666128,-0.0008660469555512518,400,52
binary,M4,shap,r0f0,dwt_cD5_entropy,0.0011329333052504057,-0.0006284619813426351,400,98
binary,M4,shap,r0f0,dwt_cD4_entropy,0.0007517761203786619,-0.000410578378659769,400,127
binary,M4,shap,r0f0,dwt_cD3_entropy,0.005434858093023952,-0.00161849839402636,400,25
binary,M4,shap,r0f0,dwt_cD2_entropy,0.025398183274938146,-0.004125027159195721,400,4
binary,M4,shap,r0f0,dwt_cD1_entropy,0.04333460631523172,-0.003960540176196045,400,3
binary,M4,shap,r0f0,dwt_cA5_mean_abs,0.014677913041587554,-0.0003899946824798568,400,6
binary,M4,shap,r0f0,dwt_cD5_mean_abs,0.01128180800478559,-0.0013146346521358294,400,10
binary,M4,shap,r0f0,dwt_cD4_mean_abs,0.004895148156290494,-0.0015715797251339828,400,29
binary,M4,shap,r0f0,dwt_cD3_mean_abs,0.003609014288723677,-0.000521934627922947,400,36
binary,M4,shap,r0f0,dwt_cD2_mean_abs,0.0011589424434207594,-0.0008792141966936923,400,95
