exp_id,model_id,repeat,fold,fold_label,n_train,n_test,sensitivity,specificity,balanced_accuracy,f1,precision,roc_auc,pr_auc,accuracy,mcc,brier,ece
EXP-A1,M3,0,0,r0f0,2593,647,0.6363636363636364,0.8854368932038835,0.7609002647837599,0.610909090909091,0.5874125874125874,0.8818917328626065,0.5712963053881107,0.8346213292117465,0.5067710633572868,0.2297301826823939,0.0430598963526606
EXP-A1,M3,0,1,r0f1,2589,651,0.6492537313432836,0.9574468085106383,0.803350269926961,0.7160493827160493,0.7981651376146789,0.9408037183521464,0.8110458321947229,0.8940092165898618,0.6569906060700856,0.1608038730409598,0.0569570246455081
EXP-A1,M3,0,2,r0f2,2596,644,0.5114503816793893,0.9688109161793372,0.7401306489293633,0.6261682242990654,0.8072289156626506,0.9271163489725162,0.7683702993917547,0.8757763975155279,0.5769676239054314,0.173119677509959,0.0392243055944016
EXP-A1,M3,0,3,r0f3,2585,655,0.7007299270072993,0.947876447876448,0.8243031874418736,0.7384615384615385,0.7804878048780488,0.9247949722402278,0.7953492049586379,0.8961832061068702,0.6754574629389545,0.1827060478351708,0.0935754602081835
EXP-A1,M3,0,4,r0f4,2597,643,0.8091603053435115,0.896484375,0.8528223401717557,0.7310344827586207,0.6666666666666666,0.9373359971374046,0.690990227846014,0.8786936236391913,0.6587724933806479,0.1783722130997036,0.0600359244482448
EXP-A1,M3,1,0,r1f0,2593,647,0.6136363636363636,0.883495145631068,0.7485657546337159,0.5934065934065934,0.574468085106383,0.8779493968814358,0.5819613763417755,0.8284389489953632,0.4852628626968842,0.2374061842223473,0.0399414103027961
EXP-A1,M3,1,1,r1f1,2585,655,0.6764705882352942,0.930635838150289,0.8035532131927916,0.696969696969697,0.71875,0.9292757565453929,0.75865218703514,0.8778625954198473,0.6210229797536967,0.1792423379563322,0.0589493364931683
EXP-A1,M3,1,2,r1f2,2596,644,0.7099236641221374,0.9649122807017544,0.8374179724119459,0.768595041322314,0.8378378378378378,0.9539008675207952,0.8675614064407223,0.9130434782608696,0.719229419417638,0.1434987934579659,0.0633253323679191
EXP-A1,M3,1,3,r1f3,2589,651,0.6074074074074074,0.9341085271317828,0.7707579672695952,0.6533864541832669,0.7068965517241379,0.923026126902096,0.669056127384076,0.8663594470046083,0.5737161694025683,0.1847933758415506,0.0239503044768033
EXP-A1,M3,1,4,r1f4,2597,643,0.7633587786259542,0.9296875,0.8465231393129771,0.7490636704119851,0.7352941176470589,0.946057967557252,0.7471948130302237,0.895800933125972,0.6835329115749913,0.1669009716548559,0.0840810991898464
EXP-A1,M3,2,0,r2f0,2596,644,0.5801526717557252,0.9044834307992202,0.7423180512774727,0.59375,0.608,0.8854069014776125,0.5881176436664651,0.8385093167701864,0.4932549001460647,0.2226373235168799,0.0359433828299999
EXP-A1,M3,2,1,r2f1,2589,651,0.7313432835820896,0.9226305609284332,0.8269869222552615,0.7205882352941176,0.7101449275362319,0.9332688588007736,0.7613298552059403,0.8832565284178188,0.646933773311733,0.1730330087393804,0.0507106937511935
EXP-A1,M3,2,2,r2f2,2585,655,0.6861313868613139,0.9652509652509652,0.8256911760561396,0.7550200803212851,0.8392857142857143,0.9429022348730378,0.8139366988079532,0.9068702290076336,0.7036427631502731,0.1615207166129606,0.0796648001303026
EXP-A1,M3,2,3,r2f3,2597,643,0.7709923664122137,0.923828125,0.8474102457061068,0.7453874538745388,0.7214285714285714,0.94329973759542,0.7219718254555271,0.8926905132192846,0.6781023289665742,0.1685459698931823,0.0761400563698035
EXP-A1,M3,2,4,r2f4,2593,647,0.6515151515151515,0.933980582524272,0.7927478670197117,0.6825396825396826,0.7166666666666667,0.9222712562518388,0.6971002270232313,0.8763523956723338,0.6070415031634077,0.1810102287457045,0.0363420147870322
EXP-A1,M3,3,0,r3f0,2596,644,0.5877862595419847,0.8869395711500975,0.737362915346041,0.5789473684210527,0.5703703703703704,0.8706158951237296,0.5724553957560613,0.8260869565217391,0.4694738622032071,0.2365680006506637,0.0397016616328631
EXP-A1,M3,3,1,r3f1,2593,647,0.7121212121212122,0.9242718446601942,0.8181965283907031,0.7094339622641509,0.706766917293233,0.935201529861724,0.7062822538344751,0.8809891808346213,0.6346125156366981,0.1662537504406572,0.0381915738520773
