exp_id,model_id,metric,n_folds,n_folds_defined,mean,sd,min,max,mean_pm_sd
EXP-A1,M3,brier,25,25,0.18305086728410364,0.025518055465345885,0.1434987934579659,0.2374061842223473,0.1831 +/- 0.0255
EXP-A1,M3,ece,25,25,0.05730727207214442,0.019994984422364057,0.0239503044768033,0.096155580110642,0.0573 +/- 0.0200
EXP-A1,M4,sensitivity,25,25,0.7475470301606779,0.06326348603349237,0.5801526717557252,0.8778625954198473,0.7475 +/- 0.0633
EXP-A1,M4,specificity,25,25,0.9366196855524065,0.029321936595700607,0.8757281553398059,0.9805068226120858,0.9366 +/- 0.0293
EXP-A1,M4,balanced_accuracy,25,25,0.8420833578565423,0.032945933529836234,0.7803297471839055,0.8989816913167938,0.8421 +/- 0.0329
EXP-A1,M4,f1,25,25,0.7510565386260639,0.052708521418613076,0.6567164179104478,0.8270676691729323,0.7511 +/- 0.0527
EXP-A1,M4,precision,25,25,0.7619593895391418,0.08384065977201399,0.6049382716049383,0.8837209302325582,0.7620 +/- 0.0838
EXP-A1,M4,roc_auc,25,25,0.9418026774787451,0.02023584548443079,0.9006325389820535,0.9698004553368152,0.9418 +/- 0.0202
EXP-A1,M4,pr_auc,25,25,0.8055628416009804,0.06812138240329908,0.6710491260098858,0.9056820962383018,0.8056 +/- 0.0681
EXP-A1,M4,accuracy,25,25,0.8978274239459105,0.024960761293280592,0.848531684698609,0.9297709923664124,0.8978 +/- 0.0250
EXP-A1,M4,mcc,25,25,0.6896725889001196,0.06773071991830748,0.5647675209540792,0.7836143005499688,0.6897 +/- 0.0677
EXP-A1,M4,brier,25,25,0.1686520460762375,0.028437357590377722,0.1247979130434782,0.230104828438949,0.1687 +/- 0.0284
EXP-A1,M4,ece,25,25,0.06600971978730868,0.02079911002599017,0.0267573415765069,0.1047114503816793,0.0660 +/- 0.0208
EXP-A1,M5,sensitivity,25,25,0.7979991249318708,0.05504045101131409,0.6946564885496184,0.9083969465648856,0.7980 +/- 0.0550
EXP-A1,M5,specificity,25,25,0.9016218568785286,0.03625527933305099,0.8233009708737864,0.95906432748538,0.9016 +/- 0.0363
EXP-A1,M5,balanced_accuracy,25,25,0.8498104909051996,0.03014766456720083,0.7885213457732542,0.8967601979961832,0.8498 +/- 0.0301
EXP-A1,M5,f1,25,25,0.7344011991722188,0.050514416345078285,0.6291390728476821,0.813953488372093,0.7344 +/- 0.0505
EXP-A1,M5,precision,25,25,0.6857195694175617,0.07768454143506771,0.5357142857142857,0.8267716535433071,0.6857 +/- 0.0777
EXP-A1,M5,roc_auc,25,25,0.9357444658070613,0.02186977716088595,0.8834575837388212,0.9642622853053436,0.9357 +/- 0.0219
EXP-A1,M5,pr_auc,25,25,0.7944138767148836,0.058115633166557865,0.6983612021093382,0.8903990562081816,0.7944 +/- 0.0581
EXP-A1,M5,accuracy,25,25,0.8803812904490006,0.02901954442513568,0.8176197836166924,0.9254658385093169,0.8804 +/- 0.0290
EXP-A1,M5,mcc,25,25,0.663883627757846,0.06563180416769131,0.5259853519126659,0.7675097915638525,0.6639 +/- 0.0656
EXP-A1,M5,brier,25,25,0.17437842948036955,0.03808523274368473,0.1195226635743441,0.252465801846336,0.1744 +/- 0.0381
EXP-A1,M5,ece,25,25,0.03380721349680261,0.019334922084439734,0.0120221255089,0.0882906658716169,0.0338 +/- 0.0193
EXP-A1,M6,sensitivity,25,25,0.8790705821614024,0.061241829532217164,0.7480916030534351,1.0,0.8791 +/- 0.0612
EXP-A1,M6,specificity,25,25,0.8384425376679471,0.04791851275770815,0.7602339181286549,0.9395711500974658,0.8384 +/- 0.0479
EXP-A1,M6,balanced_accuracy,25,25,0.8587565599146746,0.02545854494291062,0.7960730919750607,0.893667255075022,0.8588 +/- 0.0255
EXP-A1,M6,f1,25,25,0.7044382221713745,0.04395562766884186,0.6233062330623306,0.7955390334572491,0.7044 +/- 0.0440
EXP-A1,M6,precision,25,25,0.5933892361431843,0.07062471665285279,0.4831932773109244,0.7753623188405797,0.5934 +/- 0.0706
EXP-A1,M6,roc_auc,25,25,0.9395334531543368,0.021954085056345145,0.8962992723539128,0.9687811556031724,0.9395 +/- 0.0220
EXP-A1,M6,pr_auc,25,25,0.7747624740985141,0.08263956975111719,0.6252189352561747,0.9084930845800774,0.7748 +/- 0.0826
EXP-A1,M6,accuracy,25,25,0.8467898757895366,0.03233741698433885,0.7841614906832298,0.9145962732919256,0.8468 +/- 0.0323
EXP-A1,M6,mcc,25,25,0.6322439501899548,0.05491206369533483,0.5321440453389685,0.7420120834551659,0.6322 +/- 0.0549
EXP-A1,M6,brier,25,25,0.16858335570429578,0.024503612324366552,0.1304361711858561,0.2204822181031887,0.1686 +/- 0.0245
EXP-A1,M6,ece,25,25,0.07726626137827348,0.02529899236517019,0.0314458708226663,0.1203319096740068,0.0773 +/- 0.0253
EXP-A1,M8,sensitivity,25,25,0.7556270092682991,0.0626458769631817,0.6183206106870229,0.8854961832061069,0.7556 +/- 0.0626
EXP-A1,M8,specificity,25,25,0.9328235751465186,0.028233887853066582,0.8757281553398059,0.9785575048732944,0.9328 +/- 0.0282
EXP-A1,M8,balanced_accuracy,25,25,0.8442252922074089,0.031085627431688682,0.7804041486243174,0.8968496541030535,0.8442 +/- 0.0311
EXP-A1,M8,f1,25,25,0.7504310157926309,0.047847925853444606,0.6402877697841727,0.8131868131868132,0.7504 +/- 0.0478
EXP-A1,M8,precision,25,25,0.7523541266220218,0.07870332863922365,0.6049382716049383,0.8804347826086957,0.7524 +/- 0.0787
EXP-A1,M8,roc_auc,25,25,0.9410446008725418,0.01796680807842469,0.8942904334627918,0.9697632546166092,0.9410 +/- 0.0180
EXP-A1,M8,pr_auc,25,25,0.8125284436883298,0.051040198358114054,0.7183644092315502,0.9128139647387088,0.8125 +/- 0.0510
EXP-A1,M8,accuracy,25,25,0.8964713031776675,0.0229334080287399,0.84472049689441,0.9262672811059908,0.8965 +/- 0.0229
EXP-A1,M8,mcc,25,25,0.6879569533473738,0.061946804405221816,0.5431580004845968,0.7657036469014407,0.6880 +/- 0.0619
EXP-A1,M8,brier,25,25,0.16617452090134846,0.03489789945823504,0.1104937357776726,0.2450044152287752,0.1662 +/- 0.0349
EXP-A1,M8,ece,25,25,0.06055405837450443,0.01725727624846609,0.0318070959498863,0.095312404891719,0.0606 +/- 0.0173
