model_id,method,fold_label,repeat,fold,n_train,n_test,fit_seconds,isotonic_below_min_samples,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,mcc,roc_auc,pr_auc,tp,fp,tn,fn,support,n_positive,n_negative,brier,ece
M3,sigmoid,r2f0,2,0,2596,644,2.6782668000014382,False,0.8385093167701864,0.7423180512774727,0.5801526717557252,0.9044834307992202,0.608,0.59375,0.49325490014606477,0.8854069014776125,0.5881176436664651,76.0,49.0,464.0,55.0,644.0,131.0,513.0,0.22263732351687995,0.035943382829999926
M3,sigmoid,r2f1,2,1,2589,651,1.8002863000001526,False,0.8832565284178188,0.8269869222552615,0.7313432835820896,0.9226305609284333,0.7101449275362319,0.7205882352941176,0.646933773311733,0.9332688588007737,0.7613298552059403,98.0,40.0,477.0,36.0,651.0,134.0,517.0,0.17303300873938043,0.050710693751193525
M3,sigmoid,r2f2,2,2,2585,655,2.798656899998605,False,0.9068702290076336,0.8256911760561396,0.6861313868613139,0.9652509652509652,0.8392857142857143,0.7550200803212851,0.7036427631502731,0.9429022348730378,0.8139366988079532,94.0,18.0,500.0,43.0,655.0,137.0,518.0,0.1615207166129606,0.07966480013030268
M3,sigmoid,r2f3,2,3,2597,643,2.6820831000004546,False,0.8926905132192846,0.8474102457061068,0.7709923664122137,0.923828125,0.7214285714285714,0.7453874538745388,0.6781023289665742,0.9432997375954199,0.7219718254555271,101.0,39.0,473.0,30.0,643.0,131.0,512.0,0.16854596989318235,0.07614005636980359
M3,sigmoid,r2f4,2,4,2593,647,2.5024214000004577,False,0.8763523956723338,0.7927478670197117,0.6515151515151515,0.9339805825242719,0.7166666666666667,0.6825396825396826,0.6070415031634077,0.9222712562518387,0.6971002270232313,86.0,34.0,481.0,46.0,647.0,132.0,515.0,0.18101022874570458,0.036342014787032285
M3,sigmoid,r3f0,3,0,2596,644,2.7106370000037714,False,0.8260869565217391,0.737362915346041,0.5877862595419847,0.8869395711500975,0.5703703703703704,0.5789473684210527,0.46947386220320714,0.8706158951237296,0.5724553957560613,77.0,58.0,455.0,54.0,644.0,131.0,513.0,0.2365680006506637,0.03970166163286317
M3,sigmoid,r3f1,3,1,2593,647,3.1887485000042943,False,0.8809891808346213,0.8181965283907031,0.7121212121212122,0.9242718446601942,0.706766917293233,0.7094339622641509,0.6346125156366981,0.935201529861724,0.7062822538344751,94.0,39.0,476.0,38.0,647.0,132.0,515.0,0.16625375044065727,0.038191573852077304
M3,sigmoid,r3f2,3,2,2585,655,2.8078800000002957,False,0.9038167938931297,0.8443485775813215,0.7426470588235294,0.9460500963391136,0.7829457364341085,0.7622641509433963,0.7024148667253393,0.9474243454607276,0.8080829039364332,101.0,28.0,491.0,35.0,655.0,136.0,519.0,0.16615256099724718,0.09615558011064207
M3,sigmoid,r3f3,3,3,2589,651,2.9737259999965318,False,0.9001536098310292,0.8248923341946598,0.6962962962962963,0.9534883720930233,0.7966101694915254,0.7430830039525692,0.6838432852552278,0.9376399655469423,0.7726715155277586,94.0,24.0,492.0,41.0,651.0,135.0,516.0,0.16789089431576656,0.07533127004618019
M3,sigmoid,r3f4,3,4,2597,643,2.832222200006072,False,0.8849144634525661,0.7970837309160306,0.648854961832061,0.9453125,0.7522123893805309,0.6967213114754098,0.6287852373844093,0.9216662690839694,0.7406885738731412,85.0,28.0,484.0,46.0,643.0,131.0,512.0,0.17910080897326727,0.05548854730920097
M3,sigmoid,r4f0,4,0,2585,655,2.359466000001703,False,0.8366412213740458,0.7721154935962824,0.6617647058823529,0.882466281310212,0.5960264900662252,0.627177700348432,0.524122322808776,0.8984330726510257,0.6342261771525752,90.0,61.0,458.0,46.0,655.0,136.0,519.0,0.21843883870627995,0.040939096992258436
M3,sigmoid,r4f1,4,1,2596,644,3.191461499998695,False,0.8881987577639752,0.7820335401693377,0.6030534351145038,0.9610136452241715,0.797979797979798,0.6869565217391305,0.6295195711438378,0.9410591789057036,0.7886005434844592,79.0,20.0,493.0,52.0,644.0,131.0,513.0,0.16401406594751505,0.060326743407034755
M3,sigmoid,r4f2,4,2,2593,647,3.206323300000804,False,0.8825347758887172,0.7881803471609297,0.6287878787878788,0.9475728155339805,0.7545454545454545,0.6859504132231405,0.6183031379057359,0.9268461312150633,0.743264157057347,83.0,27.0,488.0,49.0,647.0,132.0,515.0,0.17450564666945692,0.04093617090544606
M3,sigmoid,r4f3,4,3,2589,651,3.005065299999842,False,0.8878648233486943,0.8308139534883721,0.7333333333333333,0.9282945736434108,0.7279411764705882,0.7306273062730627,0.659830644348363,0.9439850703416595,0.7498035646404932,99.0,37.0,479.0,36.0,651.0,135.0,516.0,0.16761522454827674,0.08404487412083415
M3,sigmoid,r4f4,4,4,2597,643,3.080080200001248,False,0.8724727838258165,0.7835907681297709,0.6335877862595419,0.93359375,0.7094017094017094,0.6693548387096774,0.5921161545256035,0.9097835162213741,0.6616687172710636,83.0,34.0,478.0,48.0,643.0,131.0,512.0,0.19241098604411389,0.05966524147921042
