run,task,model_id,fold_label,n_bins,n_records,brier,ece,mean_confidence,argmax_accuracy,confidence_gap
EXP-A1,binary,M3,r4f1,20,644,0.16401406594751505,0.06256776355630735,0.832203316434517,0.8881987577639752,-0.05599544132945822
EXP-A1,binary,M3,r4f2,5,647,0.17450564666945692,0.03996528220051947,0.8440247984758715,0.8825347758887172,-0.038509977412845675
EXP-A1,binary,M3,r4f2,10,647,0.17450564666945692,0.04093617090544606,0.8440247984758715,0.8825347758887172,-0.038509977412845675
EXP-A1,binary,M3,r4f2,15,647,0.17450564666945692,0.05157043094975895,0.8440247984758715,0.8825347758887172,-0.038509977412845675
EXP-A1,binary,M3,r4f2,20,647,0.17450564666945692,0.05256539266051142,0.8440247984758715,0.8825347758887172,-0.038509977412845675
EXP-A1,binary,M3,r4f3,5,651,0.16761522454827674,0.08404487412083414,0.8145898367425471,0.8878648233486943,-0.07327498660614717
EXP-A1,binary,M3,r4f3,10,651,0.16761522454827674,0.08404487412083415,0.8145898367425471,0.8878648233486943,-0.07327498660614717
EXP-A1,binary,M3,r4f3,15,651,0.16761522454827674,0.08404487412083411,0.8145898367425471,0.8878648233486943,-0.07327498660614717
EXP-A1,binary,M3,r4f3,20,651,0.16761522454827674,0.08413569329584918,0.8145898367425471,0.8878648233486943,-0.07327498660614717
EXP-A1,binary,M3,r4f4,5,643,0.19241098604411389,0.035274324116273646,0.8371984597095429,0.8724727838258165,-0.035274324116273625
EXP-A1,binary,M3,r4f4,10,643,0.19241098604411389,0.05966524147921042,0.8371984597095429,0.8724727838258165,-0.035274324116273625
EXP-A1,binary,M3,r4f4,15,643,0.19241098604411389,0.06449873415199349,0.8371984597095429,0.8724727838258165,-0.035274324116273625
EXP-A1,binary,M3,r4f4,20,643,0.19241098604411389,0.06369673466145812,0.8371984597095429,0.8724727838258165,-0.035274324116273625
EXP-A1,binary,M4,r0f0,5,647,0.21603378052550232,0.01572179289026271,0.8399319938176196,0.848531684698609,-0.00859969088098933
EXP-A1,binary,M4,r0f0,10,647,0.21603378052550232,0.026757341576506936,0.8399319938176196,0.848531684698609,-0.00859969088098933
