run,task,model_id,fold_label,n_bins,n_records,brier,ece,mean_confidence,argmax_accuracy,confidence_gap
EXP-A1,binary,M1,r0f3,15,655,0.2181039614543103,0.045042009180254736,0.8904151326761128,0.8458015267175573,0.04461360595855557
EXP-A1,binary,M1,r0f3,20,655,0.2181039614543103,0.04607841398371205,0.8904151326761128,0.8458015267175573,0.04461360595855557
EXP-A1,binary,M1,r0f4,5,643,0.25031062143647204,0.08707090270063153,0.902000918252731,0.8149300155520995,0.08707090270063145
EXP-A1,binary,M1,r0f4,10,643,0.25031062143647204,0.08707090270063148,0.902000918252731,0.8149300155520995,0.08707090270063145
EXP-A1,binary,M1,r0f4,15,643,0.25031062143647204,0.09652366563172796,0.902000918252731,0.8149300155520995,0.08707090270063145
EXP-A1,binary,M1,r0f4,20,643,0.25031062143647204,0.09392844515888804,0.902000918252731,0.8149300155520995,0.08707090270063145
EXP-A1,binary,M1,r1f0,5,647,0.2976069632706005,0.09622560246913683,0.8721143196252419,0.7758887171561051,0.0962256024691368
EXP-A1,binary,M1,r1f0,10,647,0.2976069632706005,0.0962256024691368,0.8721143196252419,0.7758887171561051,0.0962256024691368
EXP-A1,binary,M1,r1f0,15,647,0.2976069632706005,0.10254791106337452,0.8721143196252419,0.7758887171561051,0.0962256024691368
EXP-A1,binary,M1,r1f0,20,647,0.2976069632706005,0.10331566075525095,0.8721143196252419,0.7758887171561051,0.0962256024691368
EXP-A1,binary,M1,r1f1,5,655,0.21942096831231583,0.046923555000687914,0.8911983641609932,0.8442748091603054,0.04692355500068779
EXP-A1,binary,M1,r1f1,10,655,0.21942096831231583,0.04692355500068786,0.8911983641609932,0.8442748091603054,0.04692355500068779
EXP-A1,binary,M1,r1f1,15,655,0.21942096831231583,0.05366418299674221,0.8911983641609932,0.8442748091603054,0.04692355500068779
EXP-A1,binary,M1,r1f1,20,655,0.21942096831231583,0.05299958780393699,0.8911983641609932,0.8442748091603054,0.04692355500068779
EXP-A1,binary,M1,r1f2,5,644,0.1772972409762785,0.0466385240021516,0.9172854467411244,0.8773291925465838,0.03995625419454063
EXP-A1,binary,M1,r1f2,10,644,0.1772972409762785,0.04663852400215157,0.9172854467411244,0.8773291925465838,0.03995625419454063
EXP-A1,binary,M1,r1f2,15,644,0.1772972409762785,0.04663852400215156,0.9172854467411244,0.8773291925465838,0.03995625419454063
EXP-A1,binary,M1,r1f2,20,644,0.1772972409762785,0.046638524002151655,0.9172854467411244,0.8773291925465838,0.03995625419454063
EXP-A1,binary,M1,r1f3,5,651,0.22476111843081797,0.07550075362339113,0.9111382344221624,0.8356374807987711,0.07550075362339126
EXP-A1,binary,M1,r1f3,10,651,0.22476111843081797,0.0755007536233912,0.9111382344221624,0.8356374807987711,0.07550075362339126
EXP-A1,binary,M1,r1f3,15,651,0.22476111843081797,0.07660576136912267,0.9111382344221624,0.8356374807987711,0.07550075362339126
