run,task,model_id,kind,n_bins,bin,bin_low,bin_high,confidence_mean,accuracy_mean,accuracy_sd,n_folds,n_records,n_classes
EXP-A2,binary,M4,confidence_vs_accuracy,10,6,0.6000000000000001,0.7000000000000001,0.6469614086140243,0.7289067613676725,0.06643990650325636,25,1828,2
EXP-A2,binary,M4,confidence_vs_accuracy,10,7,0.7000000000000001,0.8,0.7496966382994933,0.8391344771555451,0.07626312967108005,25,1494,2
EXP-A2,binary,M4,confidence_vs_accuracy,10,8,0.8,0.9,0.8557907561650547,0.884067835104827,0.06952598536452086,25,2316,2
EXP-A2,binary,M4,confidence_vs_accuracy,10,9,0.9,1.0,0.9672010509601727,0.980004383240976,0.020304907745419307,25,8220,2
EXP-A2,binary,M5,confidence_vs_accuracy,10,5,0.5,0.6000000000000001,0.5505779285540081,0.5612132355030227,0.10492303684758246,25,1687,2
EXP-A2,binary,M5,confidence_vs_accuracy,10,6,0.6000000000000001,0.7000000000000001,0.6486425950731552,0.6333787281964178,0.14654612409740217,25,1658,2
EXP-A2,binary,M5,confidence_vs_accuracy,10,7,0.7000000000000001,0.8,0.7523462989857155,0.7576020539686993,0.07537442699009095,24,1413,2
EXP-A2,binary,M5,confidence_vs_accuracy,10,8,0.8,0.9,0.8598099132954031,0.8202763139692668,0.09294683874353796,24,2612,2
EXP-A2,binary,M5,confidence_vs_accuracy,10,9,0.9,1.0,0.9481261551779309,0.9794327777466642,0.025265172596391574,24,8830,2
EXP-A2,binary,M6,confidence_vs_accuracy,10,5,0.5,0.6000000000000001,0.5531409130072702,0.6274126716301061,0.10398323556420311,25,1420,2
EXP-A2,binary,M6,confidence_vs_accuracy,10,6,0.6000000000000001,0.7000000000000001,0.6519849983550238,0.799135829388445,0.0564545326014271,25,2156,2
EXP-A2,binary,M6,confidence_vs_accuracy,10,7,0.7000000000000001,0.8,0.7512420049704793,0.8263085564688182,0.060663028152194876,25,2705,2
EXP-A2,binary,M6,confidence_vs_accuracy,10,8,0.8,0.9,0.8487303694108038,0.9113035741522845,0.0516681655832478,25,2594,2
EXP-A2,binary,M6,confidence_vs_accuracy,10,9,0.9,1.0,0.9554461048235586,0.9998518518518519,0.0007407407407407307,25,7325,2
EXP-A2,binary,M7,confidence_vs_accuracy,10,5,0.5,0.6000000000000001,0.5531870290669363,0.6303626306290397,0.10287124929922378,25,1418,2
EXP-A2,binary,M7,confidence_vs_accuracy,10,6,0.6000000000000001,0.7000000000000001,0.6518520338669402,0.7970135180303543,0.06217240338648804,25,2149,2
EXP-A2,binary,M7,confidence_vs_accuracy,10,7,0.7000000000000001,0.8,0.750956770616304,0.8269020451430084,0.05946335870617885,25,2712,2
EXP-A2,binary,M7,confidence_vs_accuracy,10,8,0.8,0.9,0.8485363026643954,0.9109293288590408,0.05192559562708063,25,2595,2
EXP-A2,binary,M7,confidence_vs_accuracy,10,9,0.9,1.0,0.955291497897994,0.9998518518518519,0.0007407407407407307,25,7326,2
EXP-A2,binary,M8,confidence_vs_accuracy,10,5,0.5,0.6000000000000001,0.5495307472137486,0.5363391370774085,0.09068317568295257,25,1989,2
EXP-A2,binary,M8,confidence_vs_accuracy,10,6,0.6000000000000001,0.7000000000000001,0.6484043159952741,0.6738974973486637,0.12632985571996636,25,2246,2
EXP-A2,binary,M8,confidence_vs_accuracy,10,7,0.7000000000000001,0.8,0.7518452590719191,0.7651154833177832,0.10797603691285806,23,1695,2
EXP-A2,binary,M8,confidence_vs_accuracy,10,8,0.8,0.9,0.8532246601245401,0.8499354067685524,0.09253121188904906,22,2246,2
EXP-A2,binary,M8,confidence_vs_accuracy,10,9,0.9,1.0,0.9630103868963079,0.9708603559005603,0.019554206540679027,20,8024,2
EXP-B1,pascal_a,M1,confidence_vs_accuracy,10,2,0.2,0.30000000000000004,0.29342038174136653,0.75,0.3535533905932738,2,17,4
EXP-B1,pascal_a,M1,confidence_vs_accuracy,10,3,0.30000000000000004,0.4,0.36020387471242515,0.4333333333333333,0.27888667551135854,5,44,4
EXP-B1,pascal_a,M1,confidence_vs_accuracy,10,4,0.4,0.5,0.4651400472226269,0.4684027777777778,0.367294248573638,8,47,4
EXP-B1,pascal_a,M1,confidence_vs_accuracy,10,5,0.5,0.6000000000000001,0.5465352375283535,0.4807692307692307,0.3931791668249792,10,50,4
EXP-B1,pascal_a,M1,confidence_vs_accuracy,10,6,0.6000000000000001,0.7000000000000001,0.6513220734739716,0.6097883597883598,0.25663652874467696,9,47,4
EXP-B1,pascal_a,M1,confidence_vs_accuracy,10,7,0.7000000000000001,0.8,0.7441373661091809,0.3812169312169312,0.31311208637549703,9,43,4
EXP-B1,pascal_a,M1,confidence_vs_accuracy,10,8,0.8,0.9,0.8531510414460987,0.6373737373737374,0.24590423640160636,9,76,4
EXP-B1,pascal_a,M1,confidence_vs_accuracy,10,9,0.9,1.0,0.9783781760343848,0.8316563417129967,0.10973700885849652,9,296,4
EXP-B1,pascal_a,M3,confidence_vs_accuracy,10,2,0.2,0.30000000000000004,0.28219605697384265,0.35,0.21213203435596426,2,7,4
EXP-B1,pascal_a,M3,confidence_vs_accuracy,10,3,0.30000000000000004,0.4,0.36361698502919565,0.36316080055210487,0.20500153180874411,10,109,4
EXP-B1,pascal_a,M3,confidence_vs_accuracy,10,4,0.4,0.5,0.4575928712592333,0.5074529594446474,0.22055959329651267,10,143,4
EXP-B1,pascal_a,M3,confidence_vs_accuracy,10,5,0.5,0.6000000000000001,0.5516569630005995,0.6094867169867169,0.295029189125709,10,140,4
EXP-B1,pascal_a,M3,confidence_vs_accuracy,10,6,0.6000000000000001,0.7000000000000001,0.6534477316672713,0.9210419934104145,0.06791651115696619,10,181,4
EXP-B1,pascal_a,M3,confidence_vs_accuracy,10,7,0.7000000000000001,0.8,0.7147469895273931,1.0,0.0,6,40,4
EXP-B1,pascal_a,M4,confidence_vs_accuracy,10,2,0.2,0.30000000000000004,0.29,1.0,,1,1,4
EXP-B1,pascal_a,M4,confidence_vs_accuracy,10,3,0.30000000000000004,0.4,0.36870420052862085,0.5421428571428571,0.2786337152813873,10,51,4
EXP-B1,pascal_a,M4,confidence_vs_accuracy,10,4,0.4,0.5,0.4515713578214382,0.4258500323206206,0.1076760467825893,10,134,4
EXP-B1,pascal_a,M4,confidence_vs_accuracy,10,5,0.5,0.6000000000000001,0.5436452325061301,0.4982877906407318,0.17820123793877332,10,100,4
EXP-B1,pascal_a,M4,confidence_vs_accuracy,10,6,0.6000000000000001,0.7000000000000001,0.6437236539376421,0.6705555555555555,0.22228093517650388,10,77,4
EXP-B1,pascal_a,M4,confidence_vs_accuracy,10,7,0.7000000000000001,0.8,0.7509628848889717,0.9119444444444443,0.1054421905859109,10,85,4
EXP-B1,pascal_a,M4,confidence_vs_accuracy,10,8,0.8,0.9,0.853945475063131,0.9057724229292857,0.09383447908448823,9,102,4
EXP-B1,pascal_a,M4,confidence_vs_accuracy,10,9,0.9,1.0,0.9367723656245885,1.0,0.0,8,70,4
EXP-B1,pascal_a,M5,confidence_vs_accuracy,10,2,0.2,0.30000000000000004,0.2880615956884192,0.0,,1,1,4
EXP-B1,pascal_a,M5,confidence_vs_accuracy,10,3,0.30000000000000004,0.4,0.3687980067568504,0.40277777777777773,0.3958698813536627,6,15,4
EXP-B1,pascal_a,M5,confidence_vs_accuracy,10,4,0.4,0.5,0.44331908350934307,0.28326048951048954,0.1923491180066105,8,72,4
EXP-B1,pascal_a,M5,confidence_vs_accuracy,10,5,0.5,0.6000000000000001,0.552883351046085,0.3577886710239651,0.21770728229196748,9,70,4
EXP-B1,pascal_a,M5,confidence_vs_accuracy,10,6,0.6000000000000001,0.7000000000000001,0.6516471708087622,0.675,0.22738852072741178,8,48,4
EXP-B1,pascal_a,M5,confidence_vs_accuracy,10,7,0.7000000000000001,0.8,0.7524290598271046,0.4103174603174603,0.2449069698238757,10,51,4
EXP-B1,pascal_a,M5,confidence_vs_accuracy,10,8,0.8,0.9,0.8599725853173199,0.7874641148325359,0.26255903538327746,10,127,4
EXP-B1,pascal_a,M5,confidence_vs_accuracy,10,9,0.9,1.0,0.9436316851364955,0.904792377433887,0.14038328123738839,10,236,4
EXP-B1,pascal_a,M6,confidence_vs_accuracy,10,2,0.2,0.30000000000000004,0.29080919511720715,0.3333333333333333,0.5773502691896258,3,3,4
EXP-B1,pascal_a,M6,confidence_vs_accuracy,10,3,0.30000000000000004,0.4,0.36512212963431484,0.41772079179401844,0.26516363781319496,10,119,4
EXP-B1,pascal_a,M6,confidence_vs_accuracy,10,4,0.4,0.5,0.4426122644462436,0.4249451447245566,0.149767655458542,10,131,4
EXP-B1,pascal_a,M6,confidence_vs_accuracy,10,5,0.5,0.6000000000000001,0.548808935286808,0.6385275835275837,0.2015496125055373,10,96,4
EXP-B1,pascal_a,M6,confidence_vs_accuracy,10,6,0.6000000000000001,0.7000000000000001,0.6522011725995046,0.902411928886387,0.08559081100931683,10,140,4
EXP-B1,pascal_a,M6,confidence_vs_accuracy,10,7,0.7000000000000001,0.8,0.7385925409789442,0.9764285714285714,0.031194615824487886,10,131,4
EXP-B1,pascal_a,M7,confidence_vs_accuracy,10,2,0.2,0.30000000000000004,0.26815440686228764,0.25,0.3535533905932738,2,3,4
EXP-B1,pascal_a,M7,confidence_vs_accuracy,10,3,0.30000000000000004,0.4,0.3676044893798032,0.4071669670199082,0.14126981385100307,10,108,4
EXP-B1,pascal_a,M7,confidence_vs_accuracy,10,4,0.4,0.5,0.44963887441389333,0.45556259930872933,0.17235091793702845,10,158,4
EXP-B1,pascal_a,M7,confidence_vs_accuracy,10,5,0.5,0.6000000000000001,0.5453921718053428,0.618291847041847,0.231639511852584,10,88,4
EXP-B1,pascal_a,M7,confidence_vs_accuracy,10,6,0.6000000000000001,0.7000000000000001,0.6485518589049962,0.8747186147186147,0.1760315325208694,10,79,4
EXP-B1,pascal_a,M7,confidence_vs_accuracy,10,7,0.7000000000000001,0.8,0.7486824967939321,0.8940990790255496,0.08365638792182802,8,94,4
EXP-B1,pascal_a,M7,confidence_vs_accuracy,10,8,0.8,0.9,0.8383700849039833,0.9777777777777777,0.04006168083848877,7,79,4
EXP-B1,pascal_a,M7,confidence_vs_accuracy,10,9,0.9,1.0,0.9155236066860386,1.0,0.0,3,11,4
EXP-B2,pascal_b,M1,confidence_vs_accuracy,10,3,0.30000000000000004,0.4,0.3833829626200973,0.0,,1,1,3
EXP-B2,pascal_b,M1,confidence_vs_accuracy,10,4,0.4,0.5,0.4695011967157591,0.5133333333333333,0.366363511040909,5,12,3
EXP-B2,pascal_b,M1,confidence_vs_accuracy,10,5,0.5,0.6000000000000001,0.5443751745793011,0.6502164502164502,0.30493218875167394,5,46,3
EXP-B2,pascal_b,M1,confidence_vs_accuracy,10,6,0.6000000000000001,0.7000000000000001,0.64561589352925,0.4685470085470085,0.2055927787609455,5,52,3
EXP-B2,pascal_b,M1,confidence_vs_accuracy,10,7,0.7000000000000001,0.8,0.7506627369884226,0.4834848484848485,0.18450694975724793,5,54,3
EXP-B2,pascal_b,M1,confidence_vs_accuracy,10,8,0.8,0.9,0.8512061251853851,0.4431920710868079,0.20010512421755985,5,60,3
EXP-B2,pascal_b,M1,confidence_vs_accuracy,10,9,0.9,1.0,0.9742384961719133,0.648657900790841,0.09834193415970313,5,236,3
EXP-B2,pascal_b,M3,confidence_vs_accuracy,10,4,0.4,0.5,0.4661902639476984,0.7777777777777777,0.3849001794597505,3,6,3
EXP-B2,pascal_b,M3,confidence_vs_accuracy,10,5,0.5,0.6000000000000001,0.5413660148028462,0.4989316239316239,0.14979760251141497,3,27,3
EXP-B2,pascal_b,M3,confidence_vs_accuracy,10,6,0.6000000000000001,0.7000000000000001,0.6734308569167586,0.5952316689158794,0.23151058980690023,5,66,3
EXP-B2,pascal_b,M3,confidence_vs_accuracy,10,7,0.7000000000000001,0.8,0.7353315208391613,0.7571615335037769,0.018025424726429706,5,340,3
EXP-B2,pascal_b,M3,confidence_vs_accuracy,10,8,0.8,0.9,0.8095484026718385,0.8421052631578947,0.22329687826943606,2,22,3
