method,model_id,task,outer_fold,trial,score,best_so_far,elapsed_seconds
bayes,M4,binary,r0f0,23,0.838953,0.846413,523.207
bayes,M4,binary,r0f0,24,0.842724,0.846413,532.6314
bayes,M4,binary,r0f0,25,0.840367,0.846413,540.8797
bayes,M4,binary,r0f0,26,0.828356,0.846413,543.185
bayes,M4,binary,r0f0,27,0.836949,0.846413,627.6092
bayes,M4,binary,r0f0,28,0.8439,0.846413,639.9414
bayes,M4,binary,r0f0,29,0.840209,0.846413,642.3779
bayes,M4,binary,r0f0,30,0.836558,0.846413,693.9355
bayes,M4,binary,r0f0,31,0.840605,0.846413,698.9404
bayes,M4,binary,r0f0,32,0.846834,0.846834,723.0935
bayes,M4,binary,r0f0,33,0.841061,0.846834,751.8233
bayes,M4,binary,r0f0,34,0.836794,0.846834,762.9815
bayes,M4,binary,r0f0,35,0.844182,0.846834,822.0786
bayes,M4,binary,r0f0,36,0.835324,0.846834,839.0099
bayes,M4,binary,r0f0,37,0.829775,0.846834,854.651
bayes,M4,binary,r0f0,38,0.844911,0.846834,863.004
bayes,M4,binary,r0f0,39,0.838123,0.846834,915.668
bayes,M5,binary,r0f0,0,0.84115,0.84115,267.1191
bayes,M5,binary,r0f0,1,0.836236,0.84115,301.195
bayes,M5,binary,r0f0,2,0.832172,0.84115,343.7094
bayes,M5,binary,r0f0,3,0.839463,0.84115,680.3456
bayes,M5,binary,r0f0,4,0.843029,0.843029,841.6984
bayes,M5,binary,r0f0,5,0.846453,0.846453,899.3149
bayes,M5,binary,r0f0,6,0.837451,0.846453,1011.5559
bayes,M5,binary,r0f0,7,0.831537,0.846453,1046.2841
bayes,M5,binary,r0f0,8,0.82481,0.846453,1185.9619
bayes,M5,binary,r0f0,9,0.840175,0.846453,1257.7957
bayes,M5,binary,r0f0,10,0.840299,0.846453,1339.6428
bayes,M5,binary,r0f0,11,0.832464,0.846453,1407.5552
bayes,M5,binary,r0f0,12,0.828025,0.846453,1492.2017
bayes,M5,binary,r0f0,13,0.840215,0.846453,1547.1247
bayes,M5,binary,r0f0,14,0.837981,0.846453,1663.8713
