method,model_id,task,outer_fold,repeat,fold,objective,trial,score,score_std,n_inner_folds,seconds,status,inner_accuracy,inner_balanced_accuracy,inner_f1,inner_sensitivity,inner_specificity,inner_fold_0_score,inner_fold_1_score,inner_fold_2_score,inner_fold_0_accuracy,inner_fold_0_balanced_accuracy,inner_fold_0_f1,inner_fold_0_sensitivity,inner_fold_0_specificity,inner_fold_1_accuracy,inner_fold_1_balanced_accuracy,inner_fold_1_f1,inner_fold_1_sensitivity,inner_fold_1_specificity,inner_fold_2_accuracy,inner_fold_2_balanced_accuracy,inner_fold_2_f1,inner_fold_2_sensitivity,inner_fold_2_specificity,param_C,param_class_weight,param_gamma,message,best_so_far,param_max_depth,param_max_features,param_min_samples_leaf,param_n_estimators,param_learning_rate,param_subsample
bayes,M3,binary,r0f0,0,0,balanced_accuracy,24,0.773396,0.020506,3,5.4349,ok,0.859236,0.773725,0.647343,0.628518,0.918932,0.74786,0.798068,0.774259,0.862471,0.74786,0.621795,0.554286,0.941435,0.842529,0.798068,0.654912,0.722222,0.873913,0.872832,0.774259,0.662577,0.606742,0.941776,1000.0,balanced,0.05314798562782038,,0.804118,,,,,,
bayes,M3,binary,r0f0,0,0,balanced_accuracy,25,0.5,0.0,3,7.2051,ok,0.794447,0.5,0.0,0.0,1.0,0.5,0.5,0.5,0.796037,0.5,0.0,0.0,1.0,0.793103,0.5,0.0,0.0,1.0,0.79422,0.5,0.0,0.0,1.0,1000.0,balanced,10.0,,0.804118,,,,,,
bayes,M3,binary,r0f0,0,0,balanced_accuracy,26,0.678439,0.036315,3,5.3544,ok,0.808716,0.67865,0.495935,0.457786,0.899515,0.65086,0.65471,0.729748,0.829837,0.65086,0.455224,0.348571,0.953148,0.774713,0.65471,0.452514,0.45,0.85942,0.821965,0.729748,0.569832,0.573034,0.886463,0.011725469873935865,,0.0003637904254604832,,0.804118,,,,,,
bayes,M3,binary,r0f0,0,0,balanced_accuracy,27,0.805059,0.020969,3,2.4474,ok,0.888546,0.805384,0.71013,0.664165,0.946602,0.77818,0.829348,0.807648,0.890443,0.77818,0.686667,0.588571,0.967789,0.875862,0.829348,0.714286,0.75,0.908696,0.899422,0.807648,0.727273,0.651685,0.96361,5.4357328488726395,balanced,0.009664057657450847,,0.805059,,,,,,
bayes,M3,binary,r0f0,0,0,balanced_accuracy,28,0.687035,0.049571,3,1.8521,ok,0.858851,0.687257,0.535533,0.395872,0.978641,0.639126,0.666667,0.755311,0.844988,0.639126,0.434043,0.291429,0.986823,0.842529,0.666667,0.490706,0.366667,0.966667,0.889017,0.755311,0.661972,0.52809,0.982533,963.1081892185489,,0.0002881998442117343,,0.805059,,,,,,
bayes,M3,binary,r0f0,0,0,balanced_accuracy,29,0.776606,0.025445,3,2.1597,ok,0.883147,0.776952,0.677316,0.596623,0.957282,0.744627,0.806884,0.778307,0.877622,0.744627,0.634146,0.52,0.969253,0.87931,0.806884,0.700855,0.683333,0.930435,0.892486,0.778307,0.69103,0.58427,0.972344,37.941970915170245,balanced,0.0068393657166363215,,0.805059,,,,,,
bayes,M3,binary,r0f0,0,0,balanced_accuracy,30,0.789705,0.011833,3,5.0247,ok,0.867335,0.789948,0.671128,0.658537,0.921359,0.772985,0.798671,0.797458,0.878788,0.772985,0.666667,0.594286,0.951684,0.84023,0.798671,0.653367,0.727778,0.869565,0.883237,0.797458,0.696697,0.651685,0.943231,63.926249674442886,balanced,0.0360540652548834,,0.805059,,,,,,
bayes,M3,binary,r0f0,0,0,balanced_accuracy,31,0.792635,0.022354,3,2.6419,ok,0.876591,0.792992,0.684418,0.651032,0.934951,0.763091,0.81715,0.797663,0.879953,0.763091,0.657807,0.565714,0.960469,0.85977,0.81715,0.687179,0.744444,0.889855,0.890173,0.797663,0.705882,0.640449,0.954876,0.7793513663575714,,0.008312543003892201,,0.805059,,,,,,
bayes,M3,binary,r0f0,0,0,balanced_accuracy,32,0.785575,0.02297,3,3.4697,ok,0.865407,0.785953,0.665388,0.651032,0.920874,0.753717,0.807005,0.796003,0.871795,0.753717,0.638158,0.554286,0.953148,0.843678,0.807005,0.663366,0.744444,0.869565,0.880925,0.796003,0.692537,0.651685,0.94032,0.1930885219326843,balanced,0.0023373696479561975,,0.805059,,,,,,
bayes,M3,binary,r0f0,0,0,balanced_accuracy,33,0.758785,0.0209,3,2.9118,ok,0.859236,0.759122,0.632427,0.589118,0.929126,0.729467,0.776691,0.770199,0.863636,0.729467,0.600683,0.502857,0.956076,0.837931,0.776691,0.631854,0.672222,0.881159,0.876301,0.770199,0.662461,0.589888,0.950509,0.6825698152829647,balanced,0.0011145325027380928,,0.805059,,,,,,
