configuration,outer_fold,repeat,fold,model_id,n_features,j,fit_predict_seconds,n_train,n_test,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,mcc,roc_auc,pr_auc,tp,fp,tn,fn,support,n_positive,n_negative,macro_f1,n_selected,term_performance,term_features,term_time,normalized_features,normalized_inference_time,families
gb_threshold_mean,r0f0,0,0,M4,17,0.2695389071657664,2.304230799956713,2593,647,0.8500772797527048,0.826949102677258,0.7878787878787878,0.8660194174757282,0.6011560693641619,0.6819672131147541,0.5953721329459455,,,104.0,69.0,446.0,28.0,647.0,132.0,515.0,0.7919441727858907,17,0.1456390790498765,0.02463768115942029,0.09926214695646964,0.12318840579710146,0.9926214695646963,dwt;frequency;mfcc;time
gb_threshold_mean,r0f1,0,1,M4,22,0.23570494695316413,2.50955029996112,2589,651,0.9032258064516129,0.8450879066947661,0.746268656716418,0.9439071566731141,0.7751937984496124,0.7604562737642585,0.700047162837635,,,100.0,29.0,488.0,34.0,651.0,134.0,517.0,0.8499105237926201,22,0.10506263334516591,0.03188405797101449,0.09875825563698372,0.15942028985507245,0.9875825563698372,chroma;dwt;mfcc;time
gb_threshold_mean,r0f2,0,2,M4,19,0.24191736169169836,2.4610501999850385,2596,644,0.9037267080745341,0.805990803981965,0.6412213740458015,0.9707602339181286,0.8484848484848485,0.7304347826086957,0.6829939431353739,,,84.0,15.0,498.0,47.0,644.0,131.0,513.0,0.8359168241965973,19,0.11485822306238189,0.027536231884057974,0.09952290674525849,0.13768115942028986,0.9952290674525848,chroma;dwt;frequency;mfcc;time
gb_threshold_mean,r0f3,0,3,M4,19,0.24856313406310648,2.448165399953723,2585,655,0.8809160305343512,0.8388101344305723,0.7664233576642335,0.9111969111969112,0.695364238410596,0.7291666666666666,0.6543465389640052,,,105.0,46.0,472.0,32.0,655.0,137.0,518.0,0.8264228636660143,19,0.12150399543379002,0.027536231884057974,0.09952290674525849,0.13768115942028986,0.9952290674525848,chroma;dwt;frequency;mfcc;time
gb_threshold_mean,r0f4,0,4,M4,17,0.21984511171420257,2.324281399953179,2597,643,0.9035769828926905,0.8968496541030535,0.8854961832061069,0.908203125,0.7116564417177914,0.7891156462585034,0.7348728611742237,,,116.0,47.0,465.0,15.0,643.0,131.0,512.0,0.8633078231292517,17,0.0956845238095238,0.02463768115942029,0.09952290674525849,0.12318840579710146,0.9952290674525848,chroma;dwt;frequency;mfcc;time
gb_threshold_median,r0f0,0,0,M4,69,0.3483619207791725,3.680615100020077,2593,647,0.8500772797527048,0.8156810826713738,0.7575757575757576,0.8737864077669902,0.6060606060606061,0.6734006734006734,0.5837187475288567,,,100.0,65.0,450.0,32.0,647.0,132.0,515.0,0.7880543988868964,69,0.14836192077917248,0.1,0.1,0.5,1.0,chroma;dwt;envelope;frequency;mfcc;time
gb_threshold_median,r0f1,0,1,M4,69,0.29870414077437857,3.759787500021048,2589,651,0.9109062980030722,0.8471592713415514,0.7388059701492538,0.9555125725338491,0.8114754098360656,0.7734375,0.7193639719787901,,,99.0,23.0,494.0,35.0,651.0,134.0,517.0,0.8589940846080306,69,0.09870414077437856,0.1,0.1,0.5,1.0,chroma;dwt;envelope;frequency;mfcc;time
gb_threshold_median,r0f2,0,2,M4,69,0.3266292134831461,3.820721100026276,2596,644,0.8975155279503105,0.7821972233382438,0.5877862595419847,0.9766081871345029,0.8651685393258427,0.7,0.6583177536444602,,,77.0,12.0,501.0,54.0,644.0,131.0,513.0,0.8191011235955056,69,0.1266292134831461,0.1,0.1,0.5,1.0,chroma;dwt;envelope;frequency;mfcc;time
gb_threshold_median,r0f3,0,3,M4,69,0.31888893560956466,3.586064000031911,2585,655,0.8870229007633588,0.8319336020065947,0.7372262773722628,0.9266409266409267,0.7266187050359713,0.7318840579710145,0.6603499159815611,,,101.0,38.0,480.0,36.0,655.0,137.0,518.0,0.8301586634149076,69,0.11888893560956465,0.1,0.1,0.5,1.0,chroma;dwt;envelope;frequency;mfcc;time
gb_threshold_median,r0f4,0,4,M4,69,0.2917159681569359,3.710892300005071,2597,643,0.9082426127527217,0.8997793416030535,0.8854961832061069,0.9140625,0.725,0.7972508591065293,0.744881890179931,,,116.0,44.0,468.0,15.0,643.0,131.0,512.0,0.8689771883472345,69,0.09171596815693586,0.1,0.1,0.5,1.0,chroma;dwt;envelope;frequency;mfcc;time
rf_threshold_mean,r0f0,0,0,M4,33,0.2983112012574255,2.784328200039454,2593,647,0.8454404945904173,0.8184024713150926,0.7727272727272727,0.8640776699029126,0.5930232558139535,0.6710526315789473,0.5808794030282296,,,102.0,70.0,445.0,30.0,647.0,132.0,515.0,0.7850212652844232,33,0.15048511430090378,0.04782608695652174,0.1,0.2391304347826087,1.0,chroma;dwt;envelope;frequency;mfcc;time
rf_threshold_mean,r0f1,0,1,M4,34,0.25949932271677484,2.985540999972727,2589,651,0.8970814132104454,0.8412194347411877,0.746268656716418,0.9361702127659575,0.7518796992481203,0.7490636704119851,0.684338108738755,,,100.0,33.0,484.0,34.0,651.0,134.0,517.0,0.8421646854475384,34,0.1104847201867231,0.04927536231884058,0.09973924021121117,0.2463768115942029,0.9973924021121117,dwt;envelope;frequency;mfcc;time
rf_threshold_mean,r0f2,0,2,M4,35,0.28286519368184426,2.664247200009413,2596,644,0.8913043478260869,0.778298587860661,0.5877862595419847,0.9688109161793372,0.8279569892473119,0.6875,0.6374087999837041,,,77.0,16.0,497.0,54.0,644.0,131.0,513.0,0.8108552631578947,35,0.1324013157894737,0.050724637681159424,0.09973924021121117,0.2536231884057971,0.9973924021121117,dwt;envelope;frequency;mfcc;time
