ranker,k,outer_fold,inner_fold,n_selected,j,seconds,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,mcc,roc_auc,pr_auc,tp,fp,tn,fn,support,n_positive,n_negative,macro_f1,term_performance,term_features,term_time,normalized_features,normalized_inference_time,families
gb_importance,40,r0f0,0,40,0.263423975894188,2.605806199950166,0.9079254079254079,0.8295377536080318,0.6971428571428572,0.9619326500732065,0.8243243243243243,0.7554179566563467,0.7029177604556291,,,122.0,26.0,657.0,53.0,858.0,175.0,683.0,0.8493529122836652,0.10545296140143438,0.05797101449275363,0.1,0.2898550724637681,1.0,chroma;dwt;envelope;frequency;mfcc;time
gb_importance,50,r0f0,0,50,0.2869885659022341,2.6819679999607615,0.8997668997668997,0.8180380673499268,0.68,0.9560761346998536,0.7986577181208053,0.7345679012345679,0.676584782750332,,,119.0,30.0,653.0,56.0,858.0,175.0,683.0,0.8363931460195828,0.11452479778629203,0.07246376811594203,0.1,0.36231884057971014,1.0,chroma;dwt;envelope;frequency;mfcc;time
gb_importance,60,r0f0,0,60,0.29774887359127034,2.921062699984759,0.9032634032634033,0.8223593390504078,0.6857142857142857,0.95900439238653,0.8108108108108109,0.7430340557275542,0.6876059030759467,,,120.0,28.0,655.0,55.0,858.0,175.0,683.0,0.8417252116398001,0.11079235185213994,0.08695652173913043,0.1,0.43478260869565216,1.0,chroma;dwt;envelope;frequency;mfcc;time
gb_importance,70,r0f0,0,70,0.313310705758232,3.9001187999965623,0.9020979020979021,0.8216272746287387,0.6857142857142857,0.9575402635431918,0.8053691275167785,0.7407407407407407,0.6842203562123886,,,120.0,29.0,654.0,55.0,858.0,175.0,683.0,0.8401979565772669,0.11186143039591315,0.10144927536231885,0.1,0.5072463768115942,1.0,chroma;dwt;envelope;frequency;mfcc;time
gb_importance,80,r0f0,0,80,0.32462632081584664,3.3221363999764435,0.9044289044289044,0.8273415603430245,0.6971428571428572,0.9575402635431918,0.8079470198675497,0.7484662576687117,0.692727357842936,,,122.0,29.0,654.0,53.0,858.0,175.0,683.0,0.844736725956658,0.10868429183033936,0.11594202898550726,0.1,0.5797101449275363,1.0,chroma;dwt;envelope;frequency;mfcc;time
gb_importance,100,r0f0,0,100,0.35139706453144215,3.3509126999997534,0.9079254079254079,0.8252875967370843,0.6857142857142857,0.9648609077598829,0.8333333333333334,0.7523510971786834,0.7014496838191913,,,120.0,24.0,659.0,55.0,858.0,175.0,683.0,0.8479006738577741,0.10646952829955811,0.14492753623188406,0.1,0.7246376811594203,1.0,chroma;dwt;envelope;frequency;mfcc;time
gb_importance,120,r0f0,0,120,0.3776871406816278,3.459637699997984,0.9102564102564102,0.8288768040158963,0.6914285714285714,0.9663250366032211,0.8402777777777778,0.7586206896551724,0.7091894449909617,,,121.0,23.0,660.0,54.0,858.0,175.0,683.0,0.8517512897094759,0.10377409720336687,0.17391304347826086,0.1,0.8695652173913043,1.0,chroma;dwt;envelope;frequency;mfcc;time
gb_importance,138,r0f0,0,138,0.40646952829955807,3.375589700008277,0.9079254079254079,0.8252875967370843,0.6857142857142857,0.9648609077598829,0.8333333333333334,0.7523510971786834,0.7014496838191913,,,120.0,24.0,659.0,55.0,858.0,175.0,683.0,0.8479006738577741,0.10646952829955811,0.2,0.1,1.0,1.0,chroma;dwt;envelope;frequency;mfcc;time
mutual_info,10,r0f0,1,10,0.2596378568566946,2.0075116000371054,0.8494252873563218,0.825,0.7833333333333333,0.8666666666666667,0.6051502145922747,0.6828087167070218,0.5946021536436205,,,141.0,92.0,598.0,39.0,870.0,180.0,690.0,0.7920449009307529,0.14556856934847298,0.014492753623188408,0.09957653388503324,0.07246376811594203,0.9957653388503324,dwt;frequency;mfcc;time
mutual_info,20,r0f0,1,20,0.27059395063100866,2.1355576000059955,0.8505747126436781,0.8380434782608696,0.8166666666666667,0.8594202898550725,0.6024590163934426,0.6933962264150944,0.6096509789255845,,,147.0,97.0,593.0,33.0,870.0,180.0,690.0,0.7973060159431095,0.14188578883982336,0.028985507246376815,0.09972265454480853,0.14492753623188406,0.9972265454480852,chroma;dwt;frequency;mfcc;time
mutual_info,30,r0f0,1,30,0.29108483168917304,2.2197122999932617,0.8425287356321839,0.8329710144927536,0.8166666666666667,0.8492753623188406,0.5856573705179283,0.6821345707656613,0.5954085100757839,,,147.0,104.0,586.0,33.0,870.0,180.0,690.0,0.7887372624645724,0.1478839162747993,0.043478260869565216,0.09972265454480853,0.21739130434782608,0.9972265454480852,chroma;dwt;frequency;mfcc;time
mutual_info,40,r0f0,1,40,0.30117742062747843,2.377911000046879,0.8494252873563218,0.8352657004830918,0.8111111111111111,0.8594202898550725,0.6008230452674898,0.6903073286052009,0.6054008290691557,,,146.0,97.0,593.0,34.0,870.0,180.0,690.0,0.7954194198075359,0.14320640613472482,0.05797101449275363,0.1,0.2898550724637681,1.0,chroma;dwt;envelope;frequency;mfcc;time
mutual_info,50,r0f0,1,50,0.30824086072756707,2.673697199963499,0.8586206896551725,0.8431159420289855,0.8166666666666667,0.8695652173913043,0.620253164556962,0.7050359712230215,0.6243896025632784,,,147.0,90.0,600.0,33.0,870.0,180.0,690.0,0.8060327248405357,0.13577709261162502,0.07246376811594203,0.1,0.36231884057971014,1.0,chroma;dwt;envelope;frequency;mfcc;time
mutual_info,60,r0f0,1,60,0.32229009957757276,2.5588996000005864,0.8586206896551725,0.8451690821256038,0.8222222222222222,0.8681159420289855,0.6192468619246861,0.7064439140811456,0.6264826545356407,,,148.0,91.0,599.0,32.0,870.0,180.0,690.0,0.8066663173736538,0.13533357783844233,0.08695652173913043,0.1,0.43478260869565216,1.0,chroma;dwt;envelope;frequency;mfcc;time
mutual_info,70,r0f0,1,70,0.33545973228434656,3.1408184000174515,0.860919540229885,0.8445652173913043,0.8166666666666667,0.8724637681159421,0.625531914893617,0.708433734939759,0.6286970675674606,,,147.0,88.0,602.0,33.0,870.0,180.0,690.0,0.808556490111389,0.1340104569220277,0.10144927536231885,0.1,0.5072463768115942,1.0,chroma;dwt;envelope;frequency;mfcc;time
mutual_info,80,r0f0,1,80,0.3477263678815279,2.6986019000178203,0.864367816091954,0.8446859903381643,0.8111111111111111,0.8782608695652174,0.6347826086956522,0.7121951219512195,0.6332285983607961,,,146.0,84.0,606.0,34.0,870.0,180.0,690.0,0.8117366587199706,0.1317843388960206,0.11594202898550726,0.1,0.5797101449275363,1.0,chroma;dwt;envelope;frequency;mfcc;time
mutual_info,100,r0f0,1,100,0.38026111407032637,3.0355971999815665,0.8586206896551725,0.8451690821256038,0.8222222222222222,0.8681159420289855,0.6192468619246861,0.7064439140811456,0.6264826545356407,,,148.0,91.0,599.0,32.0,870.0,180.0,690.0,0.8066663173736538,0.13533357783844233,0.14492753623188406,0.1,0.7246376811594203,1.0,chroma;dwt;envelope;frequency;mfcc;time
mutual_info,120,r0f0,1,120,0.41277398347782657,3.344686599972192,0.8551724137931035,0.8388888888888889,0.8111111111111111,0.8666666666666667,0.6134453781512605,0.6985645933014354,0.6158870973157936,,,146.0,92.0,598.0,34.0,870.0,180.0,690.0,0.8016272285720489,0.13886093999956572,0.17391304347826086,0.1,0.8695652173913043,1.0,chroma;dwt;envelope;frequency;mfcc;time
