ranker,k,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,balanced_accuracy_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,accuracy_mean,accuracy_std,f1_mean,f1_std,j_mean,j_std,seconds_mean,seconds_std,n_evaluations
gb_importance,30,0.8356556315204953,0.03032920403361899,0.8410670266963496,0.027669001842177653,0.7571478461484273,0.055232566168293626,0.9249862072442719,0.029913751792746777,0.8905464417095229,0.02350722252760048,0.7407861923624548,0.04557517717542922,0.2583602877203047,0.021235051539079806,2.266719760004586,0.13059368087897294,15
gb_importance,40,0.8335080917208969,0.032931564850895524,0.8374820961154763,0.03221120199302453,0.7489021991468718,0.06411937152224918,0.926061993084081,0.02996323105457336,0.8897093114107729,0.02459692708149549,0.7368960250680193,0.0503922824020245,0.2744517378541603,0.02303914882407647,2.4289874333306214,0.1913130017883156,15
gb_importance,50,0.834769289741533,0.03175607722973782,0.8387299000522244,0.03185820568432437,0.7507282677143196,0.06584514445629186,0.9267315323901291,0.030220056466763054,0.8906182960956636,0.023849204969296874,0.738836309619731,0.0486080783387084,0.28812526529686894,0.022229254060816463,2.61614581332542,0.2555264710138592,15
gb_importance,60,0.8369947368501383,0.027785730495986,0.8383114498588885,0.026354160143035488,0.7458084224097397,0.056181590073240056,0.9308144773080372,0.028401378835382275,0.8928592267580967,0.021274248729312065,0.7416799422971733,0.04222129261554072,0.3010602059440337,0.0194500113471902,2.623130379993624,0.23266753581602398,15
gb_importance,70,0.8354024126533849,0.03096307266212625,0.8375266763389514,0.030851451547739033,0.7457931049391724,0.06476915365631214,0.9292602477387305,0.030183744394765098,0.8916219994968498,0.023310031816538408,0.7393407096382701,0.047427247190822336,0.3166675865049494,0.021674150863488374,2.93026252000127,0.4132376084078398,15
gb_importance,80,0.8359835033499304,0.031760734562158756,0.8368706575690735,0.030455737539790684,0.7428305019345314,0.06098313758350318,0.9309108132036156,0.029250971963749352,0.8923209552865041,0.023670121761416692,0.7399700573530901,0.04866498893182868,0.33075357664055605,0.022232514193511136,2.893231853322747,0.31146177432494704,15
gb_importance,100,0.8336324227805795,0.03074251238703197,0.8338000370261988,0.029487129641099126,0.7367779685193478,0.06160426166731614,0.9308221055330497,0.030343094309705044,0.8910156043590104,0.023319367881672895,0.7360585696571625,0.04694411464829252,0.3613848402854784,0.021519758670922387,3.3822214933306287,0.390213559806686,15
gb_importance,120,0.8319103023781155,0.031422916219835506,0.8317128664239308,0.029307102434605447,0.732989965427974,0.06109170385132187,0.9304357674198876,0.03145476616894742,0.8899335261889492,0.024007121051806635,0.7332934985331258,0.04783306435270439,0.3915758318135801,0.021996041353884825,3.274035193336507,0.3900921034925876,15
gb_importance,138,0.8312962021524544,0.033086556290640064,0.8306382767628931,0.031703237916234375,0.7303653398060604,0.0644146630511849,0.9309112137197257,0.03099586744207553,0.8897684599244285,0.024635784940220964,0.7321132486622293,0.05087579002592974,0.418092658493282,0.02316058940344806,3.5073687400009175,0.4038323785948651,15
mutual_info,10,0.8119349732536963,0.03489924437499967,0.8244987341355237,0.02849726976483615,0.7447776616742133,0.05383934852423125,0.9042198065968338,0.03924590316067805,0.87149919533039,0.030077923196843694,0.7063127816110354,0.04967594344329651,0.24509455885876066,0.024516335479341445,2.1255052933391805,0.3868778325843167,15
mutual_info,20,0.8200217372520113,0.036970008471540076,0.8253943238694809,0.030332935729684242,0.7334582492141578,0.05770535103536542,0.9173303985248038,0.039009966622202685,0.8796011540477253,0.03022133528426008,0.7166702070905882,0.05421169768381861,0.2543482025181618,0.02580101200528282,2.2814892399978515,0.3363274791613644,15
mutual_info,30,0.820247357812224,0.03568787941792695,0.8255478767377551,0.03093701991627968,0.7333663018070224,0.0640226906631077,0.9177294516684877,0.03974936045962886,0.8799148663914605,0.029541185251907673,0.7169166520222304,0.05227541605384935,0.26893489627342304,0.024931763055218856,2.438910086658628,0.37975758554168126,15
