exp_id,model_id,task,repeat,fold,fold_label,n_train,n_test,n_features,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,mcc,roc_auc,pr_auc,tp,fp,tn,fn,support,n_positive,n_negative,brier,ece,fit_seconds,predict_seconds,params,note
EXP-F1,M3,binary,2,1,r2f1,2589,651,24,0.8648233486943164,0.7435116487196513,0.5373134328358209,0.9497098646034816,0.7346938775510204,0.6206896551724138,0.5506451318047246,0.9052513063310141,0.7033722124850706,72.0,26.0,491.0,62.0,651.0,134.0,517.0,0.20235221987999044,0.057190900444919125,2.250955,2.500817,{},config defaults
EXP-F1,M3,binary,2,2,r2f2,2585,655,24,0.8809160305343512,0.7475410760082293,0.5182481751824818,0.9768339768339769,0.8554216867469879,0.6454545454545455,0.6052926117689204,0.9272891243694165,0.7920239590052239,71.0,12.0,506.0,66.0,655.0,137.0,518.0,0.18716188380840887,0.06599887656819642,2.312349,1.327458,{},config defaults
EXP-F1,M3,binary,2,3,r2f3,2597,643,24,0.8600311041990669,0.713293177480916,0.46564885496183206,0.9609375,0.7530864197530864,0.5754716981132075,0.5178058120733231,0.903133945610687,0.668050633598925,61.0,20.0,492.0,70.0,643.0,131.0,512.0,0.20577362461370854,0.052109111563637886,1.260002,1.595805,{},config defaults
EXP-F1,M3,binary,2,4,r2f4,2593,647,24,0.8639876352395672,0.7483598117093262,0.553030303030303,0.9436893203883495,0.7156862745098039,0.6239316239316239,0.5492923627083897,0.9030744336569579,0.6861028193468851,73.0,29.0,486.0,59.0,647.0,132.0,515.0,0.20212719061847442,0.061625654731396536,2.144489,1.610145,{},config defaults
EXP-F1,M3,binary,3,0,r3f0,2596,644,24,0.8167701863354038,0.646250911417645,0.35877862595419846,0.9337231968810916,0.5802469135802469,0.44339622641509435,0.35507999117547806,0.8430427213070845,0.5302647610778983,47.0,34.0,479.0,84.0,644.0,131.0,513.0,0.24737924692814198,0.0422811940203853,2.039222,1.669105,{},config defaults
EXP-F1,M3,binary,3,1,r3f1,2593,647,24,0.8686244204018547,0.7484554280670785,0.5454545454545454,0.9514563106796117,0.7422680412371134,0.62882096069869,0.560921198404322,0.9160047072668431,0.6871394041776373,72.0,25.0,490.0,60.0,647.0,132.0,515.0,0.19340796966938575,0.05820099866279568,2.287037,1.481003,{},config defaults
EXP-F1,M3,binary,3,2,r3f2,2585,655,24,0.8656488549618321,0.7334452567154028,0.5073529411764706,0.9595375722543352,0.7666666666666667,0.6106194690265486,0.5500760092309154,0.9086478522044656,0.7373129830659794,69.0,21.0,498.0,67.0,655.0,136.0,519.0,0.20249235446701316,0.0683259896175209,2.137369,1.589616,{},config defaults
EXP-F1,M3,binary,3,3,r3f3,2589,651,24,0.858678955453149,0.7330964685615848,0.5185185185185185,0.9476744186046512,0.7216494845360825,0.603448275862069,0.5307825971991766,0.9119006603502727,0.7185946290814964,70.0,27.0,489.0,65.0,651.0,135.0,516.0,0.1969532436267983,0.05324429167390657,2.196676,1.445559,{},config defaults
EXP-F1,M3,binary,3,4,r3f4,2597,643,24,0.8475894245723172,0.6884392891221374,0.4198473282442748,0.95703125,0.7142857142857143,0.5288461538461539,0.4675397098796229,0.8950232585877863,0.6636234219642997,55.0,22.0,490.0,76.0,643.0,131.0,512.0,0.21180680131514554,0.03544851795426983,2.161755,2.046901,{},config defaults
EXP-F1,M3,binary,4,0,r4f0,2585,655,24,0.8244274809160306,0.7020075371188939,0.49264705882352944,0.9113680154142582,0.5929203539823009,0.5381526104417671,0.43372238525222495,0.8542162529751784,0.5883845624372325,67.0,46.0,473.0,69.0,655.0,136.0,519.0,0.24193668657008957,0.03612459423705938,2.437136,1.912689,{},config defaults
EXP-F1,M3,binary,4,1,r4f1,2596,644,24,0.8742236024844721,0.7221031799175632,0.46564885496183206,0.9785575048732943,0.8472222222222222,0.6009852216748769,0.5674333274871317,0.9135008853771409,0.7180769829344545,61.0,11.0,502.0,70.0,644.0,131.0,513.0,0.19709011933198545,0.050268421263291806,2.811746,1.763306,{},config defaults
EXP-F1,M3,binary,4,2,r4f2,2593,647,24,0.8593508500772797,0.7313621653427478,0.5151515151515151,0.9475728155339805,0.7157894736842105,0.5991189427312775,0.526843437238818,0.8989555751691675,0.6772607341824184,68.0,27.0,488.0,64.0,647.0,132.0,515.0,0.20529965497815064,0.03724879066941154,2.013494,1.737796,{},config defaults
EXP-F1,M3,binary,4,3,r4f3,2589,651,24,0.8663594470046083,0.7215331610680448,0.4740740740740741,0.9689922480620154,0.8,0.5953488372093023,0.5471386916963049,0.9365920183749642,0.7586201274507581,64.0,16.0,500.0,71.0,651.0,135.0,516.0,0.18620758949066724,0.08147365513717733,2.261308,1.707473,{},config defaults
EXP-F1,M3,binary,4,4,r4f4,2597,643,24,0.8475894245723172,0.7140013716603053,0.48854961832061067,0.939453125,0.6736842105263158,0.5663716814159292,0.485808488684349,0.8826484971374047,0.6261889034263923,64.0,31.0,481.0,67.0,643.0,131.0,512.0,0.21880588873367268,0.04904239957103326,2.217388,1.679613,{},config defaults
EXP-F1,M4,binary,0,0,r0f0,2593,647,24,0.8315301391035549,0.8012135922330097,0.75,0.8524271844660194,0.5657142857142857,0.6449511400651465,0.5465188144919322,0.8895851721094439,0.6279777006584866,99.0,76.0,439.0,33.0,647.0,132.0,515.0,0.24005917774343122,0.032853168469860895,6.735384,1.992911,{},config defaults
EXP-F1,M4,binary,0,1,r0f1,2589,651,24,0.9062980030721967,0.8497863679667427,0.753731343283582,0.9458413926499033,0.7829457364341085,0.7680608365019012,0.7095784863622784,0.9485839660498283,0.8526840039164565,101.0,28.0,489.0,33.0,651.0,134.0,517.0,0.15167653456221197,0.07593241167434722,8.614892,1.577606,{},config defaults
EXP-F1,M4,binary,0,2,r0f2,2596,644,24,0.8913043478260869,0.7669300477657248,0.5572519083969466,0.9766081871345029,0.8588235294117647,0.6759259259259259,0.634901602765158,0.9296683183786438,0.8001331546612894,73.0,12.0,501.0,58.0,644.0,131.0,513.0,0.16655812422360247,0.04476708074534165,5.890279,1.576433,{},config defaults
EXP-F1,M4,binary,0,3,r0f3,2585,655,24,0.8564885496183207,0.7777315897753854,0.6423357664233577,0.9131274131274131,0.6616541353383458,0.6518518518518519,0.5615900017702611,0.8972817969168334,0.7598919685018989,88.0,45.0,473.0,49.0,655.0,137.0,518.0,0.20537680610687026,0.04895877862595417,5.843895,1.186845,{},config defaults
EXP-F1,M4,binary,0,4,r0f4,2597,643,24,0.8755832037325039,0.8679106035305344,0.8549618320610687,0.880859375,0.6473988439306358,0.7368421052631579,0.6682992107591316,0.9298291388358778,0.7658582224961239,112.0,61.0,451.0,19.0,643.0,131.0,512.0,0.20142556765163297,0.05018973561430797,5.440897,1.358586,{},config defaults
EXP-F1,M4,binary,1,0,r1f0,2593,647,24,0.8330757341576507,0.7683804060017652,0.6590909090909091,0.8776699029126214,0.58,0.6170212765957447,0.5125633594401781,0.887989114445425,0.6336349626159985,87.0,63.0,452.0,45.0,647.0,132.0,515.0,0.23984217619783615,0.02466769706336943,6.135063,1.603479,{},config defaults
EXP-F1,M4,binary,1,1,r1f1,2585,655,24,0.8946564885496183,0.8385682307605122,0.7426470588235294,0.9344894026974951,0.7481481481481481,0.7453874538745388,0.6789859329383545,0.9355307151762439,0.8220786507209936,101.0,34.0,485.0,35.0,655.0,136.0,519.0,0.17259830229007633,0.07008244274809154,6.418231,1.659033,{},config defaults
EXP-F1,M4,binary,1,2,r1f2,2596,644,24,0.8913043478260869,0.8124042081454697,0.6793893129770993,0.9454191033138402,0.7606837606837606,0.717741935483871,0.6522933677898561,0.9516241834441915,0.8624431450317316,89.0,28.0,485.0,42.0,644.0,131.0,513.0,0.1435392298136646,0.06884472049689438,5.932,1.605335,{},config defaults
