run,task,model_id,n_bins,bin,bin_low,bin_high,n_predictions,n_correct,n_incorrect,accuracy_in_bin,share_of_predictions,n_folds_pooled,n_classes
EXP-A2,binary,M4,20,2,0.1,0.15000000000000002,0,0,0,,0.0,25,2
EXP-A2,binary,M4,20,3,0.15000000000000002,0.2,0,0,0,,0.0,25,2
EXP-A2,binary,M4,20,4,0.2,0.25,0,0,0,,0.0,25,2
EXP-A2,binary,M4,20,5,0.25,0.30000000000000004,0,0,0,,0.0,25,2
EXP-A2,binary,M4,20,6,0.30000000000000004,0.35000000000000003,0,0,0,,0.0,25,2
EXP-A2,binary,M4,20,7,0.35000000000000003,0.4,0,0,0,,0.0,25,2
EXP-A2,binary,M4,20,8,0.4,0.45,0,0,0,,0.0,25,2
EXP-A2,binary,M4,20,9,0.45,0.5,0,0,0,,0.0,25,2
EXP-A2,binary,M4,20,10,0.5,0.55,1212,678,534,0.5594059405940595,0.07481481481481482,25,2
EXP-A2,binary,M4,20,11,0.55,0.6000000000000001,1130,742,388,0.6566371681415929,0.06975308641975309,25,2
EXP-A2,binary,M4,20,12,0.6000000000000001,0.65,989,693,296,0.7007077856420627,0.061049382716049386,25,2
EXP-A2,binary,M4,20,13,0.65,0.7000000000000001,839,646,193,0.7699642431466031,0.05179012345679012,25,2
EXP-A2,binary,M4,20,14,0.7000000000000001,0.75,742,609,133,0.8207547169811321,0.04580246913580247,25,2
EXP-A2,binary,M4,20,15,0.75,0.8,752,632,120,0.8404255319148937,0.046419753086419754,25,2
EXP-A2,binary,M4,20,16,0.8,0.8500000000000001,961,840,121,0.8740894901144641,0.059320987654320985,25,2
EXP-A2,binary,M4,20,17,0.8500000000000001,0.9,1355,1232,123,0.9092250922509225,0.08364197530864198,25,2
EXP-A2,binary,M4,20,18,0.9,0.9500000000000001,2215,2080,135,0.9390519187358917,0.1367283950617284,25,2
EXP-A2,binary,M4,20,19,0.9500000000000001,1.0,6005,5972,33,0.994504579517069,0.370679012345679,25,2
EXP-A2,binary,M5,20,0,0.0,0.05,0,0,0,,0.0,25,2
EXP-A2,binary,M5,20,1,0.05,0.1,0,0,0,,0.0,25,2
EXP-A2,binary,M5,20,2,0.1,0.15000000000000002,0,0,0,,0.0,25,2
EXP-A2,binary,M5,20,3,0.15000000000000002,0.2,0,0,0,,0.0,25,2
EXP-A2,binary,M5,20,4,0.2,0.25,0,0,0,,0.0,25,2
EXP-A2,binary,M5,20,5,0.25,0.30000000000000004,0,0,0,,0.0,25,2
EXP-A2,binary,M5,20,6,0.30000000000000004,0.35000000000000003,0,0,0,,0.0,25,2
EXP-A2,binary,M5,20,7,0.35000000000000003,0.4,0,0,0,,0.0,25,2
EXP-A2,binary,M5,20,8,0.4,0.45,0,0,0,,0.0,25,2
EXP-A2,binary,M5,20,9,0.45,0.5,0,0,0,,0.0,25,2
EXP-A2,binary,M5,20,10,0.5,0.55,819,452,367,0.5518925518925519,0.050555555555555555,25,2
EXP-A2,binary,M5,20,11,0.55,0.6000000000000001,868,567,301,0.6532258064516129,0.053580246913580244,25,2
EXP-A2,binary,M5,20,12,0.6000000000000001,0.65,962,700,262,0.7276507276507277,0.059382716049382715,25,2
EXP-A2,binary,M5,20,13,0.65,0.7000000000000001,696,444,252,0.6379310344827587,0.04296296296296296,25,2
EXP-A2,binary,M5,20,14,0.7000000000000001,0.75,659,482,177,0.7314112291350531,0.040679012345679014,25,2
EXP-A2,binary,M5,20,15,0.75,0.8,754,594,160,0.7877984084880637,0.04654320987654321,25,2
EXP-A2,binary,M5,20,16,0.8,0.8500000000000001,907,726,181,0.8004410143329658,0.05598765432098765,25,2
