task,model_id,kind,feature,importance_mean,importance_sd,importance_min,importance_max,rank_mean,rank_sd,rank_best,rank_worst,n_folds,n_folds_positive,rank
binary,M4,permutation,mfcc_04_mean,0.02456421031272211,0.0045158915376406145,0.017454398352456556,0.028715235926967553,2.0,0.7071067811865476,1,3,5,5,2
binary,M4,permutation,dwt_cD1_entropy,0.020005821531552906,0.007391443503412825,0.013270079435127946,0.029843905778015867,3.2,1.0954451150103321,2,5,5,5,3
binary,M4,permutation,dwt_cD2_entropy,0.006101584627992833,0.005178388012908174,-0.001513680494263081,0.010695262520079952,27.2,44.22329702769797,4,106,5,4,4
binary,M4,permutation,dwt_cD1_energy,0.004076361874535646,0.0032873708906479534,-0.0009945437223938924,0.0070387046755725265,27.0,35.30580688781946,4,87,5,4,5
binary,M4,permutation,freq_flux_mean,0.002958745431329064,0.0039929259293073095,0.00043460758587789974,0.010012945850631626,32.2,30.244007670942022,5,82,5,5,6
binary,M4,permutation,dwt_cD2_energy,0.002505905028671318,0.0027604009348979196,-0.0013539651837524147,0.005173132151838433,36.4,38.44866707702622,8,99,5,4,7
binary,M4,permutation,dwt_cD1_std,0.0024986238333014454,0.004023996239451307,-0.003620196887900973,0.006789166643181166,43.6,53.068823239261675,4,128,5,4,8
binary,M4,permutation,mfcc_05_std,0.0024821550136262483,0.006660012053070601,-0.002920741889312983,0.013951758106036927,58.4,58.13174692025004,4,137,5,3,9
binary,M4,permutation,freq_band_power_350_400,0.002243190589763502,0.0041172079030149696,-0.004090043015098632,0.006275345896946583,44.0,51.894122981316485,5,131,5,4,10
binary,M4,permutation,time_duration,0.0021828952954252067,0.007057612279188917,-0.003953368637834687,0.014384075752764203,74.4,51.36925150320958,3,133,5,2,11
binary,M4,permutation,chroma_02_mean,0.002179475893121217,0.002444676675559035,-0.001506250180432478,0.004614886001747198,38.4,36.370317568038914,13,101,5,4,12
binary,M4,permutation,mfcc_01_std,0.001936616780171698,0.0016863658379384437,0.0003980779528224065,0.00467761855869524,34.4,26.651453994106966,13,72,5,5,13
binary,M4,permutation,mfcc_13_mean,0.0019076271953966596,0.0018516355885663343,-0.0003883495145631244,0.0034351145038167496,34.2,26.527344382730814,17,80,5,4,14
binary,M4,permutation,time_energy,0.0018856444737887612,0.008023720786363545,-0.007600851152478316,0.012463552642974662,75.2,65.28169728185688,5,136,5,2,15
binary,M4,permutation,mfcc_02_mean,0.0017835396793729342,0.0026478183319570843,-0.0011605415860734935,0.005806288409743588,43.2,34.73758771129625,10,94,5,4,16
binary,M4,permutation,freq_band_power_250_350,0.001680283320923721,0.003658969769789849,-0.003910332284419349,0.005327143133491063,47.2,50.14678454297942,6,130,5,4,17
binary,M4,permutation,dwt_cD5_mean_abs,0.001464753612678864,0.003485213188565762,-0.0019068102427899358,0.005359608826762041,62.6,51.39357936551997,6,112,5,3,18
binary,M4,permutation,chroma_09_mean,0.0014521600212850827,0.0027163532093566257,-0.0017494293041738773,0.0037878787878786735,50.0,47.41835087811469,8,106,5,3,19
binary,M4,permutation,freq_rolloff95_mean,0.001433053534945641,0.0017901536768838873,-0.001533675914431698,0.0028170050014709735,43.2,34.92420364160076,11,102,5,4,20
binary,M5,permutation,mfcc_04_mean,0.03797185886015552,0.02538408233225461,0.013125183877611002,0.06841807657396252,1.8,0.8366600265340756,1,3,5,5,1
binary,M5,permutation,dwt_cD1_entropy,0.027158400686757688,0.01176884314931856,0.011340835539864647,0.0422354656786156,2.0,0.7071067811865476,1,3,5,5,2
binary,M5,permutation,time_zcr_mean,0.01916900711234894,0.009302157953644086,0.008956667340281166,0.0331644420635984,3.0,2.0,1,5,5,5,3
binary,M5,permutation,dwt_cD5_energy,0.009255791659822623,0.008447492348186373,-0.0011115575197535254,0.021938422009873237,26.4,47.87274798880883,3,112,5,4,4
binary,M5,permutation,dwt_cD1_energy,0.005399388636947404,0.011183588782593458,-0.006369520447190346,0.023185750922977266,54.0,63.95701681598353,3,134,5,3,5
binary,M5,permutation,mfcc_02_mean,0.004696739414143105,0.005792435459834336,-0.001008978319235554,0.013280303243806978,47.2,54.06200144278789,6,121,5,3,6
binary,M5,permutation,mfcc_05_std,0.0036402172232216203,0.011507616886743564,-0.012561128339694727,0.015892491122722906,50.2,63.14427923414757,4,138,5,3,7
binary,M5,permutation,time_iqr,0.0029434196703661208,0.00807946964396125,-0.009885260370697257,0.008442073962874186,51.0,62.44997998398398,4,138,5,3,8
binary,M5,permutation,chroma_07_std,0.00270694562904473,0.002988958575907374,0.0,0.006915269196822593,31.6,25.025986494042545,4,62,5,4,9
binary,M5,permutation,mfcc_01_mean,0.002567279249309047,0.004792882561472618,-0.0006700500147102329,0.010982019558661982,51.0,36.24913792078372,8,98,5,4,10
binary,M5,permutation,freq_centroid_std,0.002379451716075469,0.0026600321259613708,-0.0004826254826254539,0.00626906536910562,34.2,29.192464781172554,12,82,5,4,11
