exp_id,model_id,task,repeat,fold,n_train,n_test,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,support,n_classes,ovr_auc_macro,precision_Benign,recall_Benign,f1_Benign,support_Benign,precision_CAD,recall_CAD,f1_CAD,support_CAD,precision_MVP,recall_MVP,f1_MVP,support_MVP,precision_Other pathologic,recall_Other pathologic,f1_Other pathologic,support_Other pathologic,precision_Pathologic,recall_Pathologic,f1_Pathologic,support_Pathologic
EXP-G1,M4,diagnosis_multiclass,0,2,532,133,0.6842105263157895,0.5832897653737235,0.5868844145224752,0.6814000629931434,0.6008336491095111,0.5832897653737235,133.0,5.0,0.8848193431039268,0.46153846153846156,0.5217391304347826,0.4897959183673469,23.0,0.9310344827586207,0.9310344827586207,0.9310344827586207,58.0,0.41379310344827586,0.4444444444444444,0.42857142857142855,27.0,0.42857142857142855,0.25,0.3157894736842105,12.0,0.7692307692307693,0.7692307692307693,0.7692307692307693,13.0
EXP-G1,M4,diagnosis_multiclass,0,3,532,133,0.7293233082706767,0.6497909165075582,0.630420296367159,0.7130069815143154,0.6663428686659176,0.6497909165075582,133.0,5.0,0.8778851143384795,0.4473684210526316,0.7391304347826086,0.5573770491803278,23.0,0.9827586206896551,0.9827586206896551,0.9827586206896551,58.0,0.4444444444444444,0.2962962962962963,0.35555555555555557,27.0,0.6,0.23076923076923078,0.3333333333333333,13.0,0.8571428571428571,1.0,0.9230769230769231,12.0
EXP-G1,M4,diagnosis_multiclass,0,4,533,132,0.6742424242424242,0.5615443290500498,0.5539367961571494,0.6595750707048718,0.5557539682539683,0.5615443290500498,132.0,5.0,0.8860161048354538,0.3888888888888889,0.30434782608695654,0.34146341463414637,23.0,0.9166666666666666,0.9649122807017544,0.9401709401709402,57.0,0.4375,0.5384615384615384,0.4827586206896552,26.0,0.25,0.15384615384615385,0.19047619047619047,13.0,0.7857142857142857,0.8461538461538461,0.8148148148148148,13.0
EXP-G1,M5,diagnosis_multiclass,0,0,532,133,0.6917293233082706,0.5896788124156546,0.5905956268555385,0.680910640372757,0.6196917450365726,0.5896788124156546,133.0,5.0,0.8790045252778927,0.5,0.36,0.4186046511627907,25.0,0.9310344827586207,0.9473684210526315,0.9391304347826087,57.0,0.425,0.6538461538461539,0.5151515151515151,26.0,0.3333333333333333,0.15384615384615385,0.21052631578947367,13.0,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0
EXP-G1,M5,diagnosis_multiclass,0,1,531,134,0.7388059701492538,0.6850732600732601,0.6846677132391418,0.7331123034747768,0.6856923076923077,0.6850732600732601,134.0,5.0,0.9164744889187428,0.44,0.4583333333333333,0.4489795918367347,24.0,0.95,1.0,0.9743589743589743,57.0,0.5,0.42857142857142855,0.46153846153846156,28.0,0.5384615384615384,0.5384615384615384,0.5384615384615384,13.0,1.0,1.0,1.0,12.0
EXP-G1,M5,diagnosis_multiclass,0,2,532,133,0.7142857142857143,0.5931591896359512,0.608262290304366,0.7183299426322131,0.6402390591864275,0.5931591896359512,133.0,5.0,0.8982646723294383,0.47368421052631576,0.391304347826087,0.42857142857142855,23.0,0.9824561403508771,0.9655172413793104,0.9739130434782609,58.0,0.5142857142857142,0.6666666666666666,0.5806451612903226,27.0,0.23076923076923078,0.25,0.24,12.0,1.0,0.6923076923076923,0.8181818181818182,13.0
EXP-G1,M5,diagnosis_multiclass,0,3,532,133,0.706766917293233,0.6145390979723813,0.6252004087330715,0.7099920259610211,0.6599999999999999,0.6145390979723813,133.0,5.0,0.8869148812291014,0.36666666666666664,0.4782608695652174,0.41509433962264153,23.0,1.0,0.9655172413793104,0.9824561403508771,58.0,0.43333333333333335,0.48148148148148145,0.45614035087719296,27.0,0.5,0.23076923076923078,0.3157894736842105,13.0,1.0,0.9166666666666666,0.9565217391304348,12.0
EXP-G1,M5,diagnosis_multiclass,0,4,533,132,0.7121212121212122,0.5988323651939212,0.5927934714375392,0.6966738952614658,0.5959442197147115,0.5988323651939212,132.0,5.0,0.8849651758411176,0.45454545454545453,0.43478260869565216,0.4444444444444444,23.0,0.9180327868852459,0.9824561403508771,0.9491525423728814,57.0,0.5357142857142857,0.5769230769230769,0.5555555555555556,26.0,0.2857142857142857,0.15384615384615385,0.2,13.0,0.7857142857142857,0.8461538461538461,0.8148148148148148,13.0
EXP-G1,M6,diagnosis_multiclass,0,0,532,133,0.7518796992481203,0.6389743589743591,0.6401449933465744,0.7241254926238135,0.7852825483340189,0.6389743589743591,133.0,5.0,0.8853236573079265,0.5882352941176471,0.4,0.47619047619047616,25.0,0.890625,1.0,0.9421487603305785,57.0,0.5384615384615384,0.8076923076923077,0.6461538461538462,26.0,1.0,0.15384615384615385,0.26666666666666666,13.0,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0
EXP-G1,M6,diagnosis_multiclass,0,1,531,134,0.7164179104477612,0.6248168498168498,0.6154000015862063,0.6901875381237003,0.7356703296703297,0.6248168498168498,134.0,5.0,0.8993311719726815,0.4642857142857143,0.5416666666666666,0.5,24.0,0.8769230769230769,1.0,0.9344262295081968,57.0,0.48,0.42857142857142855,0.4528301886792453,28.0,1.0,0.15384615384615385,0.26666666666666666,13.0,0.8571428571428571,1.0,0.9230769230769231,12.0
EXP-G1,M6,diagnosis_multiclass,0,2,532,133,0.6766917293233082,0.532362451253006,0.5243524836745176,0.6430990529372076,0.5226795263559969,0.532362451253006,133.0,5.0,0.8907228203367108,0.42857142857142855,0.391304347826087,0.4090909090909091,23.0,0.8382352941176471,0.9827586206896551,0.9047619047619048,58.0,0.4375,0.5185185185185185,0.4745762711864407,27.0,0.0,0.0,0.0,12.0,0.9090909090909091,0.7692307692307693,0.8333333333333334,13.0
EXP-G1,M6,diagnosis_multiclass,0,3,532,133,0.706766917293233,0.5917131178000744,0.5666733009119399,0.6744112745547497,0.7345959595959596,0.5917131178000744,133.0,5.0,0.8928428898638281,0.4222222222222222,0.8260869565217391,0.5588235294117647,23.0,0.9666666666666667,1.0,0.9830508474576272,58.0,0.375,0.2222222222222222,0.27906976744186046,27.0,1.0,0.07692307692307693,0.14285714285714285,13.0,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0
EXP-G1,M6,diagnosis_multiclass,0,4,533,132,0.7272727272727273,0.6043478260869566,0.6152400674950146,0.7055271421067556,0.694989898989899,0.6043478260869566,132.0,5.0,0.8957758287821982,0.48,0.5217391304347826,0.5,23.0,0.8636363636363636,1.0,0.926829268292683,57.0,0.5555555555555556,0.5769230769230769,0.5660377358490566,26.0,0.6666666666666666,0.15384615384615385,0.25,13.0,0.9090909090909091,0.7692307692307693,0.8333333333333334,13.0
EXP-G1,M7,diagnosis_multiclass,0,0,532,133,0.7142857142857143,0.6117732793522268,0.6141806722689076,0.6946173206124555,0.6861663171210759,0.6117732793522268,133.0,5.0,0.8757096241634847,0.47058823529411764,0.32,0.38095238095238093,25.0,0.9032258064516129,0.9824561403508771,0.9411764705882353,57.0,0.47368421052631576,0.6923076923076923,0.5625,26.0,0.75,0.23076923076923078,0.35294117647058826,13.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,12.0
EXP-G1,M7,diagnosis_multiclass,0,1,531,134,0.7164179104477612,0.6389194139194139,0.6428016535312586,0.6916028853970898,0.6986335403726709,0.6389194139194139,134.0,5.0,0.909798277236517,0.5,0.4583333333333333,0.4782608695652174,24.0,0.8142857142857143,1.0,0.8976377952755905,57.0,0.5217391304347826,0.42857142857142855,0.47058823529411764,28.0,0.8,0.3076923076923077,0.4444444444444444,13.0,0.8571428571428571,1.0,0.9230769230769231,12.0
EXP-G1,M7,diagnosis_multiclass,0,2,532,133,0.6842105263157895,0.5768130891819048,0.5933328227283428,0.6751347006586002,0.6626373626373626,0.5768130891819048,133.0,5.0,0.8861709244188948,0.35714285714285715,0.43478260869565216,0.39215686274509803,23.0,0.9047619047619048,0.9827586206896551,0.9421487603305785,58.0,0.38461538461538464,0.37037037037037035,0.37735849056603776,27.0,0.75,0.25,0.375,12.0,0.9166666666666666,0.8461538461538461,0.88,13.0
EXP-G1,M7,diagnosis_multiclass,0,3,532,133,0.7293233082706767,0.6497909165075582,0.630420296367159,0.7130069815143154,0.6663428686659176,0.6497909165075582,133.0,5.0,0.8778851143384795,0.4473684210526316,0.7391304347826086,0.5573770491803278,23.0,0.9827586206896551,0.9827586206896551,0.9827586206896551,58.0,0.4444444444444444,0.2962962962962963,0.35555555555555557,27.0,0.6,0.23076923076923078,0.3333333333333333,13.0,0.8571428571428571,1.0,0.9230769230769231,12.0
EXP-G1,M7,diagnosis_multiclass,0,4,533,132,0.6742424242424242,0.5548553658393475,0.5495459655370375,0.6561642946971864,0.5602764976958526,0.5548553658393475,132.0,5.0,0.887447216170847,0.4,0.34782608695652173,0.37209302325581395,23.0,0.8870967741935484,0.9649122807017544,0.9243697478991597,57.0,0.4666666666666667,0.5384615384615384,0.5,26.0,0.3333333333333333,0.15384615384615385,0.21052631578947367,13.0,0.7142857142857143,0.7692307692307693,0.7407407407407407,13.0
