model_id,model_name,class_name,precision_mean,precision_sd,precision_fold_ci,recall_mean,recall_sd,recall_fold_ci,f1_mean,f1_sd,f1_fold_ci,support_mean
M5,Gradient Boosting,Pathologic,0.938961038961039,0.09427891643055343,"[0.8219, 1.0560]",0.8576923076923076,0.11380687703165203,"[0.7164, 0.9990]",0.8918167179036744,0.08327196873572557,"[0.7884, 0.9952]",12.4
M6,Soft Voting (equal weights),Benign,0.4766629318394024,0.06687545721866757,"[0.3936, 0.5597]",0.5361594202898551,0.1759393578337452,"[0.3177, 0.7546]",0.48882098293862997,0.05400627679751302,"[0.4218, 0.5559]",23.6
M6,Soft Voting (equal weights),CAD,0.8872172802687508,0.04843831843650406,"[0.8271, 0.9474]",0.9965517241379309,0.0077105792327579106,"[0.9870, 1.0061]",0.9382434020701981,0.02867412990638827,"[0.9026, 0.9738]",57.4
M6,Soft Voting (equal weights),MVP,0.4773034188034188,0.07402919306572545,"[0.3854, 0.5692]",0.5107855107855108,0.2136677034166706,"[0.2455, 0.7761]",0.4837335618620899,0.13791344114894516,"[0.3125, 0.6550]",26.8
M6,Soft Voting (equal weights),Other pathologic,0.7333333333333333,0.4346134936801766,"[0.1937, 1.2730]",0.10769230769230771,0.06880209161537815,"[0.0223, 0.1931]",0.18523809523809526,0.11572016445972168,"[0.0416, 0.3289]",12.8
M6,Soft Voting (equal weights),Pathologic,0.8987012987012987,0.023231875090906913,"[0.8699, 0.9275]",0.841025641025641,0.09447247911251556,"[0.7237, 0.9583]",0.8657748049052397,0.03680069753446331,"[0.8201, 0.9115]",12.4
M7,Soft Voting (optimized weights),Benign,0.43501990269792123,0.05685778980046464,"[0.3644, 0.5056]",0.4600144927536231,0.16638470478171125,"[0.2534, 0.6666]",0.4361680371397677,0.07992932926259959,"[0.3369, 0.5354]",23.6
M7,Soft Voting (optimized weights),CAD,0.898425764076487,0.05996480588788524,"[0.8240, 0.9729]",0.9825771324863884,0.012406488383126945,"[0.9672, 0.9980]",0.9376182789566438,0.031003221975674684,"[0.8991, 0.9761]",57.4
M7,Soft Voting (optimized weights),MVP,0.45822996733751886,0.049881290972200155,"[0.3963, 0.5202]",0.46520146520146516,0.15476427958169325,"[0.2730, 0.6574]",0.4532004562831422,0.0862053548361246,"[0.3462, 0.5602]",26.8
M7,Soft Voting (optimized weights),Other pathologic,0.6466666666666667,0.19054016782703737,"[0.4101, 0.8833]",0.23461538461538467,0.055068542551062895,"[0.1662, 0.3030]",0.34324905400756794,0.0852294163002461,"[0.2374, 0.4491]",12.8
M7,Soft Voting (optimized weights),Pathologic,0.8357142857142857,0.07453559924999296,"[0.7432, 0.9283]",0.8897435897435898,0.1047836755984746,"[0.7596, 1.0198]",0.8600455840455841,0.07630738511172498,"[0.7653, 0.9548]",12.4
