exp_id,model_id,task,repeat,fold,fold_label,n_train,n_test,n_features,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,mcc,roc_auc,pr_auc,tp,fp,tn,fn,support,n_positive,n_negative,brier,ece,fit_seconds,predict_seconds,params,note
EXP-A1,M4,binary,2,0,r2f0,2596,644,138,0.8524844720496895,0.793722006458045,0.6946564885496184,0.8927875243664717,0.6232876712328768,0.6570397111913358,0.5647675209540792,0.9038510185557194,0.6710491260098858,91.0,55.0,458.0,40.0,644.0,131.0,513.0,0.21770542857142855,0.03533850931677017,5.11218,0.387805,{},config defaults
EXP-A1,M4,binary,2,1,r2f1,2589,651,138,0.8986175115207373,0.8394223274343948,0.7388059701492538,0.9400386847195358,0.7615384615384615,0.75,0.6865584800225221,0.9491757845203384,0.8226470811624903,99.0,31.0,486.0,35.0,651.0,134.0,517.0,0.16128583717357914,0.06481413210445472,5.197183,0.401539,{},config defaults
EXP-A1,M4,binary,2,2,r2f2,2585,655,138,0.9297709923664123,0.8831200856748302,0.8029197080291971,0.9633204633204633,0.8527131782945736,0.8270676691729323,0.7836143005499688,0.9621931629230899,0.886481526193578,110.0,19.0,499.0,27.0,655.0,137.0,518.0,0.14722869007633588,0.10471145038167934,4.696459,0.453777,{},config defaults
EXP-A1,M4,binary,2,3,r2f3,2597,643,138,0.9175738724727839,0.8800766340648856,0.816793893129771,0.943359375,0.7867647058823529,0.8014981273408239,0.749718731104271,0.9561888716603053,0.8202994538787255,107.0,29.0,483.0,24.0,643.0,131.0,512.0,0.15339631726283048,0.08046967340590973,4.899702,0.493823,{},config defaults
EXP-A1,M4,binary,2,4,r2f4,2593,647,138,0.9026275115919629,0.8346057664018829,0.7196969696969697,0.9495145631067962,0.7851239669421488,0.7509881422924901,0.6916214270200112,0.944321859370403,0.813854322981121,95.0,26.0,489.0,37.0,647.0,132.0,515.0,0.15824600927357033,0.04713446676970626,4.72631,0.503602,{},config defaults
EXP-A1,M4,binary,3,0,r3f0,2596,644,138,0.8571428571428571,0.78811957799503,0.6717557251908397,0.9044834307992202,0.6423357664233577,0.6567164179104478,0.5668039038796558,0.90754877014419,0.6972233947836141,88.0,49.0,464.0,43.0,644.0,131.0,513.0,0.21415562732919255,0.02974534161490687,4.677357,0.49533,{},config defaults
EXP-A1,M4,binary,3,1,r3f1,2593,647,138,0.8995363214837713,0.8664680788467196,0.8106060606060606,0.9223300970873787,0.7278911564625851,0.7670250896057348,0.7048765420639624,0.9494189467490439,0.8166436603169158,107.0,40.0,475.0,25.0,647.0,132.0,515.0,0.15798668315301392,0.048646058732612046,4.610987,0.34218,{},config defaults
EXP-A1,M4,binary,3,2,r3f2,2585,655,138,0.9083969465648855,0.8662303071517624,0.7941176470588235,0.9383429672447013,0.7714285714285715,0.782608695652174,0.7247192173246618,0.9560948656919415,0.8546145127713657,108.0,32.0,487.0,28.0,655.0,136.0,519.0,0.15865283664122137,0.09133129770992365,4.844947,0.367485,{},config defaults
EXP-A1,M4,binary,3,3,r3f3,2589,651,138,0.9216589861751152,0.8603359173126615,0.7555555555555555,0.9651162790697675,0.85,0.8,0.7535141301165613,0.9498851564743038,0.8430975333387766,102.0,18.0,498.0,33.0,651.0,135.0,516.0,0.1535559078341014,0.08313978494623656,4.99513,0.352126,{},config defaults
EXP-A1,M4,binary,3,4,r3f4,2597,643,138,0.9082426127527217,0.8401344823473282,0.7251908396946565,0.955078125,0.8050847457627118,0.7630522088353414,0.7078327145375108,0.9439781130725191,0.8248715021357194,95.0,23.0,489.0,36.0,643.0,131.0,512.0,0.15704002488335925,0.07246034214618974,4.985016,0.354318,{},config defaults
EXP-A1,M4,binary,4,0,r4f0,2585,655,138,0.8564885496183207,0.81177037288904,0.7352941176470589,0.8882466281310212,0.6329113924050633,0.6802721088435374,0.5911684297728056,0.9101000226680267,0.704842223912661,100.0,58.0,461.0,36.0,655.0,136.0,519.0,0.21875031450381677,0.05000916030534355,4.976416,0.364017,{},config defaults
EXP-A1,M4,binary,4,1,r4f1,2596,644,138,0.9285714285714286,0.8727437763195095,0.7786259541984732,0.9668615984405458,0.8571428571428571,0.816,0.7731817499152164,0.9590048063330506,0.8703490293927765,102.0,17.0,496.0,29.0,644.0,131.0,513.0,0.141742099378882,0.09068012422360254,4.986576,0.386054,{},config defaults
EXP-A1,M4,binary,4,2,r4f2,2593,647,138,0.9088098918083463,0.832855251544572,0.7045454545454546,0.9611650485436893,0.8230088495575221,0.7591836734693878,0.7065878069145891,0.9562224183583408,0.8544797776415354,93.0,20.0,495.0,39.0,647.0,132.0,515.0,0.14750427202472952,0.0632210200927357,4.713933,0.365126,{},config defaults
