run,task,arm,model_id,fold_label,repeat,fold,n_train,n_test,n_features,fit_seconds,predict_seconds,params
EXP-A1,binary,config defaults,M5,r0f4,0,4,2597,643,138,28.210623,0.019261,{}
EXP-A1,binary,config defaults,M5,r1f0,1,0,2593,647,138,29.482644,0.016618,{}
EXP-A1,binary,config defaults,M5,r1f1,1,1,2585,655,138,28.576854,0.014467,{}
EXP-A1,binary,config defaults,M5,r1f2,1,2,2596,644,138,31.420012,0.014087,{}
EXP-A1,binary,config defaults,M5,r1f3,1,3,2589,651,138,27.90315,0.014049,{}
EXP-A1,binary,config defaults,M5,r1f4,1,4,2597,643,138,33.448458,0.017652,{}
EXP-A1,binary,config defaults,M5,r2f0,2,0,2596,644,138,34.323342,0.022825,{}
EXP-A1,binary,config defaults,M5,r2f1,2,1,2589,651,138,33.151117,0.013521,{}
EXP-A1,binary,config defaults,M5,r2f2,2,2,2585,655,138,33.075326,0.014393,{}
EXP-A1,binary,config defaults,M5,r2f3,2,3,2597,643,138,31.950962,0.018321,{}
EXP-A1,binary,config defaults,M5,r2f4,2,4,2593,647,138,32.766309,0.018787,{}
EXP-A1,binary,config defaults,M5,r3f0,3,0,2596,644,138,33.859617,0.024415,{}
EXP-A1,binary,config defaults,M5,r3f1,3,1,2593,647,138,37.885092,0.019832,{}
EXP-A1,binary,config defaults,M5,r3f2,3,2,2585,655,138,35.132301,0.015431,{}
EXP-A1,binary,config defaults,M5,r3f3,3,3,2589,651,138,34.005714,0.018495,{}
EXP-A1,binary,config defaults,M5,r3f4,3,4,2597,643,138,36.89485,0.016038,{}
EXP-A1,binary,config defaults,M5,r4f0,4,0,2585,655,138,36.197532,0.04595,{}
EXP-A1,binary,config defaults,M5,r4f1,4,1,2596,644,138,34.447168,0.013582,{}
EXP-A1,binary,config defaults,M5,r4f2,4,2,2593,647,138,34.175432,0.018408,{}
EXP-A1,binary,config defaults,M5,r4f3,4,3,2589,651,138,35.873406,0.021569,{}
EXP-A1,binary,config defaults,M5,r4f4,4,4,2597,643,138,36.786457,0.015738,{}
EXP-A1,binary,config defaults,M6,r0f0,0,0,2593,647,138,234.211817,2.014966,{}
EXP-A1,binary,config defaults,M6,r0f1,0,1,2589,651,138,236.492944,1.670965,{}
EXP-A1,binary,config defaults,M6,r0f2,0,2,2596,644,138,232.740367,1.408548,{}
EXP-A1,binary,config defaults,M6,r0f3,0,3,2585,655,138,223.578325,1.215537,{}
EXP-A1,binary,config defaults,M6,r0f4,0,4,2597,643,138,220.054038,1.427669,{}
EXP-A1,binary,config defaults,M6,r1f0,1,0,2593,647,138,206.638223,1.224897,{}
EXP-A1,binary,config defaults,M6,r1f1,1,1,2585,655,138,197.638741,1.350427,{}
EXP-A1,binary,config defaults,M6,r1f2,1,2,2596,644,138,192.514591,1.245872,{}
EXP-A1,binary,config defaults,M6,r1f3,1,3,2589,651,138,254.461117,1.54967,{}
EXP-A1,binary,config defaults,M6,r1f4,1,4,2597,643,138,268.684532,1.487421,{}
EXP-A1,binary,config defaults,M6,r2f0,2,0,2596,644,138,227.641641,1.396274,{}
EXP-A1,binary,config defaults,M6,r2f1,2,1,2589,651,138,232.948673,1.981394,{}
EXP-A1,binary,config defaults,M6,r2f2,2,2,2585,655,138,204.185478,1.299038,{}
EXP-A1,binary,config defaults,M6,r2f3,2,3,2597,643,138,195.601219,1.224977,{}
EXP-A1,binary,config defaults,M6,r2f4,2,4,2593,647,138,198.096878,1.229521,{}
EXP-A1,binary,config defaults,M6,r3f0,3,0,2596,644,138,200.14328,1.237671,{}
EXP-A1,binary,config defaults,M6,r3f1,3,1,2593,647,138,197.267771,1.225413,{}
EXP-A1,binary,config defaults,M6,r3f2,3,2,2585,655,138,199.757099,1.275545,{}
EXP-A1,binary,config defaults,M6,r3f3,3,3,2589,651,138,198.247395,1.323544,{}
EXP-A1,binary,config defaults,M6,r3f4,3,4,2597,643,138,207.305672,1.325712,{}
EXP-A1,binary,config defaults,M6,r4f0,4,0,2585,655,138,200.932531,1.668859,{}
EXP-A1,binary,config defaults,M6,r4f1,4,1,2596,644,138,201.456134,1.282757,{}
EXP-A1,binary,config defaults,M6,r4f2,4,2,2593,647,138,195.437493,1.402852,{}
EXP-A1,binary,config defaults,M6,r4f3,4,3,2589,651,138,204.341677,1.323618,{}
EXP-A1,binary,config defaults,M6,r4f4,4,4,2597,643,138,220.498372,1.334058,{}
EXP-A1,binary,config defaults,M8,r0f0,0,0,2593,647,138,6.970063,0.024843,{}
EXP-A1,binary,config defaults,M8,r0f1,0,1,2589,651,138,7.218743,0.023386,{}
EXP-A1,binary,config defaults,M8,r0f2,0,2,2596,644,138,7.230542,0.032076,{}
EXP-A1,binary,config defaults,M8,r0f3,0,3,2585,655,138,7.264561,0.023024,{}
EXP-A1,binary,config defaults,M8,r0f4,0,4,2597,643,138,7.779464,0.02641,{}
EXP-A1,binary,config defaults,M8,r1f0,1,0,2593,647,138,7.862607,0.020288,{}
EXP-A1,binary,config defaults,M8,r1f1,1,1,2585,655,138,7.103336,0.033604,{}
EXP-A1,binary,config defaults,M8,r1f2,1,2,2596,644,138,7.696531,0.021937,{}
EXP-A1,binary,config defaults,M8,r1f3,1,3,2589,651,138,11.997584,0.026751,{}
EXP-A1,binary,config defaults,M8,r1f4,1,4,2597,643,138,7.691373,0.022003,{}
EXP-A1,binary,config defaults,M8,r2f0,2,0,2596,644,138,7.377774,0.027199,{}
EXP-A1,binary,config defaults,M8,r2f1,2,1,2589,651,138,7.546996,0.026537,{}
EXP-A1,binary,config defaults,M8,r2f2,2,2,2585,655,138,7.810426,0.02328,{}
EXP-A1,binary,config defaults,M8,r2f3,2,3,2597,643,138,7.858745,0.030865,{}
EXP-A1,binary,config defaults,M8,r2f4,2,4,2593,647,138,7.383479,0.022357,{}
EXP-A1,binary,config defaults,M8,r3f0,3,0,2596,644,138,7.565878,0.021856,{}
EXP-A1,binary,config defaults,M8,r3f1,3,1,2593,647,138,7.823654,0.024306,{}
EXP-A1,binary,config defaults,M8,r3f2,3,2,2585,655,138,7.559965,0.022676,{}
EXP-A1,binary,config defaults,M8,r3f3,3,3,2589,651,138,7.474802,0.020776,{}
EXP-A1,binary,config defaults,M8,r3f4,3,4,2597,643,138,7.267443,0.02512,{}
EXP-A1,binary,config defaults,M8,r4f0,4,0,2585,655,138,10.245758,0.024461,{}
EXP-A1,binary,config defaults,M8,r4f1,4,1,2596,644,138,13.864699,0.024101,{}
EXP-A1,binary,config defaults,M8,r4f2,4,2,2593,647,138,8.139492,0.024918,{}
EXP-A1,binary,config defaults,M8,r4f3,4,3,2589,651,138,7.470673,0.021801,{}
EXP-A1,binary,config defaults,M8,r4f4,4,4,2597,643,138,7.557223,0.021681,{}
EXP-A2,binary,nested search,M1,r0f0,0,0,2593,647,138,0.241999,0.008837,"{""C"": 0.4731474644815011, ""l1_ratio"": 0.0, ""max_iter"": 2000, ""solver"": ""liblinear""}"
EXP-A2,binary,nested search,M1,r0f1,0,1,2589,651,138,0.226449,0.006223,"{""C"": 0.4731474644815011, ""l1_ratio"": 0.0, ""max_iter"": 2000, ""solver"": ""liblinear""}"
EXP-A2,binary,nested search,M1,r0f2,0,2,2596,644,138,0.236899,0.005982,"{""C"": 0.4731474644815011, ""l1_ratio"": 0.0, ""max_iter"": 2000, ""solver"": ""liblinear""}"
EXP-A2,binary,nested search,M1,r0f3,0,3,2585,655,138,3.472198,0.006147,"{""C"": 0.2437391987072402, ""l1_ratio"": 0.0, ""max_iter"": 5000, ""solver"": ""saga""}"
EXP-A2,binary,nested search,M1,r0f4,0,4,2597,643,138,0.19742,0.006122,"{""C"": 0.10592439431558083, ""l1_ratio"": 0.0, ""max_iter"": 2000, ""solver"": ""liblinear""}"
EXP-A2,binary,nested search,M1,r1f0,1,0,2593,647,138,0.23157,0.007967,"{""C"": 0.4731474644815011, ""l1_ratio"": 0.0, ""max_iter"": 2000, ""solver"": ""liblinear""}"
EXP-A2,binary,nested search,M1,r1f1,1,1,2585,655,138,0.241332,0.008491,"{""C"": 0.4731474644815011, ""l1_ratio"": 0.0, ""max_iter"": 2000, ""solver"": ""liblinear""}"
EXP-A2,binary,nested search,M1,r1f2,1,2,2596,644,138,0.103518,0.006901,"{""C"": 0.026161506430952816, ""l1_ratio"": 0.0, ""max_iter"": 5000, ""solver"": ""lbfgs""}"
EXP-A2,binary,nested search,M1,r1f3,1,3,2589,651,138,0.263841,0.007328,"{""C"": 0.4731474644815011, ""l1_ratio"": 0.0, ""max_iter"": 2000, ""solver"": ""liblinear""}"
EXP-A2,binary,nested search,M1,r1f4,1,4,2597,643,138,28.490326,0.005784,"{""C"": 1.7475951592807504, ""l1_ratio"": 1.0, ""max_iter"": 5000, ""solver"": ""saga""}"
EXP-A2,binary,nested search,M1,r2f0,2,0,2596,644,138,2.027331,0.00774,"{""C"": 0.10466029972452176, ""l1_ratio"": 0.0, ""max_iter"": 1000, ""solver"": ""saga""}"
EXP-A2,binary,nested search,M1,r2f1,2,1,2589,651,138,0.089022,0.00655,"{""C"": 0.001, ""l1_ratio"": 0.0, ""max_iter"": 1000, ""solver"": ""liblinear""}"
EXP-A2,binary,nested search,M1,r2f2,2,2,2585,655,138,0.193086,0.008872,"{""C"": 0.6317967091932517, ""l1_ratio"": 0.0, ""max_iter"": 1000, ""solver"": ""lbfgs""}"
EXP-A2,binary,nested search,M1,r2f3,2,3,2597,643,138,0.228593,0.007139,"{""C"": 0.4731474644815011, ""l1_ratio"": 0.0, ""max_iter"": 2000, ""solver"": ""liblinear""}"
EXP-A2,binary,nested search,M1,r2f4,2,4,2593,647,138,11.908466,0.006953,"{""C"": 60.153087183964686, ""l1_ratio"": 0.0, ""max_iter"": 2000, ""solver"": ""saga""}"
EXP-A2,binary,nested search,M1,r3f0,3,0,2596,644,138,0.235867,0.006753,"{""C"": 0.4731474644815011, ""l1_ratio"": 0.0, ""max_iter"": 2000, ""solver"": ""liblinear""}"
EXP-A2,binary,nested search,M1,r3f1,3,1,2593,647,138,2.831954,0.005691,"{""C"": 0.158616128460017, ""l1_ratio"": 0.0, ""max_iter"": 5000, ""solver"": ""saga""}"
EXP-A2,binary,nested search,M1,r3f2,3,2,2585,655,138,4.940098,0.007802,"{""C"": 0.09239685675296978, ""l1_ratio"": 1.0, ""max_iter"": 5000, ""solver"": ""saga""}"
